symbol,ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action,wtl_long_run,wtl_short_run,wtl_rsi_run,wtl_entry_leverage
BTCUSDT,2024-07-31T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-01T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-02T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-03T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-04T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-05T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-06T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-07T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-08T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-09T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-10T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-11T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-12T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-13T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-14T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-15T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-16T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-17T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-18T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold,0,0,0,1.0
BTCUSDT,2024-08-19T00:00:00+00:00,1.0,0.9986019572598362,0.9812328560192266,1.0094259114608657,0.9780364459118306,-1,enter_short,0,0,0,1.0
BTCUSDT,2024-08-20T00:00:00+00:00,0.9812345662440032,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,ma7_slope_exit,0,0,0,1.0
BTCUSDT,2024-08-21T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-22T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-23T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-24T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-25T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-26T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-27T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-28T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-29T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-30T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
BTCUSDT,2024-08-31T00:00:00+00:00,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0.9798123816288485,0,hold,0,0,0,1.0
