symbol,entry_ts,exit_ts,side,entry_price,entry_leverage,exit_price,bars_held,exit_reason,net_return,net_pnl
BTCUSDT,2024-08-19T00:00:00+00:00,2024-08-20T00:00:00+00:00,short,58390.1,1.0,59398.4,1,ma7_slope_exit,-0.02018761837115146,-0.02018761837115146
BTCUSDT,2024-09-04T00:00:00+00:00,2024-09-11T00:00:00+00:00,short,57452.0,1.0,57609.2,7,ma7_slope_exit,-0.005837818146810503,-0.005719966501942508
BTCUSDT,2024-09-18T00:00:00+00:00,2024-09-30T19:00:00+00:00,long,60281.0,1.0,63162.45714285715,12,protective_stop,0.04295250538493356,0.041839709706161465
BTCUSDT,2024-09-30T19:00:00+00:00,2024-10-01T00:00:00+00:00,short,63306.8,1.0,63309.0,1,ma7_slope_exit,-0.0028308368814407014,-0.0028759381280178964
BTCUSDT,2024-10-12T00:00:00+00:00,2024-10-23T00:00:00+00:00,long,62509.0,1.0,67406.5,11,long_mfe_fraction_trail_exit,0.0723418417017696,0.07328635029361497
BTCUSDT,2024-10-24T00:00:00+00:00,2024-10-25T00:00:00+00:00,short,66647.3,1.0,68173.8,1,ma7_slope_exit,-0.02539843711356704,-0.027591402609753457
BTCUSDT,2024-11-07T00:00:00+00:00,2024-11-25T22:00:00+00:00,long,75579.9,1.0,94144.56428571428,18,protective_stop,0.23194333912371,0.24557027341117998
BTCUSDT,2024-11-25T22:00:00+00:00,2024-11-26T00:00:00+00:00,short,93840.0,1.0,93064.0,1,ma7_slope_exit,0.005473309234079959,0.007138954405520481
BTCUSDT,2024-12-05T00:00:00+00:00,2024-12-18T21:00:00+00:00,long,98669.8,1.0,100484.3142857143,13,protective_stop,0.009260610160007898,0.012144923154689069
BTCUSDT,2024-12-18T21:00:00+00:00,2025-01-03T00:00:00+00:00,short,100839.3,1.0,96967.6,16,ma7_hysteresis_exit,0.03954664893673865,0.05234415355095545
BTCUSDT,2025-02-01T00:00:00+00:00,2025-02-13T00:00:00+00:00,short,102379.8,1.0,97816.3,12,ma7_slope_exit,0.04323411951415568,0.059487962487324575
BTCUSDT,2025-03-04T00:00:00+00:00,2025-03-06T00:00:00+00:00,short,86193.3,1.0,90566.1,2,ma7_slope_exit,-0.05341322114365543,-0.07667133535877646
BTCUSDT,2025-03-20T00:00:00+00:00,2025-03-28T15:00:00+00:00,long,86809.8,1.0,84264.90714285713,8,protective_stop,-0.032333673899589854,-0.04393389888515964
BTCUSDT,2025-03-28T15:00:00+00:00,2025-03-29T00:00:00+00:00,short,84133.9,1.0,84380.8,1,ma7_slope_exit,-0.00564974520238537,-0.007428466728323979
BTCUSDT,2025-04-07T00:00:00+00:00,2025-04-10T00:00:00+00:00,short,78390.1,1.0,82587.9,3,ma7_slope_exit,-0.0559345373339859,-0.07312902109208741
BTCUSDT,2025-05-02T00:00:00+00:00,2025-05-05T02:00:00+00:00,long,96423.2,1.0,93670.46428571429,3,protective_stop,-0.030968153895228445,-0.03822320821860625
BTCUSDT,2025-05-05T02:00:00+00:00,2025-05-07T00:00:00+00:00,short,93880.1,1.0,96798.9,2,ma7_slope_exit,-0.03380048898398913,-0.04042712457372777
BTCUSDT,2025-05-16T00:00:00+00:00,2025-05-19T07:00:00+00:00,long,103714.2,1.0,102215.05714285714,3,protective_stop,-0.017734362267864068,-0.020494260807137676
BTCUSDT,2025-05-19T07:00:00+00:00,2025-05-20T00:00:00+00:00,short,102166.4,1.0,105531.5,1,ma7_slope_exit,-0.035651020996627425,-0.040468546520433524
BTCUSDT,2025-05-26T00:00:00+00:00,2025-05-30T00:00:00+00:00,long,108956.0,1.0,105539.9,4,ma7_hysteresis_exit,-0.034756869575186755,-0.038047008347445566
BTCUSDT,2025-06-08T00:00:00+00:00,2025-06-13T00:00:00+00:00,long,105507.5,1.0,105609.4,5,protective_stop,-0.0025403563020017783,-0.002684177382274333
BTCUSDT,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,short,105609.4,1.0,106027.3,1,ma7_slope_exit,-0.0067353440010055055,-0.007098583483820198
BTCUSDT,2025-07-03T00:00:00+00:00,2025-07-17T00:00:00+00:00,long,108800.0,1.0,118590.7,14,long_mfe_fraction_trail_exit,0.08412037211853884,0.08805987803797488
BTCUSDT,2025-07-23T00:00:00+00:00,2025-07-30T20:00:00+00:00,long,119993.7,1.0,115786.88571428572,7,protective_stop,-0.04011553739280749,-0.045526788343683844
BTCUSDT,2025-07-30T20:00:00+00:00,2025-08-08T00:00:00+00:00,short,116865.2,1.0,117419.9,9,ma7_hysteresis_exit,-0.006214632575784584,-0.006770002343976067
BTCUSDT,2025-08-25T00:00:00+00:00,2025-08-29T00:00:00+00:00,short,113446.2,1.0,112507.3,4,ma7_slope_exit,0.006267180168214814,0.006784817020202283
BTCUSDT,2025-09-08T00:00:00+00:00,2025-09-16T00:00:00+00:00,long,111075.5,1.0,115300.5,8,long_mfe_fraction_trail_exit,0.033695611101185685,0.036707313849151824
BTCUSDT,2025-09-23T00:00:00+00:00,2025-09-30T00:00:00+00:00,short,112604.7,1.0,114257.1,7,ma7_hysteresis_exit,-0.016551219634144076,-0.01863811306918861
BTCUSDT,2025-10-09T00:00:00+00:00,2025-10-10T20:00:00+00:00,long,123237.4,1.0,116234.39285714286,1,protective_stop,-0.05959855153483684,-0.06600234885790002
BTCUSDT,2025-10-10T20:00:00+00:00,2025-10-24T00:00:00+00:00,short,116605.2,1.0,110026.0,14,ma7_slope_exit,0.0534920672742456,0.0557091276470143
BTCUSDT,2025-12-03T00:00:00+00:00,2025-12-05T17:00:00+00:00,long,91249.1,1.0,88345.61428571428,2,protective_stop,-0.034757368570015434,-0.038134243442682125
BTCUSDT,2025-12-05T17:00:00+00:00,2025-12-08T00:00:00+00:00,short,88757.6,1.0,90345.4,3,ma7_slope_exit,-0.020535915665603865,-0.021747974374049628
BTCUSDT,2025-12-30T00:00:00+00:00,2025-12-31T00:00:00+00:00,short,87203.2,1.0,88455.2,1,ma7_slope_exit,-0.016922278064876672,-0.017553029515394503
BTCUSDT,2026-01-14T00:00:00+00:00,2026-01-19T01:00:00+00:00,long,95375.2,1.0,93268.36428571428,5,protective_stop,-0.025380619049287456,-0.02588113517690871
BTCUSDT,2026-01-19T01:00:00+00:00,2026-01-20T00:00:00+00:00,short,92658.2,1.0,92589.6,1,ma7_slope_exit,-0.0020112994867573786,-0.00199890841654915
BTCUSDT,2026-01-28T00:00:00+00:00,2026-01-29T16:00:00+00:00,long,89197.8,1.0,86052.72857142857,1,protective_stop,-0.03824918806982669,-0.037937088580198175
BTCUSDT,2026-01-29T16:00:00+00:00,2026-02-02T00:00:00+00:00,short,84897.9,1.0,76931.6,4,short_rsi_take_profit,0.09135303927573735,0.0871419632946786
BTCUSDT,2026-02-18T00:00:00+00:00,2026-02-20T00:00:00+00:00,short,67475.9,1.0,66973.9,2,ma7_slope_exit,0.004667658193984403,0.004859243334195407
BTCUSDT,2026-02-26T00:00:00+00:00,2026-02-28T07:00:00+00:00,long,67952.5,1.0,63370.6,2,protective_stop,-0.06998616003342761,-0.07319883839138741
BTCUSDT,2026-02-28T07:00:00+00:00,2026-02-28T23:00:00+00:00,short,63173.8,1.0,67559.45714285715,0,protective_stop,-0.07229985001360484,-0.07032647207257903
BTCUSDT,2026-03-11T00:00:00+00:00,2026-03-18T15:00:00+00:00,long,69901.8,1.0,71374.88571428572,7,protective_stop,0.01882285438285125,0.01698535172631266
BTCUSDT,2026-03-18T15:00:00+00:00,2026-03-19T00:00:00+00:00,short,71160.4,1.0,71202.9,1,ma7_slope_exit,-0.0033690879528656126,-0.0030974199364599553
BTCUSDT,2026-03-27T00:00:00+00:00,2026-04-04T00:00:00+00:00,short,68788.1,1.0,66930.0,8,ma7_slope_exit,0.02386214688995536,0.021864100187648727
BTCUSDT,2026-04-14T00:00:00+00:00,2026-04-22T00:00:00+00:00,long,74384.9,1.0,76288.3,8,long_mfe_fraction_trail_exit,0.023946938584421984,0.022465370292241493
BTCUSDT,2026-04-30T00:00:00+00:00,2026-05-01T14:00:00+00:00,short,75749.9,1.0,78711.11428571428,1,protective_stop,-0.042033988052829985,-0.040377704867575526
BTCUSDT,2026-05-15T00:00:00+00:00,2026-05-17T00:00:00+00:00,long,81048.8,1.0,78104.3,2,ma7_hysteresis_exit,-0.03906246362594301,-0.035946016059221875
BTCUSDT,2026-05-27T00:00:00+00:00,2026-06-03T00:00:00+00:00,short,75905.6,1.0,66730.1,7,short_rsi_take_profit,0.11953799356309913,0.1057042024835203
BTCUSDT,2026-07-10T00:00:00+00:00,2026-07-17T00:00:00+00:00,long,63197.1,1.0,63801.1,7,long_mfe_fraction_trail_exit,0.005383983671034764,0.005330020295728488
BTCUSDT,2026-07-27T00:00:00+00:00,2026-07-28T00:00:00+00:00,long,65375.2,1.0,63720.7,1,ma7_hysteresis_exit,-0.028208391032935598,-0.02807601116159708
ETHUSDT,2024-08-21T00:00:00+00:00,2024-08-23T00:00:00+00:00,short,2571.51,1.0,2622.0,2,ma7_slope_exit,-0.022305223427777632,-0.022305223427777632
ETHUSDT,2024-09-04T00:00:00+00:00,2024-09-14T00:00:00+00:00,short,2424.05,1.0,2438.16,10,ma7_hysteresis_exit,-0.00791882409390765,-0.007742192953207772
ETHUSDT,2024-09-27T00:00:00+00:00,2024-09-30T00:00:00+00:00,long,2631.16,1.0,2656.3,3,long_mfe_fraction_trail_exit,0.006065115990352199,0.005882874924791115
ETHUSDT,2024-10-02T00:00:00+00:00,2024-10-10T00:00:00+00:00,short,2446.85,1.0,2369.6,8,ma7_slope_exit,0.030316627846053823,0.02958404043565588
