symbol,window_index,start_ts,end_ts,days,equity_multiple,net_return_pct,max_drawdown_pct,sharpe,closed_trades,long_trades,short_trades,win_rate,profit_factor,turnover_multiple,cost_pct_initial,funding_pct_initial,max_intraday_leverage,bankrupt_intraday,handoff_accept
BTCUSDT,0,2024-07-31T00:00:00+00:00,2025-01-27T00:00:00+00:00,180.0,1.375949438911256,37.59494389112561,-13.811461243201183,2.2294693062737085,10,4,6,0.6,7.6687349887837035,22.496625103552134,3.149527514497308,1.8809412212946348,1.0172855640108776,False,1
BTCUSDT,1,2024-09-29T00:00:00+00:00,2025-03-28T00:00:00+00:00,180.0,1.3429882743911088,34.29882743911088,-14.858469031890987,2.082610761259282,9,4,5,0.7777777777777778,4.332603767264178,22.553221081989715,3.1574509514785576,1.455670958305926,1.0247316250672738,False,1
BTCUSDT,2,2024-11-28T00:00:00+00:00,2025-05-27T00:00:00+00:00,180.0,0.8354185958890575,-16.458140411094245,-28.595181849747764,-1.155420393875884,12,5,7,0.3333333333333333,0.36661597313796296,23.24850741120338,3.254791037568494,0.07266733926978501,1.0247316250672736,False,0
BTCUSDT,3,2025-01-27T00:00:00+00:00,2025-07-26T00:00:00+00:00,180.0,0.8052493588512175,-19.47506411487825,-32.50807791625333,-1.596253737826792,14,7,7,0.14285714285714285,0.35509640946295734,24.61124370291035,3.445574118407446,0.22437278336081826,1.0247316250672736,False,0
BTCUSDT,4,2025-03-28T00:00:00+00:00,2025-09-24T00:00:00+00:00,180.0,0.9019016612871035,-9.809833871289653,-18.983966099060336,-0.9440168810964392,14,7,7,0.2857142857142857,0.5239091754076505,25.183974433722177,3.5257564207210934,0.4427501945333404,1.033573294687882,False,1
BTCUSDT,5,2025-05-27T00:00:00+00:00,2025-11-23T00:00:00+00:00,180.0,1.038368886560966,3.836888656096593,-12.452598738541564,0.49059288926290845,10,5,5,0.4,1.2763162441965907,20.46063002686634,2.864488203761284,0.4621025561620018,1.0156244475432386,False,1
BTCUSDT,6,2025-07-26T00:00:00+00:00,2026-01-22T00:00:00+00:00,180.0,0.911498967258422,-8.850103274157794,-16.158455594120436,-1.067352631462515,11,4,7,0.2727272727272727,0.5074156488633411,21.46532545422906,3.005145563592071,0.0021987212030203074,1.0120371860640722,False,1
BTCUSDT,7,2025-09-24T00:00:00+00:00,2026-03-23T00:00:00+00:00,180.0,0.8273674053479046,-17.263259465209536,-24.327167818138197,-1.4263547951642377,14,6,8,0.2857142857142857,0.46278763081583196,25.342138066812446,3.547899329353732,0.008479412755228972,1.0120371860640722,False,0
BTCUSDT,8,2025-11-23T00:00:00+00:00,2026-05-22T00:00:00+00:00,180.0,0.8059684592305837,-19.403154076941632,-22.199093307441153,-1.5794325887475946,16,7,9,0.3125,0.41866881029173025,28.581374444724812,4.001392422261462,-0.0772905276285494,1.0148670085383453,False,1
BTCUSDT,9,2026-01-22T00:00:00+00:00,2026-07-21T00:00:00+00:00,180.0,1.0034952315273473,0.349523152734732,-17.66522084571439,0.16204158995787377,13,6,7,0.5384615384615384,1.0132883496909584,24.83163912426364,3.4764294773968807,-0.11846762919640003,1.014867008538345,False,1
ETHUSDT,0,2024-07-31T00:00:00+00:00,2025-01-27T00:00:00+00:00,180.0,1.0174412873590444,1.7441287359044377,-26.08704505535688,0.2693731949041309,12,5,7,0.3333333333333333,1.068643409330776,26.124601670344866,3.6574442338482616,1.301745898069294,1.0459526808930333,False,2
ETHUSDT,1,2024-09-29T00:00:00+00:00,2025-03-28T00:00:00+00:00,180.0,1.2834386157819884,28.343861578198837,-26.087045055356917,1.4409157871010239,14,7,7,0.42857142857142855,1.906508814499299,32.522469479835316,4.553145727176966,1.8412980033147193,1.00455457515774,False,1
ETHUSDT,2,2024-11-28T00:00:00+00:00,2025-05-27T00:00:00+00:00,180.0,1.4833294884521886,48.33294884521886,-26.087045055356928,1.7374935710749226,13,5,8,0.38461538461538464,2.5047177986250873,26.07005851409309,3.6498081919730363,0.6365952668645211,1.0085033524382039,False,2
ETHUSDT,3,2025-01-27T00:00:00+00:00,2025-07-26T00:00:00+00:00,180.0,2.2509890304581153,125.09890304581153,-23.48672707606295,3.210013838317531,13,6,7,0.46153846153846156,4.085762241138897,37.65674697078733,5.271944575910236,1.6527019959186935,1.0373654257696987,False,2
ETHUSDT,4,2025-03-28T00:00:00+00:00,2025-09-24T00:00:00+00:00,180.0,1.380624884015377,38.0624884015377,-30.839277774223326,1.4432094355963008,15,6,9,0.26666666666666666,1.545599789922901,41.53944560521259,5.81552238472981,1.4439263501638746,1.0373654257696987,False,1
