name,start,end,bars,total_return,sharpe,max_drawdown,exposure,trade_count,win_rate,profit_factor,best_trade,worst_trade,slice
buy_hold,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,0.7526770473951476,1.0233373730131434,-0.6608695348608357,1.0,0,0.0,0.0,0.0,0.0,full
v10,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,3.3898066379967267,2.7961508359966305,-0.2608525761378536,0.45111821086261983,106,0.5566037735849056,2.220338577515132,0.22749308869577112,-0.10446267620587657,full
v10_no_mfeu,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,2.5890528047251213,2.706730911960723,-0.26349842440535975,0.3546325878594249,112,0.5625,1.9482301046939814,0.10584841446179971,-0.12802502732618748,full
v10_no_range,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,2.7908112914611873,1.78459692007548,-0.3812372935411862,0.954632587859425,142,0.43661971830985913,1.5642704190241723,0.23418799668984214,-0.11441828843986401,full
melt_long,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,0.6758314172828979,1.6128563721452598,-0.1967283627549392,0.0926517571884984,22,0.5,3.188893966089038,0.23418799668984214,-0.047875820011202386,full
rs4_w1,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,6.240601167594761,3.1195614894708394,-0.29772415250256523,0.5130990415335464,128,0.546875,2.3777584914886325,0.23418799668984214,-0.10446267620587657,full
rs4_w0_5,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,4.720614636818144,3.0773970506458705,-0.27914090572215244,0.5130990415335464,128,0.546875,2.3777584914886325,0.23418799668984214,-0.10446267620587657,full
rs4_no_er,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,7.564615791522051,2.8755976536228625,-0.39292839481922637,0.6517571884984026,134,0.5373134328358209,2.261179562135435,0.35030239899165627,-0.12461804675858257,full
rs4_melt_both,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,2.6477502113344102,2.030576485729308,-0.3598614348124888,0.5546325878594249,145,0.496551724137931,1.7076041408713671,0.23418799668984214,-0.10446267620587657,full
rs4_no_donchian,2025-05-30 12:00:00+00:00,2026-06-25 18:00:00+00:00,1565,7.751644947864444,3.0976265020590383,-0.2930831042113653,0.579552715654952,162,0.5679012345679012,2.2337590450684375,0.23418799668984214,-0.10446267620587657,full
