name,start,end,bars,total_return,sharpe,max_drawdown,exposure,trade_count,win_rate,profit_factor,best_trade,worst_trade,window_start,window_end
rs4_w0_5,2026-01-19 12:00:00+00:00,2026-02-09 12:00:00+00:00,84,0.17850896247762837,5.7453351528465095,-0.05291067487332324,0.23809523809523808,2,1.0,inf,0.23418799668984214,0.05820820289605755,2026-01-19 12:00:00+00:00,2026-02-09 12:00:00+00:00
v10,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00,84,0.16972768486312018,5.360826142938222,-0.06248709735417868,0.5238095238095238,6,0.6666666666666666,6.867883365505863,0.07690710267027923,-0.020895566331510684,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00
melt_long,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00,84,-0.009142998661920587,-1.5449844152119003,-0.018160180927688008,0.05952380952380952,1,0.0,0.0,-0.008200789411861864,-0.008200789411861864,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00
rs4_w1,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00,84,0.1590328662056053,4.979907626328382,-0.06248709735417868,0.5833333333333334,7,0.5714285714285714,5.323990540829831,0.07690710267027923,-0.020895566331510684,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00
rs4_w0_5,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00,84,0.16445132609209745,5.190778601928356,-0.06248709735417868,0.5833333333333334,7,0.5714285714285714,5.323990540829831,0.07690710267027923,-0.020895566331510684,2026-02-09 12:00:00+00:00,2026-03-02 12:00:00+00:00
v10,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00,84,0.2958553877057637,6.921888065827798,-0.09695246989248973,0.6190476190476191,6,0.8333333333333334,4.676713719655941,0.18127767163475794,-0.06984575562844375,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00
melt_long,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00,84,-0.0329015984607165,-2.3168194177681922,-0.07505876817153379,0.16666666666666666,3,0.3333333333333333,0.4497269861130139,0.02388789122335533,-0.04543730272192115,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00
rs4_w1,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00,84,0.24993751483835958,5.313669216724421,-0.11709036808886375,0.6547619047619048,9,0.6666666666666666,2.850766663069989,0.18127767163475794,-0.06984575562844375,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00
rs4_w0_5,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00,84,0.2732135916777947,6.127417467336504,-0.10693894643461155,0.6547619047619048,9,0.6666666666666666,2.850766663069989,0.18127767163475794,-0.06984575562844375,2026-03-02 12:00:00+00:00,2026-03-23 12:00:00+00:00
v10,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00,84,0.11490505168532361,3.430291367051543,-0.07311955195302422,0.8690476190476191,8,0.375,2.0534775632731805,0.14533870523689685,-0.06864635013475251,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00
melt_long,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00,84,-0.057448062000249434,-4.460228310130128,-0.0634658068346109,0.11904761904761904,4,0.25,0.3262122772862821,0.02594650899932227,-0.047875820011202386,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00
rs4_w1,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00,84,0.04794623661800346,1.4895532572457444,-0.1260195676818573,0.8809523809523809,12,0.3333333333333333,1.3538556877806234,0.14533870523689685,-0.06864635013475251,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00
rs4_w0_5,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00,84,0.08131211619198253,2.4030437731203587,-0.0976906709000781,0.8809523809523809,12,0.3333333333333333,1.3538556877806234,0.14533870523689685,-0.06864635013475251,2026-03-23 12:00:00+00:00,2026-04-13 12:00:00+00:00
v10,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00,84,0.04820760003678437,2.031027273205214,-0.04500323913811477,0.9047619047619048,6,0.8333333333333334,5.630185299016827,0.08064002655086577,-0.028519958063554784,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00
melt_long,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00,84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00
rs4_w1,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00,84,0.04820760003678437,2.031027273205214,-0.04500323913811477,0.9047619047619048,6,0.8333333333333334,5.630185299016827,0.08064002655086577,-0.028519958063554784,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00
rs4_w0_5,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00,84,0.04820760003678437,2.031027273205214,-0.04500323913811477,0.9047619047619048,6,0.8333333333333334,5.630185299016827,0.08064002655086577,-0.028519958063554784,2026-04-13 12:00:00+00:00,2026-05-04 12:00:00+00:00
v10,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00,84,-0.04692372200828043,-0.98286509963647,-0.12801770513708355,0.47619047619047616,3,0.0,0.0,-0.019995210084773896,-0.04015846608182594,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00
melt_long,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00,84,0.24064933652733433,6.91178714153045,-0.10284123567456305,0.2619047619047619,2,1.0,inf,0.19093066256942692,0.018402389466463998,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00
rs4_w1,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00,84,0.1824334519503681,3.8576526761456154,-0.13242614926932073,0.7380952380952381,5,0.4,2.4316877099966505,0.19093066256942692,-0.04015846608182594,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00
rs4_w0_5,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00,84,0.06405033786000458,1.9136923330435935,-0.13022192720320203,0.7380952380952381,5,0.4,2.4316877099966505,0.19093066256942692,-0.04015846608182594,2026-05-04 12:00:00+00:00,2026-05-25 12:00:00+00:00
v10,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00,84,0.32514751199181235,7.916571824618201,-0.04697936042041373,0.16666666666666666,3,1.0,inf,0.21378691781570436,0.025589446872160027,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00
melt_long,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00,84,-0.05646252253555317,-4.914247355299309,-0.05269000529430934,0.10714285714285714,1,0.0,0.0,-0.03207737037332159,-0.03207737037332159,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00
rs4_w1,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00,84,0.2503263407330425,6.044033894147338,-0.06413502538725901,0.27380952380952384,4,0.75,9.568186608487833,0.21378691781570436,-0.03207737037332159,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00
rs4_w0_5,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00,84,0.2875791412311788,7.034082648304262,-0.04743204522421407,0.27380952380952384,4,0.75,9.568186608487833,0.21378691781570436,-0.03207737037332159,2026-05-25 12:00:00+00:00,2026-06-15 12:00:00+00:00
v10,2026-06-15 12:00:00+00:00,2026-06-25 18:00:00+00:00,41,0.07001686881290814,3.897303619012599,-0.08033364478881799,0.36585365853658536,1,1.0,inf,0.0710343514467826,0.0710343514467826,2026-06-15 12:00:00+00:00,2026-06-26 00:00:00+00:00
melt_long,2026-06-15 12:00:00+00:00,2026-06-25 18:00:00+00:00,41,0.043454733045290794,2.6885275850213275,-0.061357920287841816,0.1951219512195122,1,1.0,inf,0.04444695765506301,0.04444695765506301,2026-06-15 12:00:00+00:00,2026-06-26 00:00:00+00:00
rs4_w1,2026-06-15 12:00:00+00:00,2026-06-25 18:00:00+00:00,41,0.11651416620113086,4.699259532023895,-0.08033364478881799,0.5609756097560976,2,1.0,inf,0.0710343514467826,0.04444695765506301,2026-06-15 12:00:00+00:00,2026-06-26 00:00:00+00:00
rs4_w0_5,2026-06-15 12:00:00+00:00,2026-06-25 18:00:00+00:00,41,0.0944819769775973,4.683227305658247,-0.08033364478881799,0.5609756097560976,2,1.0,inf,0.0710343514467826,0.04444695765506301,2026-06-15 12:00:00+00:00,2026-06-26 00:00:00+00:00
