ts,buy_hold,v10,v10_no_mfeu,v10_no_range,melt_long,rs4_w1,rs4_w0_5,rs4_no_er,rs4_melt_both,rs4_no_donchian
2025-06-09 12:00:00+00:00,1.1487573877799173,1.064077629783138,1.064077629783138,1.0513744573395496,1.0,1.064077629783138,1.064077629783138,1.0819695931841264,1.064077629783138,1.064077629783138
2025-06-09 18:00:00+00:00,1.1714374694775482,1.064077629783138,1.064077629783138,1.072131893888747,1.0,1.064077629783138,1.064077629783138,1.1033310738838873,1.064077629783138,1.064077629783138
2025-06-10 00:00:00+00:00,1.1746071534739349,1.064077629783138,1.064077629783138,1.0750328761388628,1.0,1.064077629783138,1.064077629783138,1.1063164751013894,1.064077629783138,1.064077629783138
2025-06-10 06:00:00+00:00,1.2536354822728215,1.064077629783138,1.064077629783138,1.147361783172886,1.0,1.064077629783138,1.064077629783138,1.1807501629019108,1.064077629783138,1.064077629783138
2025-06-10 12:00:00+00:00,1.204489287464287,1.064077629783138,1.064077629783138,1.1023818296624357,0.9598470614237614,1.0213517860741061,1.042714707928622,1.1344612867917836,1.0213517860741061,1.0213517860741061
2025-06-10 18:00:00+00:00,1.2726440856840027,1.064077629783138,1.064077629783138,1.1647589814923993,1.0141590287230664,1.07914393550681,1.0722151822205999,1.1986536219948194,1.07914393550681,1.07914393550681
2025-06-11 00:00:00+00:00,1.2593599756596634,1.064077629783138,1.064077629783138,1.1526009974684006,1.0035730367153375,1.0678796182223225,1.066619185425184,1.1861418390267684,1.0678796182223225,1.0678796182223225
2025-06-11 06:00:00+00:00,1.2461052616107793,1.064077629783138,1.064077629783138,1.1404699174522201,0.99301047010537,1.0566402273795619,1.06100612300653,1.1736577429767234,1.0566402273795619,1.0566402273795619
2025-06-11 12:00:00+00:00,1.2920775237597393,1.064077629783138,1.064077629783138,1.1825450002187776,1.0296453668951768,1.0956226015230093,1.0805778450476746,1.216957216219888,1.0956226015230093,1.0956226015230093
2025-06-11 18:00:00+00:00,1.2590971974450684,1.064077629783138,1.064077629783138,1.1523604955959343,1.0033636310363412,1.067656794323753,1.066786950429225,1.1858943385179859,1.067656794323753,1.067656794323753
2025-06-12 00:00:00+00:00,1.260530866906169,1.064077629783138,1.064077629783138,1.153672629443954,1.0045061097894625,1.0688724804074519,1.0673942982477391,1.1872446556346272,1.0688724804074519,1.0688724804074519
2025-06-12 06:00:00+00:00,1.2166826892133664,1.064077629783138,1.064077629783138,1.1135415673785403,0.9695638774713761,1.0316912326630907,1.0488293840173066,1.1459457743522758,1.0316912326630907,1.0316912326630907
2025-06-12 12:00:00+00:00,1.3115593453291459,1.064077629783138,1.064077629783138,1.024592104925521,1.045170261453553,1.1121422945273194,1.089723129639623,1.2353063809627352,1.1121422945273194,1.1121422945273194
2025-06-12 18:00:00+00:00,1.219121957539432,1.064077629783138,1.064077629783138,1.0968043293029939,0.9715077092340704,1.0337596205578357,1.0513218327876537,1.148243225656176,1.0337596205578357,1.0337596205578357
2025-06-13 00:00:00+00:00,1.1836780024475453,1.064077629783138,1.064077629783138,1.1286921016066478,0.970584776910298,1.0327775489183058,1.0508224549170795,1.114859952495497,1.0327775489183058,1.0327775489183058
2025-06-13 06:00:00+00:00,1.2072819568088478,1.064077629783138,1.064077629783138,1.1061846318393647,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-13 12:00:00+00:00,1.236672385226552,1.064077629783138,1.064077629783138,1.0792553465506365,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-13 18:00:00+00:00,1.2715093933177952,1.064077629783138,1.064077629783138,1.0488527696924057,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-14 00:00:00+00:00,1.2785749233368093,1.064077629783138,1.064077629783138,1.0430244991591848,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-14 06:00:00+00:00,1.2380883510039016,1.064077629783138,1.064077629783138,1.0760522756777449,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-14 12:00:00+00:00,1.2084536569058846,1.064077629783138,1.064077629783138,1.1018084989693446,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-14 18:00:00+00:00,1.2052035278658773,1.064077629783138,1.064077629783138,1.1047718064810255,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-15 00:00:00+00:00,1.2361065620679235,1.064077629783138,1.064077629783138,1.076443976258362,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-15 06:00:00+00:00,1.2070627518060564,1.064077629783138,1.064077629783138,1.1017363220506817,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-15 12:00:00+00:00,1.239161716926951,1.064077629783138,1.064077629783138,1.072438263005273,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-15 18:00:00+00:00,1.2364580710315751,1.064077629783138,1.064077629783138,1.0747781459020824,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-16 00:00:00+00:00,1.30843846802742,1.064077629783138,1.064077629783138,1.0122099444911392,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-16 06:00:00+00:00,1.335908239553634,1.064077629783138,1.064077629783138,1.0112483450438727,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1138008355406261,1.0327775489183058,1.0327775489183058
2025-06-16 12:00:00+00:00,1.3378158670865812,1.064077629783138,1.064077629783138,1.0117316843331856,0.970584776910298,1.0327775489183058,1.0508224549170795,1.1143331911256065,1.0327775489183058,1.0327775489183058
2025-06-16 18:00:00+00:00,1.256895305289772,1.064077629783138,1.064077629783138,0.9505349992750506,0.970584776910298,1.0327775489183058,1.0508224549170795,1.0469304415595637,1.0327775489183058,1.0327775489183058
2025-06-17 00:00:00+00:00,1.2759959597472734,1.064077629783138,1.064077629783138,0.9649799896370189,0.970584776910298,1.0327775489183058,1.0508224549170795,1.0628403240462823,1.0327775489183058,1.0327775489183058
2025-06-17 06:00:00+00:00,1.2145129858157275,1.064077629783138,1.064077629783138,1.0096434143389104,0.970584776910298,1.0327775489183058,1.0508224549170795,1.01162810551412,1.0327775489183058,1.0327775489183058
2025-06-17 12:00:00+00:00,1.170540391814289,1.064077629783138,1.064077629783138,1.0461985112900822,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9750011509374762,1.0327775489183058,1.0327775489183058
2025-06-17 18:00:00+00:00,1.1973247239026423,1.064077629783138,1.064077629783138,1.0222593729632943,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-18 00:00:00+00:00,1.2223389847087327,1.064077629783138,1.064077629783138,1.0009025413066104,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-18 06:00:00+00:00,1.1754894860084484,1.064077629783138,1.064077629783138,1.039264880146052,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-18 12:00:00+00:00,1.1710288111719327,1.064077629783138,1.064077629783138,1.0432086182692093,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-18 18:00:00+00:00,1.1820638235130674,1.064077629783138,1.064077629783138,1.0333781001238376,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-19 00:00:00+00:00,1.1430432655134706,1.064077629783138,1.064077629783138,1.06749046300079,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-19 06:00:00+00:00,1.122207397306211,1.064077629783138,1.064077629783138,1.0869491232900832,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-19 12:00:00+00:00,1.1022222453648214,1.064077629783138,1.064077629783138,1.1063063681573482,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-19 18:00:00+00:00,1.1036636208593429,1.064077629783138,1.064077629783138,1.104859651857436,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-20 00:00:00+00:00,1.082034851606624,1.064077629783138,1.064077629783138,1.12651186002577,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-20 06:00:00+00:00,1.1100339969411877,1.064077629783138,1.064077629783138,1.0973618107060665,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-20 12:00:00+00:00,1.0274245104283046,1.064077629783138,1.064077629783138,1.1790282244835526,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-20 18:00:00+00:00,0.9989191740489547,1.064077629783138,1.064077629783138,1.2117397237699001,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0327775489183058
2025-06-21 00:00:00+00:00,1.0378629362028895,1.064077629783138,1.064077629783138,1.164498961132725,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0720601715879758
2025-06-21 06:00:00+00:00,1.0534868329436737,1.064077629783138,1.064077629783138,1.1469686968860293,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.0881988704821461
2025-06-21 12:00:00+00:00,0.9715961816716294,1.064077629783138,1.064077629783138,1.2361259702751946,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,1.0327775489183058,1.003609949737609
2025-06-21 18:00:00+00:00,1.0294551291142242,1.064077629783138,1.064077629783138,1.1625141664252374,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9702940875226463,1.0633753300778528
2025-06-22 00:00:00+00:00,1.0279014201573164,1.064077629783138,1.064077629783138,1.1642686952257895,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0623651235142788
2025-06-22 06:00:00+00:00,1.0125399006609836,1.064077629783138,1.064077629783138,1.1816681616628957,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0454793127692572
2025-06-22 12:00:00+00:00,1.018511233556432,1.064077629783138,1.064077629783138,1.1863917387311897,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-22 18:00:00+00:00,1.0688553172324984,1.064077629783138,1.064077629783138,1.245034003047431,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-23 00:00:00+00:00,1.0680908769070299,1.064077629783138,1.064077629783138,1.2441435605495883,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-23 06:00:00+00:00,1.048611661064895,1.064077629783138,1.064077629783138,1.2214535989756004,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-23 12:00:00+00:00,1.0747452517901215,1.064077629783138,1.064077629783138,1.251894771461768,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-23 18:00:00+00:00,1.1407593475886144,1.064077629783138,1.064077629783138,1.3287899252065816,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-24 00:00:00+00:00,1.128842664332951,1.064077629783138,1.064077629783138,1.3149090232569496,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-24 06:00:00+00:00,1.1095201997740185,1.064077629783138,1.064077629783138,1.292401650172219,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-24 12:00:00+00:00,1.1346269740590251,1.064077629783138,1.064077629783138,1.3216467567714976,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-24 18:00:00+00:00,1.1206779486733152,1.064077629783138,1.064077629783138,1.305398523138205,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-25 00:00:00+00:00,1.1186539199924859,1.064077629783138,1.064077629783138,1.3030408752038705,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-25 06:00:00+00:00,1.1483797694063558,1.064077629783138,1.064077629783138,1.3376664159043292,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-25 12:00:00+00:00,1.1041177068378367,1.064077629783138,1.064077629783138,1.286108668046083,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-25 18:00:00+00:00,1.1056456152924583,1.064077629783138,1.064077629783138,1.2878884205990035,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-26 00:00:00+00:00,1.1045195186532364,1.064077629783138,1.064077629783138,1.2865767102262855,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-26 06:00:00+00:00,1.115215909006838,1.064077629783138,1.064077629783138,1.2716727454679122,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-26 12:00:00+00:00,1.08685292797453,1.064077629783138,1.064077629783138,1.3040148504071527,0.970584776910298,1.0327775489183058,1.0508224549170795,0.9740748998440856,0.9693723081394998,1.0444861074221263
2025-06-26 18:00:00+00:00,1.0690312558189727,1.0805149702117138,1.0805149702117138,1.3253974354393743,0.970584776910298,1.0487313813111736,1.0670550360164341,0.9891219229968335,0.9843466880014001,1.0606208077861539
2025-06-27 00:00:00+00:00,1.0925432489380926,1.0567504072894995,1.0567504072894995,1.29624699179002,0.970584776910298,1.0256658583089455,1.043586507357447,0.9673674347899797,0.9626972250608737,1.0372937918556804
2025-06-27 06:00:00+00:00,1.101654603723668,1.0479375498671735,1.0479375498671735,1.2854368327931898,0.970584776910298,1.017112233053755,1.034883431367352,0.9592999940594176,0.954668731930607,1.0286431944869645
2025-06-27 12:00:00+00:00,1.0889693331824124,1.0600042822944453,1.0600042822944453,1.3002383086210587,0.970584776910298,1.028824019854715,1.0467998489642876,0.9703460877386312,0.9656614978128388,1.0404877573548392
2025-06-27 18:00:00+00:00,1.0931835967400154,1.0559021122133816,1.0559021122133816,1.2952064433946913,0.970584776910298,1.0248425160217376,1.04274877946107,0.9665908909381216,0.9619244301698776,1.036461115369304
2025-06-28 00:00:00+00:00,1.100536689957356,1.048799785867976,1.048799785867976,1.2864944816140882,0.970584776910298,1.017949106190238,1.0357349265268414,0.9600892996726695,0.9554542269723826,1.0294895552213228
2025-06-28 06:00:00+00:00,1.100630896530766,1.048710008003302,1.048710008003302,1.2863843569467965,0.970584776910298,1.0178619691614819,1.0356462670216386,0.9600071154766177,0.9553724395412188,1.0294014303234944
