window_days,count,beats,beat_rate,v12_median,v12x_median,delta_median,v12_dd_median,v12x_dd_median,early_sum
30,47,20,0.425531914893617,0.09949824257872875,0.14350528572657417,0.0,-0.18048431107752372,-0.17293917654509594,77
60,43,19,0.4418604651162791,0.3559365857252397,0.3537202850618284,-0.015410771729929773,-0.22580200494170088,-0.21613751619871602,142
90,39,15,0.38461538461538464,0.41033417114816695,0.47003823918921794,-0.042522721629892235,-0.23965157537665616,-0.22637355679101545,188
120,34,9,0.2647058823529412,0.5237557468679102,0.5261042007352625,-0.04128299724827866,-0.2665925614716802,-0.2717999669771009,213
180,26,9,0.34615384615384615,1.1180306182419395,0.9147666558832893,-0.10588010856681529,-0.29540379963402874,-0.2951402690170453,245
