exchange,symbol,variant,window,requested_days,actual_days,start,end,ret,dd,ann,sharpe,entries,exits,long_entries,short_entries,stops,takes,avgw,maxw,costs,funding
hyperliquid,HYPE,V13 全部ATR288双向限制,1周,7.0,7.0,2026-05-13 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.08084699218244562,-0.1263455614330069,-0.9876707701628576,-5.555782016790146,8,8,6,2,5,3,0.5222206735254543,2.6260721599784036,0.01592728956220258,-0.00018492289991512586
hyperliquid,HYPE,V13 全部ATR288双向限制,2周,14.0,14.0,2026-05-06 11:45:00+00:00,2026-05-20 11:45:00+00:00,0.25774863152317473,-0.23867910534113057,393.96083910916167,6.8346972412850455,16,16,9,7,6,10,0.9053448570919786,3.0,0.05118364535655524,-0.0010957195878798936
hyperliquid,HYPE,V13 全部ATR288双向限制,1月,30.0,30.0,2026-04-20 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.10580269697554057,-0.30459990180783225,-0.7434890983468263,-1.1975816599475444,25,25,12,13,12,13,0.9706648820603735,3.0,0.07677878862606576,0.0005464894554165038
hyperliquid,HYPE,V13 全部ATR288双向限制,全部可用,,52.145833333333336,2026-03-29 08:15:00+00:00,2026-05-20 11:45:00+00:00,0.5712029989879361,-0.3045999018078335,22.6345695429047,3.876684524401287,39,39,19,20,14,25,1.0802008987308986,3.0,0.12801794628603125,-0.001785198016660747
hyperliquid,HYPE,V15 ATR384进攻版,1周,7.0,7.0,2026-05-13 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.0862744646826682,-0.12895538766968395,-0.9909463880167284,-5.970329861271509,8,8,6,2,5,3,0.5366107894739839,2.7806495045865933,0.01648366765428817,-0.0002065985623470528
hyperliquid,HYPE,V15 ATR384进攻版,2周,14.0,14.0,2026-05-06 11:45:00+00:00,2026-05-20 11:45:00+00:00,0.25675359852349877,-0.23691779663634416,385.89477882936603,6.839288251316398,16,16,9,7,6,10,0.9103011295136203,3.0,0.05223341877835227,-0.0011452071783199893
hyperliquid,HYPE,V15 ATR384进攻版,1月,30.0,30.0,2026-04-20 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.0871385522543362,-0.28892916163521265,-0.6701935039718964,-1.030567873652094,24,24,12,12,12,12,0.8747545562838143,3.0,0.07039817874824848,0.0007088841317976979
hyperliquid,HYPE,V15 ATR384进攻版,全部可用,,52.145833333333336,2026-03-29 08:15:00+00:00,2026-05-20 11:45:00+00:00,0.33015473888912417,-0.28892916163521054,6.366575779345276,2.807578051385577,35,35,17,18,14,21,0.9453660381833794,3.0,0.10934285933759735,0.001101617951394426
hyperliquid,HYPE,V18 ATR672稳健版,1周,7.0,7.0,2026-05-13 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.06044332358098636,-0.12663769876412923,-0.9612629121361961,-3.3112661815775066,8,8,6,2,5,3,0.5791618716030803,2.6652283638925693,0.018246581161180456,-0.0001556035328167767
hyperliquid,HYPE,V18 ATR672稳健版,2周,14.0,14.0,2026-05-06 11:45:00+00:00,2026-05-20 11:45:00+00:00,0.2878324313938716,-0.23193632592736435,730.4596893594666,6.858981182232777,16,16,9,7,6,10,1.0500168437589084,3.0,0.05454617380475148,-0.0015981532009457042
hyperliquid,HYPE,V18 ATR672稳健版,1月,30.0,30.0,2026-04-20 11:45:00+00:00,2026-05-20 11:45:00+00:00,-0.07532039501682097,-0.29575863808206515,-0.6143199050202721,-0.7089426278942268,24,24,12,12,12,12,0.9377709500478292,3.0,0.07300816882774355,0.00031587426971220673
hyperliquid,HYPE,V18 ATR672稳健版,全部可用,,52.145833333333336,2026-03-29 08:15:00+00:00,2026-05-20 11:45:00+00:00,0.7103438933616011,-0.2957586380820654,41.804651739795645,4.63734644612962,36,36,18,18,13,23,0.9261516622763094,3.0,0.11995085467591567,-0.00040375048981864455
