variant,return,max_drawdown,sharpe,entries,exits,stops,takes,early_exits,avg_abs_allocation,max_abs_allocation,trading_costs,funding_pnl
V18 baseline,8.382460480501933,-0.2795992136490011,3.3750435489316106,310.0,310.0,124.0,186.0,0.0,0.5953021969853107,2.8989135733845584,0.6160060394980836,-0.011384712537573135
opposite_after_2_long,8.78836479364951,-0.3173238682462495,3.517252086940983,323.0,323.0,117.0,186.0,20.0,0.571127272028539,2.8989135733845584,0.6486375740895739,-0.005472307476138716
opposite_after_3_long,11.946437219254792,-0.2670433659733292,3.8290622690959024,315.0,315.0,116.0,187.0,12.0,0.5906145400227348,2.8989135733845584,0.629339875456131,-0.008530839770561625
opposite_after_4_long,9.048383194832898,-0.2632327463996146,3.4783477912546705,311.0,311.0,123.0,185.0,3.0,0.5953573665792784,2.8989135733845584,0.6129251588432884,-0.011291639692416594
opposite_after_5_long,8.627099686565739,-0.2632327463996147,3.4086276967250515,311.0,311.0,123.0,186.0,2.0,0.5957617026546803,2.8989135733845584,0.6169423290860131,-0.01138765945847526
opposite_after_2_short,6.604132953217198,-0.37316910078177457,3.1591453111606764,322.0,322.0,118.0,172.0,32.0,0.5697918469440805,2.9386308389314193,0.6303135545508987,-0.010006149504799585
opposite_after_3_short,9.921051868617072,-0.2614880434130047,3.5752277332933176,314.0,314.0,119.0,183.0,12.0,0.5949695322920637,2.9386308389314193,0.63300997407818,-0.011174768130828556
opposite_after_4_short,10.338803673976624,-0.2795992136490032,3.6183051104008546,310.0,310.0,121.0,187.0,2.0,0.6006391706866753,2.8989135733845584,0.6215285633917869,-0.011150553408674877
opposite_after_5_short,10.164703819025004,-0.27959921364900464,3.5973045975328355,310.0,310.0,121.0,187.0,2.0,0.600731183934516,2.8989135733845584,0.6215285633917869,-0.011150553408674877
opposite_after_2_both,7.729266955657202,-0.340410679906168,3.406872769708217,336.0,336.0,109.0,172.0,55.0,0.5523282244785462,2.9386308389314193,0.6682731409984624,-0.004637460313783076
opposite_after_3_both,14.069470601992085,-0.26530768673108074,4.030422140461664,319.0,319.0,111.0,184.0,24.0,0.5902818753294877,2.9386308389314193,0.6463438100362277,-0.00832089536381705
opposite_after_4_both,11.143578384782275,-0.26323274639961514,3.7222717076627534,311.0,311.0,120.0,186.0,5.0,0.600694340280643,2.8989135733845584,0.6184476827369917,-0.011057480563518336
opposite_after_5_both,10.455813414839492,-0.26323274639961747,3.6307102547055834,311.0,311.0,120.0,187.0,4.0,0.6011906896038856,2.8989135733845584,0.6224648529797164,-0.011153500329577003
inclusive_3_long,8.78836479364951,-0.3173238682462495,3.517252086940983,323.0,323.0,117.0,186.0,20.0,0.571127272028539,2.8989135733845584,0.6486375740895739,-0.005472307476138716
inclusive_3_short,6.604132953217198,-0.37316910078177457,3.1591453111606764,322.0,322.0,118.0,172.0,32.0,0.5697918469440805,2.9386308389314193,0.6303135545508987,-0.010006149504799585
inclusive_3_both,7.729266955657202,-0.340410679906168,3.406872769708217,336.0,336.0,109.0,172.0,55.0,0.5523282244785462,2.9386308389314193,0.6682731409984624,-0.004637460313783076
