window,start,end,v18_return,v21_return,delta_return,v18_dd,v21_dd,v18_sharpe,v21_sharpe,v18_entries,v21_entries,v18_stops,v21_stops,v18_takes,v21_takes,v21_early,v18_avgw,v21_avgw
更新后7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,0.09647305587639354,0.05164473910399359,-0.044828316772399956,-0.11243022572853134,-0.11105000621388472,6.937593309779019,4.087652484806557,7,7,,2,,3,1,,0.3563519634594007
更新后14d,2026-05-14T12:30:00+00:00,2026-05-28T12:30:00+00:00,0.0989837559769704,0.12307594322586035,0.02409218724888995,-0.11243022572853245,-0.11165955217023904,3.401202251923131,4.138195909236109,14,14,,4,,7,2,,0.3394203419796734
更新后30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,0.3451847608690324,0.511313524908114,0.1661287640390816,-0.21432001044922866,-0.17520567972619572,4.1545313657987775,5.783964485863782,27,28,,7,,15,5,,1.003196475532537
更新后60d,2026-03-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,1.1630858185354507,1.3303650704010193,0.16727925186556858,-0.21432001044922933,-0.19871252999271594,5.414408342543187,5.952984191537303,45,47,,12,,27,7,,1.0588819666878166
更新后90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,2.6419285730766187,3.0489017884082017,0.40697321533158304,-0.21432001044922888,-0.1987125299927146,6.226601135085277,6.752840302588154,72,74,,19,,47,7,,0.9380314916201744
更新后120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,3.7990020710724783,3.6151271082571483,-0.18387496281533,-0.21432001044922877,-0.19871252999271471,5.955174295742302,5.944201063596714,105,108,,32,,65,10,,0.7960310530924918
更新后180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,2.6706059281267147,3.1597834791655393,0.48917755103882454,-0.27971965473328764,-0.2648193441243353,3.6087578348713896,3.958767372587422,151,155,,54,,88,12,,0.7147810135398485
更新后270d,2025-08-31T12:30:00+00:00,2026-05-28T12:30:00+00:00,6.133359796833141,6.680406667742652,0.5470468709095107,-0.2797745485315476,-0.2648193441243336,3.8039769746761007,3.9630810026605388,240,246,,87,,141,17,,0.6197801736436169
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,8.998697398046577,15.377891092950925,6.379193694904348,-0.27977454853154593,-0.2648193441243327,3.3894333470804363,4.058310385803841,319,328,,113,,188,26,,0.5827673111897479
