window_days,start,end,v18_return,v21_return,delta_return,v18_dd,v21_dd,delta_dd,v18_sharpe,v21_sharpe,v18_entries,v21_entries,v21_early
7,2025-05-30T10:30:00+00:00,2025-06-06T10:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,2025-06-06T10:30:00+00:00,2025-06-13T10:30:00+00:00,0.1330822439261501,0.08107166851181047,-0.05201057541433962,-0.08186562609684322,-0.081865626096843,2.220446049250313e-16,7.633378796562986,5.140060765745618,10,10,2
7,2025-06-13T10:30:00+00:00,2025-06-20T10:30:00+00:00,0.03395114340071914,0.03395114340071914,0.0,-0.06832335096048148,-0.06832335096048148,0.0,3.5654436964465175,3.5654436964465175,6,6,0
7,2025-06-20T10:30:00+00:00,2025-06-27T10:30:00+00:00,0.03482702767201107,0.03482702767201107,0.0,-0.05226181066570634,-0.05226181066570634,0.0,2.7007150814735232,2.7007150814735232,6,6,0
7,2025-06-27T10:30:00+00:00,2025-07-04T10:30:00+00:00,-0.14831512570054572,-0.12301260648866497,0.02530251921188076,-0.15088737405779995,-0.12566127320843934,0.02522610084936061,-14.472715571557952,-11.751425501699725,6,6,1
7,2025-07-04T10:30:00+00:00,2025-07-11T10:30:00+00:00,-0.1138706706504311,-0.1138706706504311,0.0,-0.12380071426706973,-0.12380071426706973,0.0,-11.196830107139148,-11.196830107139148,4,4,0
7,2025-07-11T10:30:00+00:00,2025-07-18T10:30:00+00:00,0.18829347712206035,0.37013444079356894,0.1818409636715086,-0.10602375113936735,-0.08243141054883174,0.02359234059053561,7.759173082421633,13.691153702309812,8,9,1
7,2025-07-18T10:30:00+00:00,2025-07-25T10:30:00+00:00,0.135340250447316,0.34064100178377,0.20530075133645398,-0.11480352315855114,-0.05348520586390815,0.06131831729464299,6.715758212652442,14.778797137581297,8,8,1
7,2025-07-25T10:30:00+00:00,2025-08-01T10:30:00+00:00,0.04238752789675515,0.027435008687276996,-0.014952519209478154,-0.08844099985311438,-0.10151685033625546,-0.013075850483141083,2.8040737309880095,1.9697531882981332,7,8,1
7,2025-08-01T10:30:00+00:00,2025-08-08T10:30:00+00:00,0.003638308949962532,0.003638308949962532,0.0,-0.09439843281459903,-0.09439843281459903,0.0,0.667722140943296,0.667722140943296,5,5,0
7,2025-08-08T10:30:00+00:00,2025-08-15T10:30:00+00:00,-0.045307971887017184,-0.04993846740981156,-0.004630495522794376,-0.11653490543988543,-0.12081993248990885,-0.004285027050023427,-3.6540839293986034,-4.045903236631284,7,8,1
7,2025-08-15T10:30:00+00:00,2025-08-22T10:30:00+00:00,-0.04923566296536397,0.0891384938817219,0.13837415684708587,-0.10876649393085214,-0.06823817020271394,0.040528323728138194,-3.3897473937803566,8.05267286856235,6,6,1
7,2025-08-22T10:30:00+00:00,2025-08-29T10:30:00+00:00,0.15591314997562478,0.15591314997562478,0.0,-0.09064283408637308,-0.09064283408637308,0.0,8.935647074812552,8.935647074812552,8,8,0
7,2025-08-29T10:30:00+00:00,2025-09-05T10:30:00+00:00,-0.03786739324828725,-0.02342988447746641,0.01443750877082084,-0.09662114830476343,-0.1142180270108859,-0.017596878706122476,-2.8442038639117446,-1.2300728158591647,4,4,1
7,2025-09-05T10:30:00+00:00,2025-09-12T10:30:00+00:00,-0.024896779769525423,-0.024896779769525423,0.0,-0.09996825105759499,-0.09996825105759499,0.0,-1.7649909590803026,-1.7649909590803026,5,5,0
7,2025-09-12T10:30:00+00:00,2025-09-19T10:30:00+00:00,0.04597062399996621,0.04597062399996621,0.0,-0.12184123352023613,-0.12184123352023613,0.0,2.8619335314824346,2.8619335314824346,5,5,0
7,2025-09-19T10:30:00+00:00,2025-09-26T10:30:00+00:00,-0.08609603945245625,-0.08609603945245625,0.0,-0.14160884303154142,-0.14160884303154142,0.0,-4.22994189408548,-4.22994189408548,7,7,0
7,2025-09-26T10:30:00+00:00,2025-10-03T10:30:00+00:00,0.10462666255571662,0.10462666255571662,0.0,-0.07108890312088367,-0.07108890312088367,0.0,9.222398207604344,9.222398207604344,7,7,0
7,2025-10-03T10:30:00+00:00,2025-10-10T10:30:00+00:00,-0.09834810783275016,-0.08737244374059316,0.010975664092157,-0.1296382081014359,-0.12099260438372328,0.008645603717712613,-10.760722867618327,-8.891201954479373,5,5,1
7,2025-10-10T10:30:00+00:00,2025-10-17T10:30:00+00:00,0.0694718364496425,0.03324476145504773,-0.036227074994594766,-0.08066637834865287,-0.09596219331709199,-0.015295814968439125,6.9157360462917135,3.8046004354939047,11,12,1
7,2025-10-17T10:30:00+00:00,2025-10-24T10:30:00+00:00,0.05445819678816699,0.05445819678816699,0.0,-0.08010532142086368,-0.08010532142086368,0.0,4.516525670030552,4.516525670030552,8,8,0
7,2025-10-24T10:30:00+00:00,2025-10-31T10:30:00+00:00,0.5268268838702208,0.5268268838702208,0.0,-0.05286858848065701,-0.05286858848065701,0.0,24.583912856003444,24.583912856003444,9,9,0
7,2025-10-31T10:30:00+00:00,2025-11-07T10:30:00+00:00,0.06938206787179424,0.133243329842343,0.06386126197054875,-0.0752890111016965,-0.0643393290664539,0.010949682035242603,5.484680223655254,9.019243087953559,11,12,2
7,2025-11-07T10:30:00+00:00,2025-11-14T10:30:00+00:00,-0.06194243031704716,-0.12598171573939365,-0.06403928542234649,-0.12399795644493816,-0.12598171573939365,-0.0019837592944554894,-5.86664824192996,-14.748895630845526,8,8,1
7,2025-11-14T10:30:00+00:00,2025-11-21T10:30:00+00:00,0.0616747872947756,0.0616747872947756,0.0,-0.05759837797633438,-0.05759837797633438,0.0,5.018558079685317,5.018558079685317,6,6,0
7,2025-11-21T10:30:00+00:00,2025-11-28T10:30:00+00:00,0.007248086289534994,0.007248086289534994,0.0,-0.06271780459563736,-0.06271780459563736,0.0,0.9444842222249853,0.9444842222249853,6,6,0
7,2025-11-28T10:30:00+00:00,2025-12-05T10:30:00+00:00,-0.011224247700563073,0.02031536401851053,0.0315396117190736,-0.10982735744533767,-0.08143295209728552,0.028394405348052154,-0.34161607833164737,1.7008656704558935,9,9,1
7,2025-12-05T10:30:00+00:00,2025-12-12T10:30:00+00:00,-0.02149983304104075,-0.02149983304104075,0.0,-0.09119990578683557,-0.09119990578683557,0.0,-0.9476590345496599,-0.9476590345496599,8,8,0
7,2025-12-12T10:30:00+00:00,2025-12-19T10:30:00+00:00,-0.09274379049567882,-0.09274379049567882,0.0,-0.11371890989945566,-0.11371890989945566,0.0,-5.422467989300825,-5.422467989300825,7,7,0
7,2025-12-19T10:30:00+00:00,2025-12-26T10:30:00+00:00,0.0839749337023632,0.09433203647950483,0.010357102777141636,-0.05939151032353862,-0.05939151032353862,0.0,5.982440297116026,7.046778233946033,6,6,1
7,2025-12-26T10:30:00+00:00,2026-01-02T10:30:00+00:00,0.03882290368063579,0.03882290368063579,0.0,-0.1352997561102789,-0.1352997561102789,0.0,2.3426108427008288,2.3426108427008288,4,4,0
7,2026-01-02T10:30:00+00:00,2026-01-09T10:30:00+00:00,-0.17544812223040862,-0.08950182950021845,0.08594629273019017,-0.20264632133407,-0.1366656665335133,0.0659806548005567,-10.707122695547255,-4.0782847894015655,6,7,1
7,2026-01-09T10:30:00+00:00,2026-01-16T10:30:00+00:00,-0.10126773816183399,-0.10126773816183399,0.0,-0.1330504807921783,-0.1330504807921783,0.0,-10.40888665422598,-10.40888665422598,4,4,0
7,2026-01-16T10:30:00+00:00,2026-01-23T10:30:00+00:00,0.32864344532344725,0.32864344532344725,0.0,-0.04619908588759425,-0.04619908588759425,0.0,19.650894431303144,19.650894431303144,5,5,0
