window,start,end,v12_return,v12x_return,delta_return,v12_dd,v12x_dd,v12_sharpe,v12x_sharpe,v12_entries,v12x_entries,v12_stops,v12x_stops,v12_takes,v12x_takes,early_exits,v12_avgw,v12x_avgw
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,0.07930456129933061,0.024859514803708294,-0.05444504649562232,-0.10462635571940082,-0.10322104700752366,4.944320554504341,1.873008641479972,9,9,3,3,5,4,1,0.3719827270804472,0.34645533766694026
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,0.10857582469602467,0.05265420212191252,-0.05592162257411215,-0.10462635571940115,-0.10322104700752399,8.004329250668716,4.363357763019523,7,7,2,2,4,3,1,0.39399215029561135,0.3606889587576335
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,0.2849124671980612,0.33391234953863,0.048999882340568846,-0.2258020049417011,-0.19580771852134626,3.689283386635645,4.2762515169033914,26,27,9,8,16,14,4,1.0106554494236153,1.0098606009839843
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,1.611400236581947,0.9305608434826396,-0.6808393930993075,-0.22580200494170144,-0.2161375161987168,4.592393695777828,3.411586857827671,70,73,23,24,46,41,7,0.9864770651209812,0.9485028972063634
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,2.230360753468678,1.1815332701721384,-1.0488274832965394,-0.22580200494170055,-0.21613751619871746,4.40144399871947,3.185606281553588,103,107,37,38,65,59,9,0.8653486870460654,0.827771688011958
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,1.7500965102978845,0.9274811820367297,-0.8226153282611548,-0.23965157537665627,-0.22637355679101367,2.811616610856733,2.0139276944853934,148,152,61,61,86,80,10,0.7779318817915148,0.7531344350770925
近270d,2025-08-31T12:30:00+00:00,2026-05-28T12:30:00+00:00,3.1293144629974554,1.6969825331022586,-1.4323319298951969,-0.29362734945723434,-0.29514026901704726,2.7676010622399447,2.0910674839820804,237,243,103,101,133,126,15,0.6708588823259439,0.6545278091687972
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,6.023849291558591,4.41414462673546,-1.6097046648231306,-0.2994283092531762,-0.29514026901704726,2.826756801093479,2.5449225822995367,321,329,139,132,181,174,22,0.6294425106927908,0.6193791809223862
