window,start,end,variant,return,max_drawdown,sharpe,entries,exits,stops,takes,early_exits,avg_abs_allocation,max_abs_allocation,costs,funding,early_adverse_avg,early_adverse_min
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,0.058623445922459494,-0.11233297169643497,3.653045965724869,9,8,3,5,0,0.327885938415189,1.700309914449531,0.01602387669762011,6.308398786928078e-05,0.0,0.0
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,0.08176967632739984,-0.11095782721273029,5.073490831525492,9,8,2,4,2,0.2922669284664622,1.700309914449531,0.015949945764391654,7.000479718450926e-05,0.010026372109317672,0.006528170825829571
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,0.08176967632739984,-0.11095782721273029,5.073490831525492,9,8,2,4,2,0.2922669284664622,1.700309914449531,0.015949945764391654,7.000479718450926e-05,0.010026372109317672,0.006528170825829571
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,0.08176967632739984,-0.11095782721273029,5.073490831525492,9,8,2,4,2,0.2922669284664622,1.700309914449531,0.015949945764391654,7.000479718450926e-05,0.010026372109317672,0.006528170825829571
新增9d,2026-05-19T09:00:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,0.058623445922459494,-0.11233297169643497,3.653045965724869,9,8,3,5,0,0.327885938415189,1.700309914449531,0.01602387669762011,6.308398786928078e-05,0.0,0.0
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,0.09635502797140649,-0.11233297169643419,6.92992294000116,7,6,2,4,0,0.38244736871917295,1.5609728886832286,0.01171891412498222,-6.994225342182654e-05,0.0,0.0
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,0.051545221511638095,-0.1109578272127304,4.080653188067473,7,6,2,3,1,0.3563519634594007,1.5609728886832286,0.010230547473680074,-5.69283281974448e-05,0.006528170825829571,0.006528170825829571
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,0.051545221511638095,-0.1109578272127304,4.080653188067473,7,6,2,3,1,0.3563519634594007,1.5609728886832286,0.010230547473680074,-5.69283281974448e-05,0.006528170825829571,0.006528170825829571
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,0.051545221511638095,-0.1109578272127304,4.080653188067473,7,6,2,3,1,0.3563519634594007,1.5609728886832286,0.010230547473680074,-5.69283281974448e-05,0.006528170825829571,0.006528170825829571
近7d,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,0.09635502797140649,-0.11233297169643419,6.92992294000116,7,6,2,4,0,0.38244736871917295,1.5609728886832286,0.01171891412498222,-6.994225342182654e-05,0.0,0.0
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,0.3472647421771504,-0.21422376090047823,4.173122663878902,27,26,9,17,0,1.0109208182771459,2.8989135733845584,0.08096292241351428,0.0012136071997646111,0.0,0.0
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,0.5144118612195856,-0.17499487151345405,5.80999598417254,28,27,7,15,5,1.003196475532537,2.9386308389314193,0.08436298429390894,0.0018040383620770855,0.008834939702025934,0.005363117496555603
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,0.5144118612195856,-0.17499487151345405,5.80999598417254,28,27,7,15,5,1.003196475532537,2.9386308389314193,0.08436298429390894,0.0018040383620770855,0.008834939702025934,0.005363117496555603
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,0.5144118612195856,-0.17499487151345405,5.80999598417254,28,27,7,15,5,1.003196475532537,2.9386308389314193,0.08436298429390894,0.0018040383620770855,0.008834939702025934,0.005363117496555603
近30d,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,0.40213985510734473,-0.17538559489606953,4.793257851839422,27,26,9,16,1,1.0064157499256106,2.8989135733845584,0.07694575217078965,0.0013096269658232765,0.008224828545870255,0.008224828545870255
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,2.6450228490085195,-0.2142237609004779,6.229989857332081,72,71,21,50,0,0.9451816145853786,2.8989135733845584,0.19926030760549687,-0.00010614609127683533,0.0,0.0
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,3.054721447447702,-0.1983019831105094,6.759077277521925,74,73,19,47,7,0.9380314916201744,2.9386308389314193,0.20256013084360894,0.0006822556831699862,0.008692482377986048,0.004349352999972744
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,3.054721447447702,-0.1983019831105094,6.759077277521925,74,73,19,47,7,0.9380314916201744,2.9386308389314193,0.20256013084360894,0.0006822556831699862,0.008692482377986048,0.004349352999972744
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,2.720596773418572,-0.19830198311050895,6.433891806826778,74,73,20,47,6,0.9348904956088221,2.9386308389314193,0.2005202333121104,0.0006030534309955824,0.009416337274321599,0.005363117496555603
近90d,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,2.793487389206636,-0.20491531477672265,6.482123815841961,72,71,21,49,1,0.9436924915737833,2.8989135733845584,0.19524313736277235,-1.0126325218169616e-05,0.008224828545870255,0.008224828545870255
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,3.798487580786415,-0.21422376090047812,5.954507013274904,105,104,34,70,0,0.8221154721150246,2.8989135733845584,0.25365805602937785,-0.001255038111307397,0.0,0.0
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,3.616271237543091,-0.19830198311050906,5.944929231964441,108,107,32,65,10,0.7960310530924918,2.9386308389314193,0.25844572463833315,-0.0007957559657630814,0.009435834225408746,0.00393353679213293
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,3.616271237543091,-0.19830198311050906,5.944929231964441,108,107,32,65,10,0.7960310530924918,2.9386308389314193,0.25844572463833315,-0.0007957559657630814,0.009435834225408746,0.00393353679213293
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,3.5528122154550017,-0.19830198311050806,5.9184028018037855,108,107,33,66,8,0.7998262846880088,2.9386308389314193,0.25633515540036733,-0.00043560458215682267,0.010759431557747723,0.005363117496555603
近120d,2026-01-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,3.993933612769905,-0.2049153147767212,6.153186297969748,105,104,34,69,1,0.8209997968806318,2.8989135733845584,0.2496408857866533,-0.0011590183452487312,0.008224828545870255,0.008224828545870255
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,2.6710905223001418,-0.2795142281348175,3.6089498761789147,151,150,58,92,0,0.7286473749812465,2.8989135733845584,0.33338835192024746,0.00013781092290724375,0.0,0.0
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,3.16156255524775,-0.2653076867310826,3.9597322533767167,155,154,54,88,12,0.7147810135398485,2.9386308389314193,0.3435000262682288,0.0002737941560483403,0.00910524269950666,0.00393353679213293
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,3.16156255524775,-0.2653076867310826,3.9597322533767167,155,154,54,88,12,0.7147810135398485,2.9386308389314193,0.3435000262682288,0.0002737941560483403,0.00910524269950666,0.00393353679213293
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,2.977482043609736,-0.26530768673108407,3.858609456857126,155,154,56,89,9,0.7170819409761293,2.9386308389314193,0.3408504079819713,0.0006022367721080382,0.010756079996403193,0.005363117496555603
近180d,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,2.9422463975973225,-0.2632327463996166,3.8065043993791763,151,150,57,91,2,0.7281698073267434,2.8989135733845584,0.32991023072581427,0.00026553945651247454,0.006245122812780668,0.004265417079691081
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,V18 baseline,8.932492645100252,-0.2795992136490011,3.3807662734891974,319,318,127,191,0,0.5885591908099929,2.8989135733845584,0.6320299161957034,-0.011321628549703857,0.0,0.0
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,V21 后3根双向,15.301696335542221,-0.26530768673108074,4.052185223440454,328,327,113,188,26,0.5827673111897479,2.9386308389314193,0.662293755800619,-0.008250890566632542,0.011376227497790863,0.00393353679213293
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,V22 后3根+浮亏才平,15.301696335542221,-0.26530768673108074,4.052185223440454,328,327,113,188,26,0.5827673111897479,2.9386308389314193,0.662293755800619,-0.008250890566632542,0.011376227497790863,0.00393353679213293
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,V23 后3根+浮亏超0.5%才平,10.44349453747826,-0.2653076867310822,3.59312954367765,327,326,118,187,21,0.5830384022689845,2.9386308389314193,0.6516673792794601,-0.010616505801004187,0.013050941460483372,0.005363117496555603
全样本,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,V24 后4根双向,11.855476795527768,-0.26323274639961347,3.720150045901425,320,319,123,191,5,0.5938153690905835,2.8989135733845584,0.6344715594346114,-0.010994396575649058,0.007186126149120731,0.004265417079691081
