window_days,variant,count,beats,beat_rate,delta_median,return_median,dd_median,early_sum
30,V21 后3根双向,47,25,0.5319148936170213,0.013930684113966363,0.18672255612131416,-0.16701217629096432,92
30,V22 后3根+浮亏才平,47,25,0.5319148936170213,0.013930684113966363,0.18672255612131416,-0.16701217629096432,92
30,V23 后3根+浮亏超0.5%才平,47,21,0.44680851063829785,0.0,0.16844973706722377,-0.16318701400229652,72
30,V24 后4根双向,47,15,0.3191489361702128,0.0,0.14264889759089927,-0.14951042409849225,19
60,V21 后3根双向,43,29,0.6744186046511628,0.0913111255946405,0.6454825805257838,-0.1983019831105084,167
60,V22 后3根+浮亏才平,43,29,0.6744186046511628,0.0913111255946405,0.6454825805257838,-0.1983019831105084,167
60,V23 后3根+浮亏超0.5%才平,43,23,0.5348837209302325,0.004242415536726218,0.4302638241446206,-0.19830198311050784,129
60,V24 后4根双向,43,25,0.5813953488372093,0.02539057984832982,0.49818606404365595,-0.20491531477672065,37
90,V21 后3根双向,39,22,0.5641025641025641,0.09315116201881757,0.7746282584151305,-0.22013948880975864,219
90,V22 后3根+浮亏才平,39,22,0.5641025641025641,0.09315116201881757,0.7746282584151305,-0.22013948880975864,219
90,V23 后3根+浮亏超0.5%才平,39,25,0.6410256410256411,0.07673212687441344,0.6960088626435941,-0.2201394888097593,173
90,V24 后4根双向,39,29,0.7435897435897436,0.041816262038018026,0.6973456994179028,-0.2219818759923622,47
120,V21 后3根双向,34,25,0.7352941176470589,0.17694781812007354,0.9187511400374037,-0.23734731955327376,250
120,V22 后3根+浮亏才平,34,25,0.7352941176470589,0.17694781812007354,0.9187511400374037,-0.23734731955327376,250
120,V23 后3根+浮亏超0.5%才平,34,24,0.7058823529411765,0.12444525414502805,0.8371595330738264,-0.23734731955327354,200
120,V24 后4根双向,34,29,0.8529411764705882,0.05344506069144961,0.8132942025505677,-0.23734731955327337,50
