spec,entry_i,exit_i,entry_ts,exit_ts,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,entry_regular_session,version
regular_overnight_v6_long_tp10_sl9_max2,2222,2291,2025-08-07 13:45:00+00:00,2025-08-08 15:00:00+00:00,long,112.686315,116.8327503537031,2.0,0.003731492108583858,0.036796263625295644,0.07359252725059129,70,11.804579147521613,take_profit,1.070458434541955,True,V1
regular_overnight_v6_long_tp10_sl9_max2,2305,2342,2025-08-08 18:30:00+00:00,2025-08-11 12:00:00+00:00,long,118.25909999999999,122.65278653186901,2.0,0.0037671888283192117,0.03715305233905064,0.07430610467810128,38,16.747086367128738,take_profit,1.1468589322422935,True,V1
regular_overnight_v6_long_tp10_sl9_max2,2349,2455,2025-08-11 13:45:00+00:00,2025-08-13 08:15:00+00:00,long,124.232085,128.8175631698439,2.0,0.0037429293502800752,0.036910578856049314,0.07382115771209863,107,10.253758879901424,take_profit,1.2275082918224036,True,V1
regular_overnight_v6_long_tp10_sl9_max2,3484,3525,2025-09-05 13:45:00+00:00,2025-09-08 08:00:00+00:00,long,127.90392,132.0684982328672,2.0,0.0033076746323529417,0.03256020795036774,0.06512041590073547,42,10.53286072667261,take_profit,1.3034435082306646,True,V1
regular_overnight_v6_long_tp10_sl9_max2,3675,3734,2025-09-10 13:45:00+00:00,2025-09-11 12:30:00+00:00,long,140.82037499999998,145.46006875549332,2.0,0.0033464334781667083,0.032947602614276095,0.06589520522855219,60,13.74998357973427,take_profit,1.383424486063745,True,V1
regular_overnight_v6_long_tp10_sl9_max2,4572,4637,2025-09-30 14:15:00+00:00,2025-10-01 14:30:00+00:00,long,168.77934749999997,176.3395611796656,2.0,0.004531613423377649,0.04479347616665974,0.08958695233331948,66,10.277475246952656,take_profit,1.5021736712295837,True,V1
regular_overnight_v6_long_tp10_sl9_max2,4646,4761,2025-10-01 16:45:00+00:00,2025-10-03 13:30:00+00:00,long,180.48019499999998,188.55539983818545,2.0,0.004526551902570642,0.044742886266193826,0.08948577253238765,116,10.587886104915949,take_profit,1.631763700094137,True,V1
regular_overnight_v6_long_tp10_sl9_max2,4765,4819,2025-10-03 14:30:00+00:00,2025-10-06 12:00:00+00:00,long,189.0394725,197.0948986429297,2.0,0.004313396976192366,0.042612402777042924,0.08522480555408585,55,11.590018358748607,take_profit,1.7651847590938112,True,V1
regular_overnight_v6_long_tp10_sl9_max2,4826,4829,2025-10-06 13:45:00+00:00,2025-10-06 14:30:00+00:00,long,199.629765,191.94082927565753,2.0,0.004226110659562839,-0.0385159784380974,-0.0770319568761948,4,0.7233207978761937,stop_loss,1.625330277047804,True,V1
regular_overnight_v6_long_tp10_sl9_max2,5722,5769,2025-10-24 13:45:00+00:00,2025-10-27 09:30:00+00:00,long,214.317105,226.2373069015808,2.0,0.0056147534946648925,0.0556194611791756,0.1112389223583512,48,10.539763567324469,take_profit,1.802703165908913,True,V1
regular_overnight_v6_long_tp10_sl9_max2,5786,6104,2025-10-27 13:45:00+00:00,2025-11-03 14:30:00+00:00,long,222.581235,234.41702999775612,2.0,0.005370202095576154,0.053175169945283596,0.10635033989056719,319,12.581516615487814,take_profit,1.9806093552054822,True,V1
regular_overnight_v6_long_tp10_sl9_max2,6254,6366,2025-11-05 20:00:00+00:00,2025-11-07 16:00:00+00:00,long,238.92440249999999,226.74415720747456,2.0,0.00561163855515401,-0.050979494622887755,-0.10195898924577551,113,5.58311112982044,stop_loss,1.7663263178855644,True,V1
regular_overnight_v6_long_tp10_sl9_max2,6692,6788,2025-11-14 17:30:00+00:00,2025-11-18 09:30:00+00:00,long,254.701287,239.2839326815054,2.0,0.006673461240912484,-0.06053112059262822,-0.12106224118525644,97,3.4585971276111005,stop_loss,1.548439527118295,True,V1
regular_overnight_v6_long_tp10_sl9_max2,7572,7683,2025-12-05 20:00:00+00:00,2025-12-09 16:00:00+00:00,long,237.928905,253.4505978994159,2.0,0.006576956924469629,0.06523668446007402,0.13047336892014805,112,11.22862617430123,take_profit,1.7476478384907335,True,V1
regular_overnight_v6_long_tp10_sl9_max2,8253,8382,2025-12-22 14:45:00+00:00,2025-12-24 15:00:00+00:00,long,271.23555,287.8394138183568,2.0,0.006174653551541204,0.06121566224765451,0.12243132449530902,130,10.756272632807033,take_profit,1.9572381734291775,True,V1
regular_overnight_v6_long_tp10_sl9_max2,8422,8677,2025-12-26 14:45:00+00:00,2026-01-02 14:30:00+00:00,long,287.54369999999994,304.1496861324193,2.0,0.005828031374342328,0.057751173586551685,0.11550234717310337,256,11.263960870242364,take_profit,2.1732611673101245,True,V1
regular_overnight_v6_long_tp10_sl9_max2,8681,8719,2026-01-02 15:30:00+00:00,2026-01-05 09:00:00+00:00,long,307.563705,322.2525025685034,2.0,0.004828269455010929,0.0477585532028344,0.0955171064056688,39,12.044639510031674,take_profit,2.375771196007891,True,V1
regular_overnight_v6_long_tp10_sl9_max2,8742,8806,2026-01-05 14:45:00+00:00,2026-01-06 14:45:00+00:00,long,315.647745,330.4969804504947,2.0,0.004756747622669643,0.04704369248858309,0.09408738497716618,65,12.509355409647203,take_profit,2.592248960924925,True,V1
regular_overnight_v6_long_tp10_sl9_max2,8811,8830,2026-01-06 16:00:00+00:00,2026-01-06 20:45:00+00:00,long,330.16499999999996,343.3513739835636,2.0,0.004045896915584416,0.039938739671266266,0.07987747934253253,20,10.768718392409044,take_profit,2.793289892597874,True,V1
regular_overnight_v6_long_tp10_sl9_max2,11573,11802,2026-03-10 17:30:00+00:00,2026-03-16 10:45:00+00:00,long,415.03241249999996,444.9842148889753,2.0,0.007270373322499083,0.07216738135837852,0.14433476271675705,230,10.047451374132654,take_profit,3.1838105694612953,True,V1
regular_overnight_v6_long_tp10_sl9_max2,13496,13659,2026-04-22 18:15:00+00:00,2026-04-27 11:00:00+00:00,long,484.37206499999996,510.1201703949872,2.0,0.005368454325297259,0.05315770098134642,0.10631540196269285,164,11.191634427668456,take_profit,3.507700851256893,True,V1
regular_overnight_v6_long_tp10_sl9_max2,13991,14053,2026-05-04 14:00:00+00:00,2026-05-05 13:30:00+00:00,long,589.0643849999999,621.9866243200726,2.0,0.005641724241514941,0.055889033793941945,0.11177806758788389,63,12.693714747846839,take_profit,3.8909313099935234,True,V1
regular_overnight_v6_long_tp10_sl9_max2,14055,14090,2026-05-05 14:00:00+00:00,2026-05-05 22:45:00+00:00,long,635.6076449999999,670.2995869140346,2.0,0.00551083040642436,0.05458074991221151,0.10916149982442303,36,14.08684433004442,take_profit,4.303288428137268,True,V1
regular_overnight_v6_long_tp10_sl9_max2,14118,14246,2026-05-06 13:45:00+00:00,2026-05-08 13:45:00+00:00,long,661.99083,701.2809169416316,2.0,0.005988134731116399,0.059351406637508264,0.11870281327501653,129,11.833527159348872,take_profit,4.778070683065884,True,V1
regular_overnight_v6_long_tp10_sl9_max2,14255,14287,2026-05-08 16:00:00+00:00,2026-05-11 08:00:00+00:00,long,722.2059225,768.4807469378163,2.0,0.006460658321114781,0.0640742799195424,0.1281485598390848,33,14.825370549537787,take_profit,5.383589636798395,True,V1
regular_overnight_v6_long_tp10_sl9_max2,14310,14376,2026-05-11 13:45:00+00:00,2026-05-12 14:15:00+00:00,long,798.70425255,752.3170307440731,2.0,0.006400766542992453,-0.05807809543748854,-0.11615619087497708,67,3.482909782562628,stop_loss,4.72993257641835,True,V1
regular_overnight_v6_long_tp10_sl9_max2,14952,14991,2026-05-26 14:15:00+00:00,2026-05-27 08:00:00+00:00,long,860.840205,932.8727736130295,2.0,0.008421915927439383,0.08367704969475676,0.1673540993895135,40,12.253893563662846,take_profit,5.525373537016757,True,V1
regular_overnight_v6_long_tp10_sl9_max2,15014,15183,2026-05-27 13:45:00+00:00,2026-06-01 08:00:00+00:00,long,917.43849,988.5022350172366,2.0,0.007799786488566504,0.07745886595322227,0.15491773190644453,170,12.79957495722578,take_profit,6.342921058604798,True,V1
regular_overnight_v6_long_tp10_sl9_max2,15210,15439,2026-06-01 14:45:00+00:00,2026-06-05 08:00:00+00:00,long,1031.785635,964.3906075630022,2.0,0.007205694740927391,-0.0653188270420123,-0.1306376540840246,230,7.7345575462439236,stop_loss,5.4613250833800775,True,V1
regular_overnight_v6_long_tp10_sl9_max3,2222,2291,2025-08-07 13:45:00+00:00,2025-08-08 15:00:00+00:00,long,112.686315,116.8327503537031,3.0,0.003731492108583858,0.036796263625295644,0.11038879087588693,70,11.804579147521613,take_profit,1.1062308998038053,True,V2
regular_overnight_v6_long_tp10_sl9_max3,2305,2342,2025-08-08 18:30:00+00:00,2025-08-11 12:00:00+00:00,long,118.25909999999999,122.65278653186901,3.0,0.0037671888283192117,0.03715305233905064,0.11145915701715192,38,16.747086367128738,take_profit,1.2256365901595374,True,V2
regular_overnight_v6_long_tp10_sl9_max3,2349,2455,2025-08-11 13:45:00+00:00,2025-08-13 08:15:00+00:00,long,124.232085,128.8175631698439,3.0,0.0037429293502800752,0.036910578856049314,0.11073173656814794,107,10.253758879901424,take_profit,1.3548682401506553,True,V2
regular_overnight_v6_long_tp10_sl9_max3,3484,3525,2025-09-05 13:45:00+00:00,2025-09-08 08:00:00+00:00,long,127.90392,132.0684982328672,3.0,0.0033076746323529417,0.03256020795036774,0.09768062385110321,42,10.53286072667261,take_profit,1.4810623808814176,True,V2
regular_overnight_v6_long_tp10_sl9_max3,3675,3734,2025-09-10 13:45:00+00:00,2025-09-11 12:30:00+00:00,long,140.82037499999998,145.46006875549332,3.0,0.0033464334781667083,0.032947602614276095,0.09884280784282828,60,13.74998357973427,take_profit,1.6149017499844878,True,V2
regular_overnight_v6_long_tp10_sl9_max3,4572,4637,2025-09-30 14:15:00+00:00,2025-10-01 14:30:00+00:00,long,168.77934749999997,176.3395611796656,3.0,0.004531613423377649,0.04479347616665974,0.13438042849997922,66,10.277475246952656,take_profit,1.8221300260449231,True,V2
regular_overnight_v6_long_tp10_sl9_max3,4646,4761,2025-10-01 16:45:00+00:00,2025-10-03 13:30:00+00:00,long,180.48019499999998,188.55539983818545,3.0,0.004526551902570642,0.044742886266193826,0.13422865879858148,116,10.587886104915949,take_profit,2.0586424257154987,True,V2
regular_overnight_v6_long_tp10_sl9_max3,4765,4819,2025-10-03 14:30:00+00:00,2025-10-06 12:00:00+00:00,long,189.0394725,197.0948986429297,3.0,0.004313396976192366,0.042612402777042924,0.12783720833112877,55,11.590018358748607,take_profit,2.311244458418116,True,V2
regular_overnight_v6_long_tp10_sl9_max3,4826,4829,2025-10-06 13:45:00+00:00,2025-10-06 14:30:00+00:00,long,199.629765,191.94082927565753,3.0,0.004226110659562839,-0.0385159784380974,-0.1155479353142922,4,0.7233207978761937,stop_loss,2.0402402297015105,True,V2
regular_overnight_v6_long_tp10_sl9_max3,5722,5769,2025-10-24 13:45:00+00:00,2025-10-27 09:30:00+00:00,long,214.317105,226.2373069015808,3.0,0.0056147534946648925,0.0556194611791756,0.1668583835375268,48,10.539763567324469,take_profit,2.378726827139536,True,V2
regular_overnight_v6_long_tp10_sl9_max3,5786,6104,2025-10-27 13:45:00+00:00,2025-11-03 14:30:00+00:00,long,222.581235,234.41702999775612,3.0,0.005370202095576154,0.053175169945283596,0.1595255098358508,319,12.581516615487814,take_profit,2.7145665775624113,True,V2
regular_overnight_v6_long_tp10_sl9_max3,6254,6366,2025-11-05 20:00:00+00:00,2025-11-07 16:00:00+00:00,long,238.92440249999999,226.74415720747456,3.0,0.00561163855515401,-0.050979494622887755,-0.15293848386866327,113,5.58311112982044,stop_loss,2.2642522173762925,True,V2
regular_overnight_v6_long_tp10_sl9_max3,6692,6788,2025-11-14 17:30:00+00:00,2025-11-18 09:30:00+00:00,long,254.701287,239.2839326815054,3.0,0.006673461240912484,-0.06053112059262822,-0.18159336177788465,97,3.4585971276111005,stop_loss,1.8492570077420791,True,V2
regular_overnight_v6_long_tp10_sl9_max3,7572,7683,2025-12-05 20:00:00+00:00,2025-12-09 16:00:00+00:00,long,237.928905,253.4505978994159,3.0,0.006576956924469629,0.06523668446007402,0.19571005338022207,112,11.22862617430123,take_profit,2.2108769203834577,True,V2
regular_overnight_v6_long_tp10_sl9_max3,8253,8382,2025-12-22 14:45:00+00:00,2025-12-24 15:00:00+00:00,long,271.23555,287.8394138183568,3.0,0.006174653551541204,0.06121566224765451,0.18364698674296354,130,10.756272632807033,take_profit,2.611941113845698,True,V2
regular_overnight_v6_long_tp10_sl9_max3,8422,8677,2025-12-26 14:45:00+00:00,2026-01-02 14:30:00+00:00,long,287.54369999999994,304.1496861324193,3.0,0.005828031374342328,0.057751173586551685,0.17325352075965506,256,11.263960870242364,take_profit,3.03718492315995,True,V2
regular_overnight_v6_long_tp10_sl9_max3,8681,8719,2026-01-02 15:30:00+00:00,2026-01-05 09:00:00+00:00,long,307.563705,322.2525025685034,3.0,0.004828269455010929,0.0477585532028344,0.1432756596085032,39,12.044639510031674,take_profit,3.467249973657971,True,V2
regular_overnight_v6_long_tp10_sl9_max3,8742,8806,2026-01-05 14:45:00+00:00,2026-01-06 14:45:00+00:00,long,315.647745,330.4969804504947,3.0,0.004756747622669643,0.04704369248858309,0.14113107746574927,65,12.509355409647203,take_profit,3.9439886435259983,True,V2
regular_overnight_v6_long_tp10_sl9_max3,8811,8830,2026-01-06 16:00:00+00:00,2026-01-06 20:45:00+00:00,long,330.16499999999996,343.3513739835636,3.0,0.004045896915584416,0.039938739671266266,0.1198162190137988,20,10.768718392409044,take_profit,4.410082999325627,True,V2
regular_overnight_v6_long_tp10_sl9_max3,11573,11802,2026-03-10 17:30:00+00:00,2026-03-16 10:45:00+00:00,long,415.03241249999996,444.9842148889753,3.0,0.007270373322499083,0.07216738135837852,0.21650214407513557,230,10.047451374132654,take_profit,5.326196035557878,True,V2
regular_overnight_v6_long_tp10_sl9_max3,13496,13659,2026-04-22 18:15:00+00:00,2026-04-27 11:00:00+00:00,long,484.37206499999996,510.1201703949872,3.0,0.005368454325297259,0.05315770098134642,0.15947310294403927,164,11.191634427668456,take_profit,6.128837234479954,True,V2
regular_overnight_v6_long_tp10_sl9_max3,13991,14053,2026-05-04 14:00:00+00:00,2026-05-05 13:30:00+00:00,long,589.0643849999999,621.9866243200726,3.0,0.005641724241514941,0.055889033793941945,0.16766710138182583,63,12.693714747846839,take_profit,7.142416730242151,True,V2
