spec,entry_i,exit_i,entry_ts,exit_ts,side,entry_price,exit_price,allocation,entry_atr,estimated_stop_loss_pct,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,entry_regular_session,version
regular_dynamic_target125bps_max2,2222,2291,2025-08-07 13:45:00+00:00,2025-08-08 15:00:00+00:00,long,112.686315,116.8327503537031,2.0,0.003731492108583858,0.06716685795450944,0.036796263625295644,0.07359252725059129,70,11.804579147521613,take_profit,1.070458434541955,True,D1
regular_dynamic_target125bps_max2,2305,2342,2025-08-08 18:30:00+00:00,2025-08-11 12:00:00+00:00,long,118.25909999999999,122.65278653186901,2.0,0.0037671888283192117,0.06780939890974581,0.03715305233905064,0.07430610467810128,38,16.747086367128738,take_profit,1.1468589322422935,True,D1
regular_dynamic_target125bps_max2,2349,2455,2025-08-11 13:45:00+00:00,2025-08-13 08:15:00+00:00,long,124.232085,128.8175631698439,2.0,0.0037429293502800752,0.06737272830504136,0.036910578856049314,0.07382115771209863,107,10.253758879901424,take_profit,1.2275082918224036,True,D1
regular_dynamic_target125bps_max2,3484,3525,2025-09-05 13:45:00+00:00,2025-09-08 08:00:00+00:00,long,127.90392,132.0684982328672,2.0,0.0033076746323529417,0.05953814338235295,0.03256020795036774,0.06512041590073547,42,10.53286072667261,take_profit,1.3034435082306646,True,D1
regular_dynamic_target125bps_max2,3675,3734,2025-09-10 13:45:00+00:00,2025-09-11 12:30:00+00:00,long,140.82037499999998,145.46006875549332,2.0,0.0033464334781667083,0.060235802607000746,0.032947602614276095,0.06589520522855219,60,13.74998357973427,take_profit,1.383424486063745,True,D1
regular_dynamic_target125bps_max2,4572,4637,2025-09-30 14:15:00+00:00,2025-10-01 14:30:00+00:00,long,168.77934749999997,176.3395611796656,2.0,0.004531613423377649,0.08156904162079769,0.04479347616665974,0.08958695233331948,66,10.277475246952656,take_profit,1.5021736712295837,True,D1
regular_dynamic_target125bps_max2,4646,4761,2025-10-01 16:45:00+00:00,2025-10-03 13:30:00+00:00,long,180.48019499999998,188.55539983818545,2.0,0.004526551902570642,0.08147793424627155,0.044742886266193826,0.08948577253238765,116,10.587886104915949,take_profit,1.631763700094137,True,D1
regular_dynamic_target125bps_max2,4765,4819,2025-10-03 14:30:00+00:00,2025-10-06 12:00:00+00:00,long,189.0394725,197.0948986429297,2.0,0.004313396976192366,0.0776411455714626,0.042612402777042924,0.08522480555408585,55,11.590018358748607,take_profit,1.7651847590938112,True,D1
regular_dynamic_target125bps_max2,4826,4829,2025-10-06 13:45:00+00:00,2025-10-06 14:30:00+00:00,long,199.629765,191.94082927565753,2.0,0.004226110659562839,0.0760699918721311,-0.0385159784380974,-0.0770319568761948,4,0.7233207978761937,stop_loss,1.625330277047804,True,D1
regular_dynamic_target125bps_max2,5722,5769,2025-10-24 13:45:00+00:00,2025-10-27 09:30:00+00:00,long,214.317105,226.2373069015808,2.0,0.0056147534946648925,0.10106556290396806,0.0556194611791756,0.1112389223583512,48,10.539763567324469,take_profit,1.802703165908913,True,D1
regular_dynamic_target125bps_max2,5786,6104,2025-10-27 13:45:00+00:00,2025-11-03 14:30:00+00:00,long,222.581235,234.41702999775612,2.0,0.005370202095576154,0.09666363772037077,0.053175169945283596,0.10635033989056719,319,12.581516615487814,take_profit,1.9806093552054822,True,D1
regular_dynamic_target125bps_max2,6254,6366,2025-11-05 20:00:00+00:00,2025-11-07 16:00:00+00:00,long,238.92440249999999,226.74415720747456,2.0,0.00561163855515401,0.10100949399277218,-0.050979494622887755,-0.10195898924577551,113,5.58311112982044,stop_loss,1.7663263178855644,True,D1
regular_dynamic_target125bps_max2,6692,6788,2025-11-14 17:30:00+00:00,2025-11-18 09:30:00+00:00,long,254.701287,239.2839326815054,1.8730909716485946,0.006673461240912484,0.11250000000000002,-0.06053112059262822,-0.11338029548582425,97,3.4585971276111005,stop_loss,1.562050902834824,True,D1
regular_dynamic_target125bps_max2,7572,7683,2025-12-05 20:00:00+00:00,2025-12-09 16:00:00+00:00,long,237.928905,253.4505978994159,1.9005750141822635,0.006576956924469629,0.1125,0.06523668446007402,0.12398721249290903,112,11.22862617430123,take_profit,1.7527601317873804,True,D1
regular_dynamic_target125bps_max2,8253,8382,2025-12-22 14:45:00+00:00,2025-12-24 15:00:00+00:00,long,271.23555,287.8394138183568,2.0,0.006174653551541204,0.11114376392774167,0.06121566224765451,0.12243132449530902,130,10.756272632807033,take_profit,1.9629635692289418,True,D1
regular_dynamic_target125bps_max2,8422,8677,2025-12-26 14:45:00+00:00,2026-01-02 14:30:00+00:00,long,287.54369999999994,304.1496861324193,2.0,0.005828031374342328,0.1049045647381619,0.057751173586551685,0.11550234717310337,256,11.263960870242364,take_profit,2.1796184826987246,True,D1
regular_dynamic_target125bps_max2,8681,8719,2026-01-02 15:30:00+00:00,2026-01-05 09:00:00+00:00,long,307.563705,322.2525025685034,2.0,0.004828269455010929,0.08690885019019672,0.0477585532028344,0.0955171064056688,39,12.044639510031674,take_profit,2.3827209022886433,True,D1
regular_dynamic_target125bps_max2,8742,8806,2026-01-05 14:45:00+00:00,2026-01-06 14:45:00+00:00,long,315.647745,330.4969804504947,2.0,0.004756747622669643,0.08562145720805357,0.04704369248858309,0.09408738497716618,65,12.509355409647203,take_profit,2.599831917109968,True,D1
regular_dynamic_target125bps_max2,8811,8830,2026-01-06 16:00:00+00:00,2026-01-06 20:45:00+00:00,long,330.16499999999996,343.3513739835636,2.0,0.004045896915584416,0.07282614448051948,0.039938739671266266,0.07987747934253253,20,10.768718392409044,take_profit,2.8014609422103853,True,D1
regular_dynamic_target125bps_max2,11573,11802,2026-03-10 17:30:00+00:00,2026-03-16 10:45:00+00:00,long,415.03241249999996,444.9842148889753,1.7193064847601678,0.007270373322499083,0.1125,0.07216738135837852,0.12407784675762024,230,10.047451374132654,take_profit,3.138858136694898,True,D1
regular_dynamic_target125bps_max2,13496,13659,2026-04-22 18:15:00+00:00,2026-04-27 11:00:00+00:00,long,484.37206499999996,510.1201703949872,2.0,0.005368454325297259,0.09663217785535065,0.05315770098134642,0.10631540196269285,164,11.191634427668456,take_profit,3.4581753901025167,True,D1
