rule,crosses,effective_rate,big_trend_rate,avg_mfe_atr,avg_mae_atr,median_churn192
none,113,0.26548672566371684,0.1592920353982301,12.539481047136997,10.260279736827464,2.0
slope_h1,39,0.358974358974359,0.15384615384615385,14.516143393372621,7.595834211641956,1.0
strict,5,0.2,0.0,10.52881571765165,13.197160214545729,1.0
