strategy,entry_ts,exit_ts,side,exit_reason,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,entry_atr_pct,mfe_pct,mfe_atr,mae_pct,mae_atr,capture_ratio,giveback_pct,giveback_atr,post_32_follow_pct,post_96_follow_pct,post_32_reverse_pct,post_96_follow_atr,diagnosis
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-09 17:30:00+00:00,2025-06-10 05:45:00+00:00,long,warning_confirm_volume,38.143062,38.76061,1.9997658353822731,0.016190310049046364,0.03237682890032921,50,0.008000936768149886,0.039979433219073934,4.996844041840699,0.02024121713144056,2.5298559053755754,0.404965972387074,0.02378912317002757,2.9732922355701232,0.08034935466701887,0.09417782640675676,0.003524454336502947,11.770849981174663,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-10 06:15:00+00:00,2025-06-10 13:45:00+00:00,long,warning_confirm_volume,38.769375,40.478750500000004,2.0270622801169775,0.04409087069368556,0.08937494088068507,31,0.007893196058621679,0.08010510873595478,10.148627772707682,0.0004997501249374148,0.06331403923402378,0.5504127188569135,0.03601423804226922,4.562693967664865,0.03911310207067764,0.06574435888281682,0.023438235822027198,8.329244376364471,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-10 14:00:00+00:00,2025-06-11 01:00:00+00:00,long,warning_confirm_volume,40.475227499999995,41.43827050000001,2.069336986926984,0.02379339313163875,0.04923654845179453,45,0.00773194511144383,0.04782610548637445,6.185520563976637,0.023353235012699924,3.020357061011138,0.49749802727335674,0.024032712354735697,3.1082362857394794,0.041066614978537475,0.06394401764426894,0.014606557964334188,8.270107550249836,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-16 11:15:00+00:00,2025-06-16 16:00:00+00:00,long,warning_confirm_volume,43.951964999999994,44.587695000000004,1.6859373619196163,0.014464199723493776,0.02438573472410554,20,0.009490269544642112,0.04309329514618976,4.54078727094941,0.021295179862834246,2.2438962099719064,0.3356484964639024,0.028629095422695983,3.016678850692814,0.015324968020885565,0.015324968020885565,0.07299536340687729,1.6148085097896434,late_exit_giveback
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-29 11:30:00+00:00,2025-06-30 06:45:00+00:00,long,warning_confirm_volume,38.751366,40.071954,1.7449774466961916,0.034078489000878065,0.05946619472401646,78,0.00916917294850612,0.064968909741143,7.08558013967094,0.02029260078212458,2.213133168726056,0.5245353375431066,0.030890420740264934,3.3689429694199116,0.006813892828884782,0.029597907803547763,0.016119852802785606,3.2279800991615035,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-30 07:00:00+00:00,2025-07-01 19:45:00+00:00,long,stop_loss,39.992986499999994,37.00669442010806,1.940504711294919,-0.07467039451759705,-0.14489825235564735,148,0.008245277585192274,0.03163088358004984,3.8362424130942383,0.07526285890152262,9.127995767745587,-2.3606800084678317,0.10630127809764689,12.892383185322199,0.018761621127519,0.07380571603844333,0.005342125883057602,8.95127123081839,bad_entry
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-10 03:30:00+00:00,2025-07-11 11:15:00+00:00,long,warning_confirm_volume,41.43370649999999,45.510233500000005,3.0,0.09838673255070751,0.29516019765212254,128,0.005296926258490256,0.11879925586671836,22.42796106068104,0.0172735330835051,3.261048434612048,0.828176336904738,0.020412523316010844,3.853654425204114,0.02917511948164342,0.04178766738254591,0.010266559058634717,7.889040802779903,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-11 14:45:00+00:00,2025-07-12 11:45:00+00:00,long,warning_confirm_volume,46.2421095,46.860558000000005,3.0,0.013374141160234165,0.040122423480702496,85,0.004945100511701552,0.025299245917836055,5.116022588008201,0.02593111588042929,5.24379955858707,0.5286379366274055,0.01192510475760189,2.4114989633443464,0.000564269849283372,0.028242130620808936,0.037826224775215134,5.711133788682314,early_exit
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-13 19:45:00+00:00,2025-07-14 18:45:00+00:00,long,stop_loss,49.143559499999995,46.735279072620976,2.967281357455893,-0.04900500598413138,-0.14541164067872753,93,0.005392141179937916,0.015860481168443075,2.9414068807125875,0.05222575503510274,9.685531830919913,-3.0897553147148242,0.06486548715257445,12.029634423133057,0.027339537769606403,0.035534631660131266,0.0049487042168208095,6.590078129323091,bad_entry
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-01 08:30:00+00:00,2025-08-01 23:45:00+00:00,short,warning_confirm_volume,39.581199500000004,37.5417615,1.8153650100624212,0.05152542181042297,0.09353744788334899,62,0.007711947692281791,0.08231684590559218,10.673937271122295,0.020606732815360962,2.672052980336527,0.625940185676169,0.030791424095169218,3.992690993740225,0.00039320211439730635,0.054572865474093346,0.025098409407347644,7.07640503432233,early_exit
