name,return,max_dd,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,worst_trade_pct,signal_count,large_regime_covered,exit_reasons
V14_fixed,21.919177103470986,-0.24655341994276858,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,-0.1223496346958749,1006,17,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
confirm_either_age256,2.7958224878030746,-0.39211047918146413,2.25086688432419,47,0,0.48936170212765956,0.03850424363050575,-0.010635444758992554,-0.11262617125220951,345,8,"{'warning_confirm_volume': 21, 'hard_swing96': 24, 'opposite_cross': 2}"
cross_slope_h1_age256,2.3957050698590105,-0.42256569553747014,2.0555397114604195,47,0,0.44680851063829785,0.03629943126203722,-0.014157729136688009,-0.12095141336607332,348,8,"{'warning_confirm_volume': 19, 'hard_swing96': 25, 'opposite_cross': 3}"
confirm_either_age128,2.3070165305602073,-0.39211047918146413,2.0760797444252863,46,2,0.4782608695652174,0.03596312327249342,-0.01287580716806679,-0.08361898355109336,345,8,"{'warning_confirm_volume': 20, 'hard_swing96': 24, 'opposite_cross': 2}"
confirm_either_age192,2.1841693838147225,-0.39211047918146413,2.0119503024877265,46,0,0.4782608695652174,0.035219764164667676,-0.01287580716806679,-0.11262617125220951,345,8,"{'warning_confirm_volume': 20, 'hard_swing96': 24, 'opposite_cross': 2}"
confirm_breakout48_age256,2.1152400687120814,-0.3777314484952984,1.9973993977274032,42,0,0.5476190476190477,0.037708567317016696,0.029124891066666228,-0.14517330492533395,340,8,"{'warning_confirm_volume': 21, 'hard_swing96': 20, 'stop_loss': 1}"
cross_slope_h1_age128,1.856891111857664,-0.42256569553747014,1.8336057940871775,46,2,0.43478260869565216,0.03292229550815742,-0.019037232066781234,-0.12095141336607332,348,8,"{'warning_confirm_volume': 18, 'hard_swing96': 25, 'opposite_cross': 3}"
cross_slope_h1_age192,1.8485262824204431,-0.42256569553747014,1.8209864754281857,46,0,0.43478260869565216,0.03296702109253679,-0.015270073048376399,-0.12095141336607332,348,8,"{'warning_confirm_volume': 18, 'hard_swing96': 25, 'opposite_cross': 3}"
confirm_breakout48_age128,1.6209289324340252,-0.3777314484952984,1.764750000211369,41,2,0.5365853658536586,0.033953954911565706,0.02720632525073543,-0.14517330492533395,340,8,"{'warning_confirm_volume': 20, 'hard_swing96': 20, 'stop_loss': 1}"
confirm_breakout48_age192,1.6132549880558442,-0.3777314484952984,1.751319126886251,41,0,0.5365853658536586,0.03400413483550352,0.02720632525073543,-0.14517330492533395,340,8,"{'warning_confirm_volume': 20, 'hard_swing96': 20, 'stop_loss': 1}"
confirm_breakout96_age256,1.5291133657726341,-0.3915933034905221,1.6851059981266954,42,0,0.5,0.03289249861035979,-0.0008352472289529216,-0.14517330492533395,340,8,"{'warning_confirm_volume': 19, 'hard_swing96': 22, 'stop_loss': 1}"
confirm_pullback_age256,1.3399920374610845,-0.33637385519250584,1.6954885290995807,44,0,0.4318181818181818,0.02740003285469612,-0.01287580716806679,-0.08295973459786674,134,7,"{'warning_confirm_volume': 19, 'hard_swing96': 23, 'opposite_cross': 2}"
confirm_breakout96_age128,1.1278059628000219,-0.3915933034905221,1.4488886972518011,41,2,0.4878048780487805,0.029020421114502534,-0.01985095914469888,-0.14517330492533395,340,8,"{'warning_confirm_volume': 18, 'hard_swing96': 22, 'stop_loss': 1}"
confirm_breakout96_age192,1.1215758569760879,-0.3915933034905221,1.4383335349685398,41,0,0.4878048780487805,0.029070601038440346,-0.010635444758992554,-0.14517330492533395,340,8,"{'warning_confirm_volume': 18, 'hard_swing96': 22, 'stop_loss': 1}"
confirm_pullback_age128,0.9629292539352194,-0.33637385519250584,1.4175749765763546,43,1,0.4186046511627907,0.023628166198780744,-0.015116169577141025,-0.08295973459786674,134,7,"{'warning_confirm_volume': 18, 'hard_swing96': 23, 'opposite_cross': 2}"
confirm_pullback_age192,0.9629292539352194,-0.33637385519250584,1.4175749765763546,43,0,0.4186046511627907,0.023628166198780744,-0.015116169577141025,-0.08295973459786674,134,7,"{'warning_confirm_volume': 18, 'hard_swing96': 23, 'opposite_cross': 2}"
cross_strict_age192,0.12137785071996432,-0.13819002579794848,0.7275459900990778,6,0,0.5,0.025848637814057617,0.018943894218485254,-0.036532709091488175,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
cross_strict_age256,0.12137785071996432,-0.13819002579794848,0.7275459900990778,6,0,0.5,0.025848637814057617,0.018943894218485254,-0.036532709091488175,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
cross_strict_age128,0.08289220409714892,-0.13760131315504343,0.5384976987276872,6,1,0.5,0.019806655173818532,0.007741980603036984,-0.04688734060042706,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
confirm_either_strict_age128,0.01985037638906051,-0.16713276331556082,0.20146045542807264,6,1,0.5,0.009957880070603806,0.01741177520583973,-0.05956931691050219,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
confirm_either_strict_age192,0.01985037638906051,-0.16713276331556082,0.20146045542807264,6,0,0.5,0.009957880070603806,0.01741177520583973,-0.05956931691050219,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
confirm_either_strict_age256,0.01985037638906051,-0.16713276331556082,0.20146045542807264,6,0,0.5,0.009957880070603806,0.01741177520583973,-0.05956931691050219,8,0,"{'warning_confirm_volume': 3, 'hard_swing96': 3}"
