name,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,entry_max_regime_age,entry_max_dist_ema96,entry_max_move48,exit_reasons
V13_no_age_dist08,16.163969357019212,-0.3765216542764862,3.2616539210988527,60,0.65,0.0611599997429185,0.053820794991809875,0.5920380316936312,-0.13826903700571208,115.0,0,0.08,0.0,"{'hard_swing96': 20, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}"
V12_3_no_entry_filter,15.870878277940179,-0.37525993318902473,3.240144167969433,60,0.65,0.06097450396284778,0.053820794991809875,0.5920380316936312,-0.144563902827127,113.03333333333333,0,0.0,0.0,"{'hard_swing96': 19, 'warning_confirm_volume': 36, 'stop_loss': 4, 'opposite_cross': 1}"
V13_age128_dist08,15.731450131323182,-0.20391421580860203,4.287107276341725,27,0.8518518518518519,0.12014040796362152,0.10633218300399427,0.5920380316936312,-0.1223496346958749,122.51851851851852,128,0.08,0.0,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}"
V13_age256_dist08,15.41418950895957,-0.37652165427648676,3.692399035252042,39,0.7435897435897436,0.086603098452204,0.06817646602792897,0.5920380316936312,-0.13826903700571208,123.2051282051282,256,0.08,0.0,"{'hard_swing96': 10, 'warning_confirm_volume': 26, 'stop_loss': 3}"
V13_age128_dist10,14.884264202676777,-0.2039142158086018,4.1830654240306275,27,0.8518518518518519,0.11832377459395332,0.0998102340136185,0.5920380316936312,-0.1223496346958749,123.11111111111111,128,0.1,0.0,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}"
V13_age128_dist08_move12,14.7558028490615,-0.20391421580860214,4.23065347750144,27,0.8518518518518519,0.11764415777777029,0.0998102340136185,0.5920380316936312,-0.1223496346958749,121.29629629629629,128,0.08,0.12,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}"
V13_age384_dist08,14.606663342472354,-0.37652165427648787,3.42784094246884,47,0.6808510638297872,0.07294336896663232,0.05508211387509543,0.5920380316936312,-0.13826903700571208,116.97872340425532,384,0.08,0.0,"{'hard_swing96': 14, 'warning_confirm_volume': 29, 'stop_loss': 3, 'opposite_cross': 1}"
V13_age256_dist10,14.524001309766362,-0.3788849062921902,3.5977469610133723,39,0.7435897435897436,0.08530630863634374,0.06817646602792897,0.5920380316936312,-0.13826903700571208,124.0,256,0.1,0.0,"{'hard_swing96': 10, 'warning_confirm_volume': 26, 'stop_loss': 3}"
V12_4_age128,12.584263027072895,-0.2947181620802719,3.944189174820526,28,0.8214285714285714,0.10893492897177186,0.08632050909581226,0.5920380316936312,-0.144563902827127,120.32142857142857,128,0.0,0.0,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 2}"
V13_age128_dist12,12.583538680459908,-0.294755769457975,3.9479417992444277,28,0.8214285714285714,0.1089358394290476,0.08632050909581226,0.5920380316936312,-0.14453841002340634,120.39285714285714,128,0.12,0.0,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 2}"
V13_age192_dist08,12.378320305272622,-0.3765216542764873,3.5760999383807492,35,0.7428571428571429,0.08911547832879774,0.06817646602792897,0.5920380316936312,-0.13826903700571208,125.97142857142858,192,0.08,0.0,"{'hard_swing96': 10, 'warning_confirm_volume': 23, 'stop_loss': 2}"
V13_age192_dist10,11.652775930737326,-0.3788849062921906,3.4765752446963885,35,0.7428571428571429,0.08767048396255343,0.06817646602792897,0.5920380316936312,-0.13826903700571208,126.85714285714286,192,0.1,0.0,"{'hard_swing96': 10, 'warning_confirm_volume': 23, 'stop_loss': 2}"
