parameter,value,name,action,exit_rvol,min_mfe_atr,fail_bars,cooldown_bars,reduce_fraction,wick_min,stop_atr,adx_exit,adx_exit_bars,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,reduce_events,exit_reasons,fitness,delta_return,delta_max_dd,delta_sharpe,delta_fitness
min_mfe_atr,2.5,Ablation_full_exit_xrv2_mfe2.5_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,2.5,1,0,0.5,0.35,9.0,22.0,3,3.8989573489319405,-0.28307448860879314,2.6432118649716854,124,0.75,0.018863612297775844,0.027966703528971536,0.1659875736706442,-0.14507386535204692,22.782258064516128,0,"{'volume_exhaustion': 85, 'trend_break': 36, 'stop_loss': 2, 'opposite_cross': 1}",3.4743456160187507,-1.036593324346101,-0.006801229870799563,-0.20487632441326742,-1.0467951691523
min_mfe_atr,3.0,Ablation_full_exit_xrv2_mfe3_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,3.0,1,0,0.5,0.35,9.0,22.0,3,4.127248050678535,-0.2762732587379937,2.686585386094093,109,0.7247706422018348,0.02136704490976831,0.037278895712565006,0.1659875736706442,-0.14507386535204692,26.73394495412844,0,"{'volume_exhaustion': 69, 'trend_break': 36, 'stop_loss': 3, 'opposite_cross': 1}",3.7128381625715443,-0.8083026225995065,-1.1102230246251565e-16,-0.16150280329085964,-0.8083026225995065
min_mfe_atr,4.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
min_mfe_atr,5.0,Ablation_full_exit_xrv2_mfe5_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,5.0,1,0,0.5,0.35,9.0,22.0,3,4.758327080803934,-0.27627325873799347,2.792496110588686,90,0.7222222222222222,0.02656542606434184,0.03818077630698006,0.1659875736706442,-0.1450480397092712,34.21111111111111,0,"{'volume_exhaustion': 46, 'trend_break': 40, 'stop_loss': 3, 'opposite_cross': 1}",4.343917192696944,-0.17722359247410768,1.1102230246251565e-16,-0.05559207879626671,-0.1772235924741068
min_mfe_atr,6.0,Ablation_full_exit_xrv2_mfe6_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,6.0,1,0,0.5,0.35,9.0,22.0,3,4.349422836857673,-0.27627325873799347,2.6868979391431385,79,0.6708860759493671,0.028754464829907896,0.02231747743165683,0.1659875736706442,-0.1450568916160212,39.392405063291136,0,"{'volume_exhaustion': 35, 'trend_break': 40, 'stop_loss': 3, 'opposite_cross': 1}",3.9350129487506824,-0.5861278364203688,1.1102230246251565e-16,-0.16119025024181433,-0.5861278364203684
fail_bars,1,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
fail_bars,2,Ablation_full_exit_xrv2_mfe4_fb2_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,2,0,0.5,0.35,9.0,22.0,3,3.369178564272084,-0.2726980633029715,2.3792166135013066,73,0.6986301369863014,0.02845999107696067,0.02231747743165683,0.31967498370047137,-0.1450480397092712,43.47945205479452,0,"{'volume_exhaustion': 25, 'trend_break': 44, 'stop_loss': 3, 'opposite_cross': 1}",2.9601314693176266,-1.5663721090059575,0.0035751954350220494,-0.46887157588364614,-1.5610093158534242
fail_bars,3,Ablation_full_exit_xrv2_mfe4_fb3_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,3,0,0.5,0.35,9.0,22.0,3,4.065432834246445,-0.2731571172951264,2.5458166618377236,60,0.6666666666666666,0.03644452784863938,0.015679883014454152,0.4386992452809392,-0.1450568916160212,54.85,0,"{'volume_exhaustion': 11, 'trend_break': 46, 'stop_loss': 2, 'opposite_cross': 1}",3.655697158303755,-0.8701178390315967,0.003116141442867204,-0.3022715275472292,-0.8654436268672958
fail_bars,4,Ablation_full_exit_xrv2_mfe4_fb4_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,4,0,0.5,0.35,9.0,22.0,3,4.418991046439019,-0.26767116452502715,2.6254024155296793,51,0.6666666666666666,0.04463396733259582,0.014585125029746182,0.8017530910211013,-0.12620230716950687,64.86274509803921,0,"{'trend_break': 47, 'stop_loss': 1, 'volume_exhaustion': 2, 'opposite_cross': 1}",4.017484299651478,-0.5165596268390225,0.008602094212966427,-0.22268577385527344,-0.5036564855195724
cooldown_bars,0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
cooldown_bars,16,Ablation_full_exit_xrv2_mfe4_fb1_cd16_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,16,0.5,0.35,9.0,22.0,3,2.7601931915901674,-0.27898174668857245,2.515475466554299,79,0.7215189873417721,0.02316532331578305,0.04163996903237122,0.14693787144459763,-0.12620230716950687,29.455696202531644,0,"{'volume_exhaustion': 42, 'trend_break': 34, 'stop_loss': 2, 'opposite_cross': 1}",2.3417205715573086,-2.175357481687874,-0.002708487950578875,-0.3326127228306537,-2.179420213613742
