cross_i,ts,side,direction,mfe,mae,mfe_atr,mae_atr,effective,big_trend,ema96_slope48_same,ema384_slope96_same,h1_same,adx28,adx_slope16,vol_surge192,atr_ratio96_672,churn192,dist_ema96
843,2025-06-08 05:15:00+00:00,long,1,0.24729114210541203,0.018134495148103058,28.04920349925505,2.0569201971196036,True,True,True,False,False,13.61030171983228,5.699173750100366,-0.6761217799045557,0.6477346525575904,1,0.020981058073134218
1528,2025-06-15 08:30:00+00:00,short,-1,0.06336342327065969,0.1432347513839709,6.337693187048103,14.326528794334665,False,False,True,True,False,10.90808119151987,-3.3953086973567395,-0.5685623599273948,0.7581506005314966,1,0.01063653101751627
1564,2025-06-15 17:30:00+00:00,long,1,0.1097233316389512,0.1278048072035437,11.197900239310941,13.043219338972403,False,False,False,False,False,12.384331937504276,4.672746013854345,0.6084012816395075,0.7278913065055085,2,0.019233751687422806
1750,2025-06-17 16:00:00+00:00,short,-1,0.1722437477985207,0.04050722085241287,16.006401848185746,3.7642867332134196,False,True,True,False,True,31.2299820716554,6.255430694159308,0.6862752438362325,1.0882480855342578,2,0.047413993321906545
2345,2025-06-23 20:45:00+00:00,long,1,0.04495643342064448,0.05524669909659485,3.7308687615526654,4.584842883548985,False,False,True,True,False,18.40140993637536,4.156611741712576,-0.356416891537075,1.1101894639556376,1,0.05439935017178499
2649,2025-06-27 00:45:00+00:00,short,-1,0.004365951214016173,0.1624415525885865,0.37097055670514856,13.802498067861684,False,False,True,False,False,14.80236939308714,-0.2698648168978828,0.07706062564053595,0.7882127097304975,1,0.03767521961789955
2812,2025-06-28 17:30:00+00:00,long,1,0.10923263002284633,0.010643730681360042,10.524115606936418,1.0254797687861288,True,False,True,False,False,15.72399103821302,3.215346740889462,-0.24717524742770214,0.5101233140655103,2,0.011491963935969185
3122,2025-07-01 23:00:00+00:00,short,-1,0.004274082289609682,0.11499445451348511,0.5531757485451151,14.883228525729558,False,False,True,False,True,21.603065578612615,5.6295600436179125,1.993040863782106,1.0749144259374073,1,0.04203470246946461
3201,2025-07-02 18:45:00+00:00,long,1,0.053010755435199286,0.04082466852310751,7.612309405656852,5.8623953880672754,False,False,True,False,False,16.00762926548389,2.588939453348047,-0.15742811266758172,1.0173056661043696,2,0.01759482530971046
3380,2025-07-04 15:30:00+00:00,short,-1,0.027143722191506736,0.05734144222415294,3.935919285568209,8.314677210443802,False,False,True,False,False,31.119366013849255,5.068881740847409,0.45264389258359583,0.8963744404299315,2,0.030856773717060526
