spec,entry_ts,exit_ts,direction,side,entry_kind,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,warning_ts,exit_reason,equity_after
V13_1_age256_dist06_cd16,2025-06-16 11:15:00+00:00,2025-06-16 16:30:00+00:00,1,long,normal,43.951964999999994,44.7086345,1.6859373619196163,0.017215828689343127,0.029024808803771198,21,4.54078727094941,volume,2025-06-16 14:30:00+00:00,warning_confirm_volume,1.0259492190126656
V13_1_age256_dist06_cd16,2025-06-29 11:30:00+00:00,2025-07-01 05:00:00+00:00,1,long,normal,38.751366,38.996492,1.7449774466961916,0.006325609270135368,0.011038045512998576,166,7.08558013967094,,,hard_swing96,1.0315847965108624
V13_1_age256_dist06_cd16,2025-07-10 03:30:00+00:00,2025-07-11 11:15:00+00:00,1,long,normal,41.43370649999999,45.510233500000005,3.0,0.09838673255070751,0.29516019765212254,127,22.42796106068104,volume,2025-07-10 21:15:00+00:00,warning_confirm_volume,1.350551052279007
V13_1_age256_dist06_cd16,2025-07-11 15:45:00+00:00,2025-07-13 04:15:00+00:00,1,long,late,45.836907,47.225375500000006,3.0,0.030291496326312117,0.09087448897893635,146,8.617342257047202,volume,2025-07-12 16:30:00+00:00,warning_confirm_volume,1.4558517464263196
V13_1_age256_dist06_cd16,2025-08-09 13:45:00+00:00,2025-08-11 08:00:00+00:00,1,long,late,43.691835,46.0519625,2.46878054166601,0.05401758703885995,0.1333575677892875,169,10.973029188041744,volume,2025-08-11 02:15:00+00:00,warning_confirm_volume,1.6423834245708482
V13_1_age256_dist06_cd16,2025-08-18 04:00:00+00:00,2025-08-19 09:00:00+00:00,-1,short,normal,44.127925,42.3161475,1.6605162497301702,0.04105739166298883,0.06817646602792897,116,6.816132011317059,volume,2025-08-19 00:30:00+00:00,warning_confirm_volume,1.7458057838320047
V13_1_age256_dist06_cd16,2025-08-23 02:30:00+00:00,2025-08-25 11:15:00+00:00,1,long,normal,43.9569675,45.23737,2.2770569180934754,0.029128544866066974,0.066327354601274,227,11.166664469708683,volume,2025-08-25 10:15:00+00:00,warning_confirm_volume,1.8419122408599358
V13_1_age256_dist06_cd16,2025-09-21 12:00:00+00:00,2025-09-22 05:00:00+00:00,-1,short,normal,52.4747495,50.177076,2.442160523310144,0.043786269051174775,0.10693309773981576,68,11.624126256877794,volume,2025-09-21 17:15:00+00:00,warning_confirm_volume,2.0320288947990677
V13_1_age256_dist06_cd16,2025-09-22 14:00:00+00:00,2025-09-24 06:15:00+00:00,-1,short,late,49.907034,44.9794785,2.2013986391497506,0.09873468938266305,0.21735441084386778,161,19.884259285586044,volume,2025-09-24 04:00:00+00:00,warning_confirm_volume,2.4903150540628602
V13_1_age256_dist06_cd16,2025-10-23 12:30:00+00:00,2025-10-24 16:45:00+00:00,1,long,normal,39.1805805,38.816582000000004,1.6823561470873802,-0.009290278381658856,-0.015629556943536776,113,4.56871088016811,,,hard_swing96,2.4399385500879287
