name,return,max_dd,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,late_max_age,late_dist_ema96,cooldown_bars,min_prev_pnl,min_prev_mfe_atr,require_pullback,exit_reasons
V13_1_age256_dist06_cd16,21.919177103470986,-0.24655341994276858,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,256,0.06,16,0.0,4.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age384_cd16,21.180492723379274,-0.27454201985747584,4.149820306419642,35,8,0.8,0.10436064200204491,0.09087448897893635,0.5920380316936312,-0.1223496346958749,118.71428571428571,384,0.08,16,0.0,4.0,False,"{'warning_confirm_volume': 26, 'hard_swing96': 8, 'stop_loss': 1}"
V13_1_age256_cd16,21.06778870341401,-0.27454201985747584,4.232963418411561,33,6,0.8181818181818182,0.10922843472759261,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.39393939393939,256,0.08,16,0.0,4.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age256_dist10_cd16,21.06778870341401,-0.27454201985747584,4.232963418411561,33,6,0.8181818181818182,0.10922843472759261,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.39393939393939,256,0.1,16,0.0,4.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age256_cd16_mfe6,21.06778870341401,-0.27454201985747584,4.232963418411561,33,6,0.8181818181818182,0.10922843472759261,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.39393939393939,256,0.08,16,0.0,6.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age256_cd16_mfe8,21.06778870341401,-0.27454201985747584,4.232963418411561,33,6,0.8181818181818182,0.10922843472759261,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.39393939393939,256,0.08,16,0.0,8.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age192_cd32,20.13363222112079,-0.24655341994276803,4.373047245149537,30,3,0.8333333333333334,0.11720237804529036,0.10663264037190501,0.5920380316936312,-0.1223496346958749,122.83333333333333,192,0.08,32,0.0,4.0,False,"{'warning_confirm_volume': 23, 'hard_swing96': 6, 'stop_loss': 1}"
V13_1_age256_cd32,20.13363222112079,-0.24655341994276803,4.373047245149537,30,3,0.8333333333333334,0.11720237804529036,0.10663264037190501,0.5920380316936312,-0.1223496346958749,122.83333333333333,256,0.08,32,0.0,4.0,False,"{'warning_confirm_volume': 23, 'hard_swing96': 6, 'stop_loss': 1}"
V13_1_age384_cd8,19.299742760451334,-0.2745420198574755,4.023808950294047,35,8,0.8,0.10206827919050299,0.0998102340136185,0.5920380316936312,-0.1223496346958749,120.4,384,0.08,8,0.0,4.0,False,"{'warning_confirm_volume': 26, 'hard_swing96': 8, 'stop_loss': 1}"
V13_1_age384_cd32,19.03648674195287,-0.24655341994276803,4.295176114803205,31,4,0.8064516129032258,0.11263682602919292,0.10633218300399427,0.5920380316936312,-0.1223496346958749,118.90322580645162,384,0.08,32,0.0,4.0,False,"{'warning_confirm_volume': 23, 'hard_swing96': 7, 'stop_loss': 1}"
V13_1_age256_cd8,18.47656028326933,-0.2745420198574755,4.063008123528839,33,6,0.8181818181818182,0.105632212719488,0.0998102340136185,0.5920380316936312,-0.1223496346958749,123.9090909090909,256,0.08,8,0.0,4.0,False,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
