name,hard_exit_mode,hard_exit_bars,volume_warning_mode,warning_exit_min_capture,entry_max_regime_age,entry_min_rvol96,entry_max_dist_ema96,entry_max_move48,segment_exit_mode,segment_min_mfe_atr,segment_exit_min_capture,segment_adx,segment_bars,fallback_adx,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness
V12_high_swing96_b1_adx22,swing96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,3.6233946382987616,-0.28067956269711847,2.499875181376659,83,0.6265060240963856,0.025976833305195787,0.012599627833914731,0.4527654581389234,-0.12620230716950687,35.0,"{'warning_confirm_volume': 42, 'fallback_trend_break': 35, 'stop_loss': 2, 'hard_swing96': 3, 'opposite_cross': 1}",3.202375294253084
V12_high_ema96_b1,ema96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,3.395109396131863,-0.3782825187162341,2.293454789265576,83,0.5421686746987951,0.02591003389300405,0.01277899273578133,0.4527654581389234,-0.1223496346958749,41.53012048192771,"{'warning_confirm_volume': 49, 'hard_ema96': 33, 'stop_loss': 1}",2.8276856180575116
V12_high_ema96_or_swing96_b1,ema96_or_swing96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,3.395109396131863,-0.3782825187162341,2.293454789265576,83,0.5421686746987951,0.02591003389300405,0.01277899273578133,0.4527654581389234,-0.1223496346958749,41.53012048192771,"{'warning_confirm_volume': 49, 'hard_ema96_or_swing96': 33, 'stop_loss': 1}",2.8276856180575116
V12_high_swing48_b1_adx22,swing48,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,3.243255591880282,-0.2774835135174233,2.3827596697491895,83,0.6024096385542169,0.02493613227437845,0.01048854948915204,0.4527654581389234,-0.12620230716950687,34.72289156626506,"{'warning_confirm_volume': 42, 'fallback_trend_break': 32, 'hard_swing48': 7, 'stop_loss': 1, 'opposite_cross': 1}",2.827030321604147
V12_high_ema96_b1_adx22,ema96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,3.0095018350619496,-0.28285076382998875,2.3272560139826517,84,0.5833333333333334,0.023869036516088456,0.008887859424874401,0.4527654581389234,-0.12620230716950687,32.88095238095238,"{'warning_confirm_volume': 42, 'fallback_trend_break': 27, 'hard_ema96': 14, 'stop_loss': 1}",2.5852256893169665
V12_high_ema96_or_swing96_b1_adx22,ema96_or_swing96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,3.0095018350619496,-0.28285076382998875,2.3272560139826517,84,0.5833333333333334,0.023869036516088456,0.008887859424874401,0.4527654581389234,-0.12620230716950687,32.88095238095238,"{'warning_confirm_volume': 42, 'fallback_trend_break': 27, 'hard_ema96_or_swing96': 14, 'stop_loss': 1}",2.5852256893169665
V12_high_ema96_b2,ema96,2,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,2.855834360032399,-0.42980811899441307,2.0995003641345686,82,0.5609756097560976,0.024769667312214985,0.01340083380853249,0.4527654581389234,-0.14074024336701801,44.073170731707314,"{'warning_confirm_volume': 50, 'hard_ema96': 30, 'opposite_cross': 1, 'stop_loss': 1}",2.2111221815407793
V12_high_swing48_b1,swing48,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,2.4306317724618505,-0.3601351462635486,1.92158430432147,81,0.5802469135802469,0.0236883102746512,0.018473822682336393,0.4527654581389234,-0.12620230716950687,47.30864197530864,"{'warning_confirm_volume': 51, 'hard_swing48': 27, 'stop_loss': 2, 'opposite_cross': 1}",1.8904290530665275
V12_high_ema96_or_swing48_b1,ema96_or_swing48,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,2.3392054501473614,-0.36865306237955175,1.9497668593542061,83,0.5301204819277109,0.022470652651096327,0.009793554678281061,0.4527654581389234,-0.12620230716950687,40.8433734939759,"{'warning_confirm_volume': 48, 'hard_ema96_or_swing48': 33, 'stop_loss': 2}",1.7862258565780338
V12_high_swing24_b1,swing24,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,1.8524916521672985,-0.39584165329756216,1.7639432208218078,102,0.45098039215686275,0.017314428718357235,-0.009218749984491775,0.4527654581389234,-0.0871546318741032,30.441176470588236,"{'warning_confirm_volume': 49, 'hard_swing24': 52, 'opposite_cross': 1}",1.2587291722209553
V12_high_ema96_or_swing24_b1,ema96_or_swing24,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,1.7639043128161491,-0.4014620516645502,1.7438728859431127,103,0.44660194174757284,0.016818354929136487,-0.00920950958305554,0.4527654581389234,-0.0871546318741032,29.106796116504853,"{'warning_confirm_volume': 48, 'hard_ema96_or_swing24': 55}",1.161711235319324
V12_high_ema96_or_swing24_b1_adx22,ema96_or_swing24,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,1.6115426333280993,-0.3179296316172231,1.7404370978775512,103,0.47572815533980584,0.01592058501711297,-0.003396275111667616,0.4527654581389234,-0.0871546318741032,24.631067961165048,"{'warning_confirm_volume': 41, 'fallback_trend_break': 21, 'hard_ema96_or_swing24': 41}",1.1346481859022646
V12_high_swing24_b1_adx22,swing24,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,22.0,1.4977879557162561,-0.3398002594120243,1.6712708706829902,102,0.4803921568627451,0.01560185790950479,-0.003526494059588535,0.4527654581389234,-0.0871546318741032,25.019607843137255,"{'warning_confirm_volume': 41, 'fallback_trend_break': 22, 'hard_swing24': 38, 'opposite_cross': 1}",0.9880875665982196
