parameter,value,name,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness,return_delta,max_dd_delta,sharpe_delta,trades_delta
entry_max_dist_ema96,0.08,V12_4_age128__entry_max_dist_ema96=0.08,15.731450131323182,-0.20391421580860203,4.2772263615819766,27,0.8518518518518519,0.12014040796362152,0.10633218300399427,0.5920380316936312,-0.1223496346958749,122.51851851851852,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}",15.425578807610279,3.1471871042502872,0.09080394627166988,0.3421270153067093,-1
entry_max_regime_age,0,V12_4_age128__entry_max_regime_age=0,15.870878277940179,-0.37525993318902473,3.232677964219786,60,0.65,0.06097450396284778,0.053820794991809875,0.5920380316936312,-0.144563902827127,113.03333333333333,"{'hard_swing96': 19, 'warning_confirm_volume': 36, 'stop_loss': 4, 'opposite_cross': 1}",15.307988378156642,3.2866152508672837,-0.08054177110875282,-0.7024213820554812,32
entry_max_dist_ema96,0.1,V12_4_age128__entry_max_dist_ema96=0.1,14.884264202676777,-0.2039142158086018,4.173424546196085,27,0.8518518518518519,0.11832377459395332,0.0998102340136185,0.5920380316936312,-0.1223496346958749,123.11111111111111,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}",14.578392878963873,2.3000011756038816,0.0908039462716701,0.23832519992081735,-1
entry_max_regime_age,256,V12_4_age128__entry_max_regime_age=256,15.128469831336972,-0.3752599331890242,3.654298010422634,39,0.7435897435897436,0.08630889838651025,0.06817646602792897,0.5920380316936312,-0.144563902827127,120.2051282051282,"{'hard_swing96': 9, 'warning_confirm_volume': 26, 'stop_loss': 4}",14.565579931553435,2.5442068042640766,-0.08054177110875227,-0.2808013358526331,11
entry_max_move48,0.12,V12_4_age128__entry_max_move48=0.12,14.504250778738246,-0.20391421580860203,4.177021447193721,27,0.8518518518518519,0.11728406923755597,0.0998102340136185,0.5920380316936312,-0.1223496346958749,121.85185185185185,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}",14.198379455025343,1.9199877516653512,0.09080394627166988,0.2419221009184538,-1
entry_max_move48,0.1,V12_4_age128__entry_max_move48=0.1,14.139923750849592,-0.21260008268033026,4.192606733615094,26,0.8461538461538461,0.12019854673754447,0.10307120850880638,0.5920380316936312,-0.11810938064850762,125.38461538461539,"{'warning_confirm_volume': 20, 'hard_swing96': 5, 'stop_loss': 1}",13.821023626829096,1.5556607237766968,0.08211807939994165,0.25750738733982637,-2
entry_max_regime_age,384,V12_4_age128__entry_max_regime_age=384,14.34016474271811,-0.3752599331890244,3.3945261704232013,47,0.6808510638297872,0.0727065658431378,0.05508211387509543,0.5920380316936312,-0.144563902827127,114.46808510638297,"{'hard_swing96': 13, 'warning_confirm_volume': 29, 'stop_loss': 4, 'opposite_cross': 1}",13.777274842934574,1.7559017156452157,-0.08054177110875249,-0.540573175852066,19
hard_exit_mode,none,V12_4_age128__hard_exit_mode=none,13.111289434337257,-0.29471816208027113,3.937269726357655,28,0.8571428571428571,0.11064837997963597,0.09776173266248372,0.5920380316936312,-0.1453092115322064,131.03571428571428,"{'warning_confirm_volume': 24, 'opposite_cross': 1, 'stop_loss': 3}",12.66921219121685,0.527026407264362,7.771561172376096e-16,0.0021703800823877906,0
hard_exit_bars,3,V12_4_age128__hard_exit_bars=3,13.111289434337257,-0.29471816208027113,3.937269726357655,28,0.8571428571428571,0.11064837997963597,0.09776173266248372,0.5920380316936312,-0.1453092115322064,131.03571428571428,"{'warning_confirm_volume': 24, 'opposite_cross': 1, 'stop_loss': 3}",12.66921219121685,0.527026407264362,7.771561172376096e-16,0.0021703800823877906,0
stop_atr,8.0,V12_4_age128__stop_atr=8.0,13.033902831419692,-0.2819259365893042,3.9866662478000343,28,0.8214285714285714,0.10998563387135865,0.08632050909581226,0.5920380316936312,-0.1285719028271271,120.28571428571429,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 2}",12.611013926535735,0.4496398043467966,0.012792225490967701,0.05156690152476706,0
