spec,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,exit_reason,equity_after
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-09 17:30:00+00:00,2025-06-10 05:45:00+00:00,1,long,38.143062,38.76061,1.9997658353822731,0.016190310049046364,0.03237682890032921,49,4.996844041840699,volume,warning_confirm_volume,1.0274532991123702
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-10 06:15:00+00:00,2025-06-10 13:45:00+00:00,1,long,38.769375,40.478750500000004,2.0270622801169775,0.04409087069368556,0.08937494088068507,30,10.148627772707682,volume,warning_confirm_volume,1.1154922747839273
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-10 14:00:00+00:00,2025-06-11 01:00:00+00:00,1,long,40.475227499999995,41.43827050000001,2.069336986926984,0.02379339313163875,0.04923654845179453,44,6.185520563976637,volume,warning_confirm_volume,1.1649587036005848
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-16 11:15:00+00:00,2025-06-16 16:00:00+00:00,1,long,43.951964999999994,44.587695000000004,1.6859373619196163,0.014464199723493776,0.02438573472410554,19,4.54078727094941,volume,warning_confirm_volume,1.1897796560839802
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-29 11:30:00+00:00,2025-06-30 06:45:00+00:00,1,long,38.751366,40.071954,1.7449774466961916,0.034078489000878065,0.05946619472401646,77,7.08558013967094,volume,warning_confirm_volume,1.2557980089099494
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-06-30 07:00:00+00:00,2025-07-01 19:45:00+00:00,1,long,39.992986499999994,37.00669442010806,1.940504711294919,-0.07467039451759705,-0.14489825235564735,148,3.8362424130942383,,stop_loss,1.0735564593278355
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-10 03:30:00+00:00,2025-07-11 11:15:00+00:00,1,long,41.43370649999999,45.510233500000005,3.0,0.09838673255070751,0.29516019765212254,127,22.42796106068104,volume,warning_confirm_volume,1.405500362868972
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-11 14:45:00+00:00,2025-07-12 11:45:00+00:00,1,long,46.2421095,46.860558000000005,3.0,0.013374141160234165,0.040122423480702496,84,5.116022588008201,volume,warning_confirm_volume,1.4469400724045418
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-07-13 19:45:00+00:00,2025-07-14 18:45:00+00:00,1,long,49.143559499999995,46.735279072620976,2.967281357455893,-0.04900500598413138,-0.14541164067872753,93,2.9414068807125875,,stop_loss,1.2323308468431093
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-01 08:30:00+00:00,2025-08-01 23:45:00+00:00,-1,short,39.581199500000004,37.5417615,1.8153650100624212,0.05152542181042297,0.09353744788334899,61,10.673937271122295,volume,warning_confirm_volume,1.3398274127775742
