name,warning_source,confirm_mode,reentry_mode,min_mfe_atr,confirm_window,trail_atr,osc_min_score,fallback_adx,fallback_bars,stop_atr,exit_rvol,wick_min,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness
V12_osc_ema96_none_cw24_ta5_mfe2_adx18,osc,ema96,none,2.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_ema96_none_cw24_ta5_mfe4_adx18,osc,ema96,none,4.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_donchian_none_cw48_ta5_mfe2_adx18,osc,donchian,none,2.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_donchian_none_cw96_ta5_mfe2_adx18,osc,donchian,none,2.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_donchian_none_cw48_ta5_mfe4_adx18,osc,donchian,none,4.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_donchian_none_cw96_ta5_mfe4_adx18,osc,donchian,none,4.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_atr_trail_none_cw24_ta10_mfe2_adx18,osc,atr_trail,none,2.0,24,10.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_atr_trail_none_cw24_ta10_mfe4_adx18,osc,atr_trail,none,4.0,24,10.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_ema55_and_donchian_none_cw48_ta5_mfe2_adx18,osc,ema55_and_donchian,none,2.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_ema55_and_donchian_none_cw96_ta5_mfe2_adx18,osc,ema55_and_donchian,none,2.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_ema55_and_donchian_none_cw48_ta5_mfe4_adx18,osc,ema55_and_donchian,none,4.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_ema55_and_donchian_none_cw96_ta5_mfe4_adx18,osc,ema55_and_donchian,none,4.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.912457680490786,-0.31331175726800986,2.7607827312690367,46,0.6304347826086957,0.05552096165744976,0.010231410107844178,0.8040649223550788,-0.144563902827127,88.04347826086956,"{'fallback_trend_break': 43, 'stop_loss': 2, 'opposite_cross': 1}",5.442490044588771
V12_osc_atr_trail_none_cw24_ta5_mfe2_adx18,osc,atr_trail,none,2.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.802413971433967,-0.3155187703685479,2.7370108210380315,47,0.6382978723404256,0.05291746522200012,0.01154205684367598,0.4865512547623507,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.329135815881145
V12_osc_atr_trail_none_cw24_ta5_mfe4_adx18,osc,atr_trail,none,4.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.802413971433967,-0.3155187703685479,2.7370108210380315,47,0.6382978723404256,0.05291746522200012,0.01154205684367598,0.4865512547623507,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.329135815881145
V12_osc_ema21_none_cw24_ta5_mfe2_adx18,osc,ema21,none,2.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_none_cw24_ta5_mfe4_adx18,osc,ema21,none,4.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw24_ta5_mfe2_adx18,osc,ema21_or_donchian,none,2.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw48_ta5_mfe2_adx18,osc,ema21_or_donchian,none,2.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw96_ta5_mfe2_adx18,osc,ema21_or_donchian,none,2.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw24_ta5_mfe4_adx18,osc,ema21_or_donchian,none,4.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw48_ta5_mfe4_adx18,osc,ema21_or_donchian,none,4.0,48,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema21_or_donchian_none_cw96_ta5_mfe4_adx18,osc,ema21_or_donchian,none,4.0,96,5.0,3,18.0,3,9.0,2.0,0.55,5.7836720190786055,-0.3160201084712905,2.7326796698374576,47,0.6382978723404256,0.052864911463044666,0.01154205684367598,0.4919799851492034,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.30964185637167
V12_osc_ema55_none_cw24_ta5_mfe2_adx18,osc,ema55,none,2.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.724692723570329,-0.33196445566763255,2.7280545854158187,47,0.6170212765957447,0.0538453594075976,0.008920763372012377,0.8056061432443989,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.22674604006888
V12_osc_ema55_none_cw24_ta5_mfe4_adx18,osc,ema55,none,4.0,24,5.0,3,18.0,3,9.0,2.0,0.55,5.724692723570329,-0.33196445566763255,2.7280545854158187,47,0.6170212765957447,0.0538453594075976,0.008920763372012377,0.8056061432443989,-0.144563902827127,86.14893617021276,"{'fallback_trend_break': 43, 'warning_confirm_osc': 1, 'stop_loss': 2, 'opposite_cross': 1}",5.22674604006888
