strategy,entry_ts,exit_ts,side,exit_reason,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,entry_atr_pct,mfe_pct,mfe_atr,mae_pct,mae_atr,capture_ratio,giveback_pct,giveback_atr,post_32_follow_pct,post_96_follow_pct,post_32_reverse_pct,post_96_follow_atr,diagnosis,warning_ts,next_same_bars,next_same_pnl_pct,warning_i,warning_to_exit_bars,warning_rvol96,warning_wick_against,warning_candle_pos,warning_body_range,warning_adx28,warning_mfi14,warning_new_edge,warning_blowoff,warning_mfi_div,warning_effort_fail
V12_high_swing96_b1,2025-06-09 17:30:00+00:00,2025-06-10 05:45:00+00:00,long,warning_confirm_volume,38.143062,38.76061,1.9997658353822731,0.016190310049046364,0.03237682890032921,50,0.008000936768149886,0.039979433219073934,4.996844041840699,0.02024121713144056,2.5298559053755754,0.404965972387074,0.02378912317002757,2.9732922355701232,0.08034935466701887,0.09417782640675676,0.003524454336502947,11.770849981174663,early_exit,2025-06-10 02:00:00+00:00,2.0,0.08937494088068507,1022.0,15.0,1.4380015195544804,0.2489711934156293,0.23456790123456356,0.5164609053498072,33.45009712065585,47.81709333170599,True,False,True,False
V12_high_swing96_b1,2025-06-10 06:15:00+00:00,2025-06-10 13:45:00+00:00,long,warning_confirm_volume,38.769375,40.478750500000004,2.0270622801169775,0.04409087069368556,0.08937494088068507,31,0.007893196058621679,0.08010510873595478,10.148627772707682,0.0004997501249374148,0.06331403923402378,0.5504127188569135,0.03601423804226922,4.562693967664865,0.03911310207067764,0.06574435888281682,0.023438235822027198,8.329244376364471,early_exit,2025-06-10 09:15:00+00:00,1.0,0.04923654845179453,1051.0,18.0,2.392378710961289,0.16195372750643167,0.8380462724935683,0.8380462724935683,25.09894261548275,76.74099601896066,True,False,True,False
V12_high_swing96_b1,2025-06-10 14:00:00+00:00,2025-06-11 01:00:00+00:00,long,warning_confirm_volume,40.475227499999995,41.43827050000001,2.069336986926984,0.02379339313163875,0.04923654845179453,45,0.00773194511144383,0.04782610548637445,6.185520563976637,0.023353235012699924,3.020357061011138,0.49749802727335674,0.024032712354735697,3.1082362857394794,0.041066614978537475,0.06394401764426894,0.014606557964334188,8.270107550249836,early_exit,2025-06-10 20:30:00+00:00,521.0,0.02438573472410554,1096.0,18.0,1.7033601517289247,0.014857142857140713,0.9851428571428593,0.9771428571428535,17.797606093799693,79.2367980830219,True,False,True,False
V12_high_swing96_b1,2025-06-16 11:15:00+00:00,2025-06-16 16:00:00+00:00,long,warning_confirm_volume,43.951964999999994,44.587695000000004,1.6859373619196163,0.014464199723493776,0.02438573472410554,20,0.009490269544642112,0.04309329514618976,4.54078727094941,0.021295179862834246,2.2438962099719064,0.3356484964639024,0.028629095422695983,3.016678850692814,0.015324968020885565,0.015324968020885565,0.07299536340687729,1.6148085097896434,late_exit_giveback,2025-06-16 14:30:00+00:00,1230.0,0.05946619472401646,1648.0,6.0,2.753625472973913,0.592592592592593,0.07259259259259214,0.3348148148148149,27.946641191043152,74.1167531329395,True,True,True,False
V12_high_swing96_b1,2025-06-29 11:30:00+00:00,2025-06-30 06:45:00+00:00,long,warning_confirm_volume,38.751366,40.071954,1.7449774466961916,0.034078489000878065,0.05946619472401646,78,0.00916917294850612,0.064968909741143,7.08558013967094,0.02029260078212458,2.213133168726056,0.5245353375431066,0.030890420740264934,3.3689429694199116,0.006813892828884782,0.029597907803547763,0.016119852802785606,3.2279800991615035,early_exit,2025-06-30 01:45:00+00:00,1.0,-0.048351034550256786,2941.0,20.0,1.382559322988319,0.11447811447811199,0.3636363636363571,0.521885521885531,31.960269342026688,78.00439696557743,True,False,True,False
V12_high_swing96_b1,2025-06-30 07:00:00+00:00,2025-07-01 05:00:00+00:00,long,hard_swing96,39.992986499999994,38.996492,1.940504711294919,-0.024916731337380593,-0.048351034550256786,89,0.008245277585192274,0.03163088358004984,3.8362424130942383,0.030179954177715462,3.6602714542826016,-0.7877342810965932,0.05654761491743043,6.858182072485287,0.01291162292239001,0.01291162292239001,0.014167735908142687,1.5659415694600802,bad_entry,,858.0,0.29516019765212254,,,,,,,,,,,,
V12_high_swing96_b1,2025-07-10 03:30:00+00:00,2025-07-11 11:15:00+00:00,long,warning_confirm_volume,41.43370649999999,45.510233500000005,3.0,0.09838673255070751,0.29516019765212254,128,0.005296926258490256,0.11879925586671836,22.42796106068104,0.0172735330835051,3.261048434612048,0.828176336904738,0.020412523316010844,3.853654425204114,0.02917511948164342,0.04178766738254591,0.010266559058634717,7.889040802779903,early_exit,2025-07-10 21:15:00+00:00,14.0,0.040122423480702496,3979.0,56.0,4.9137505851932595,0.6240822320117496,0.37591776798825044,0.31130690161526403,25.995087802895796,58.68076622958746,True,True,True,False
V12_high_swing96_b1,2025-07-11 14:45:00+00:00,2025-07-12 11:45:00+00:00,long,warning_confirm_volume,46.2421095,46.860558000000005,3.0,0.013374141160234165,0.040122423480702496,85,0.004945100511701552,0.025299245917836055,5.116022588008201,0.02593111588042929,5.24379955858707,0.5286379366274055,0.01192510475760189,2.4114989633443464,0.000564269849283372,0.028242130620808936,0.037826224775215134,5.711133788682314,early_exit,2025-07-12 07:15:00+00:00,128.0,-0.11732842767096666,4115.0,18.0,1.9777631920903282,0.133037694013295,0.866962305986705,0.73392461197341,9.543601677363187,66.69479972423228,True,False,True,False
V12_high_swing96_b1,2025-07-13 19:45:00+00:00,2025-07-14 16:15:00+00:00,long,hard_swing96,49.143559499999995,47.200388,2.967281357455893,-0.03954071540137416,-0.11732842767096666,83,0.005392141179937916,0.015860481168443075,2.9414068807125875,0.04237705858485885,7.859040995166743,-2.49303378513173,0.055401196569817235,10.274433610148003,0.02206786944209016,0.025330554486119983,0.014753861769102428,4.697680131292786,bad_entry,,2486.0,0.07134676704741205,,,,,,,,,,,,
V12_high_swing96_b1,2025-08-01 08:30:00+00:00,2025-08-01 23:45:00+00:00,short,warning_confirm_volume,39.581199500000004,37.5417615,1.8153650100624212,0.05152542181042297,0.09353744788334899,62,0.007711947692281791,0.08231684590559218,10.673937271122295,0.020606732815360962,2.672052980336527,0.625940185676169,0.030791424095169218,3.992690993740225,0.00039320211439730635,0.054572865474093346,0.025098409407347644,7.07640503432233,early_exit,2025-08-01 13:45:00+00:00,1553.0,0.06817646602792897,6061.0,40.0,6.442273208544501,0.32096774193548205,0.32096774193548205,0.6580645161290369,35.761666244794874,37.09455797757301,True,False,True,False
