strategy,diagnosis,trades,avg_raw_pnl,avg_mfe,avg_capture,avg_post_96_follow
V6_dynamic_3x,early_exit,29,0.04052759553412388,0.07707921599922281,0.4002727906868943,0.04981237739735338
V6_dynamic_3x,mixed,2,0.015332547725642354,0.028057153172888705,0.5236321241348231,0.005361499142013282
V6_dynamic_3x,bad_entry,15,-0.020632109701084495,0.01325024335366658,-3.215194025754712,0.0461364609579724
V6_dynamic_3x,good_capture,2,0.04153353936228277,0.05195983935325199,0.7992584517721506,0.0032681228329307643
V6_dynamic_3x,late_exit_giveback,1,0.004861708343248727,0.05180748930443424,0.09384180566404345,0.004509556973597784
V8_baseline,early_exit,55,0.024325683852708266,0.038755592035575485,0.6312943070619029,0.07646561090785238
V8_baseline,good_capture,10,0.03230411609234779,0.03809215034200179,0.8537312929638669,0.005350155112667854
V8_baseline,bad_entry,27,-0.024584651649876662,0.010737628292271165,-3.914155858577277,0.048057000069895675
V8_baseline,mixed,5,0.009467154583107717,0.026647846387841102,0.34540713813072116,0.014659163738205283
V8_clean_wick055,early_exit,55,0.024680390229302282,0.03883685651619052,0.635157676081607,0.07547142051149111
V8_clean_wick055,good_capture,10,0.03230411609234779,0.03809215034200179,0.8537312929638669,0.005350155112667854
V8_clean_wick055,bad_entry,27,-0.024311650247198432,0.011022002895535392,-3.85764189365661,0.048057000069895675
V8_clean_wick055,mixed,5,0.009467154583107717,0.026647846387841102,0.34540713813072116,0.014659163738205283
V10_osc_combo,early_exit,28,0.0393984837013262,0.07333048090679872,0.41368399516414694,0.04836555338951943
V10_osc_combo,mixed,2,0.015332547725642354,0.028057153172888705,0.5236321241348231,0.005361499142013282
V10_osc_combo,bad_entry,15,-0.022724980949984874,0.010748685071219304,-4.308240311961723,0.045594312992897214
V10_osc_combo,good_capture,5,0.05170194288811625,0.057262456382570104,0.8831954284914513,0.005243621857407943
V10_osc_combo,late_exit_giveback,1,0.004861708343248727,0.05180748930443424,0.09384180566404345,0.004509556973597784
