name,entry_i,exit_i,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,symbol,symbol_id
AAOIUSDT_B0_original,706,739,2026-06-15 17:45:00+00:00,2026-06-16 02:00:00+00:00,1,long,193.28,186.99,2.2442381359666173,1.7224553571428576,-0.0325434602649006,-0.0730352746028042,33,1.033408495969728,indicator_exit,0.9234315382740452,AAOI/USDT:USDT,AAOIUSDT
AAOIUSDT_B0w_weekend_filtered,706,739,2026-06-15 17:45:00+00:00,2026-06-16 02:00:00+00:00,1,long,193.28,186.99,2.2442381359666173,1.7224553571428576,-0.0325434602649006,-0.0730352746028042,33,1.033408495969728,indicator_exit,0.9234315382740452,AAOI/USDT:USDT,AAOIUSDT
AAPLUSDT_B0_original,2799,2880,2026-05-05 17:30:00+00:00,2026-05-06 13:45:00+00:00,1,long,283.04,285.60279761904764,3.0,0.5125595238095231,0.0090545421814853,0.0271636265444561,82,6.418766693763729,take_profit,1.0219317711805609,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,2799,2880,2026-05-05 17:30:00+00:00,2026-05-06 13:45:00+00:00,1,long,283.04,285.60279761904764,3.0,0.5125595238095231,0.0090545421814853,0.0271636265444561,82,6.418766693763729,take_profit,1.0219317711805609,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,2906,2975,2026-05-06 20:15:00+00:00,2026-05-07 13:30:00+00:00,1,long,287.32,290.03510416666666,3.0,0.5430208333333327,0.0094497569492784,0.0283492708478352,70,5.856128908498005,take_profit,1.045550021007246,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,2906,2975,2026-05-06 20:15:00+00:00,2026-05-07 13:30:00+00:00,1,long,287.32,290.03510416666666,3.0,0.5430208333333327,0.0094497569492784,0.0283492708478352,70,5.856128908498005,take_profit,1.045550021007246,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,2980,2996,2026-05-07 14:45:00+00:00,2026-05-07 18:45:00+00:00,1,long,291.03,287.2792708333333,3.0,0.5358184523809517,-0.0128877750289202,-0.0386633250867607,17,0.8958258116477702,stop_loss,1.0000059760183435,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,2980,2996,2026-05-07 14:45:00+00:00,2026-05-07 18:45:00+00:00,1,long,291.03,287.2792708333333,3.0,0.5358184523809517,-0.0128877750289202,-0.0386633250867607,17,0.8958258116477702,stop_loss,1.0000059760183435,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,3083,3467,2026-05-08 16:30:00+00:00,2026-05-12 16:30:00+00:00,1,long,293.09,294.1,3.0,0.4319345238095234,0.0034460404653862,0.0103381213961586,384,4.584028112726567,timeout,0.9943540550645346,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,3083,3467,2026-05-08 16:30:00+00:00,2026-05-12 16:30:00+00:00,1,long,293.09,294.1,3.0,0.4319345238095234,0.0034460404653862,0.0103381213961586,384,4.584028112726567,timeout,0.9943540550645346,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,3609,3626,2026-05-14 04:00:00+00:00,2026-05-14 08:15:00+00:00,1,long,298.69,298.65,3.0,0.4143898809523818,-0.0001339181090763,-0.0004017543272291,17,0.6998240384961157,indicator_exit,0.9888918639076968,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,3609,3626,2026-05-14 04:00:00+00:00,2026-05-14 08:15:00+00:00,1,long,298.69,298.65,3.0,0.4143898809523818,-0.0001339181090763,-0.0004017543272291,17,0.6998240384961157,indicator_exit,0.9888918639076968,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,4550,4822,2026-05-23 23:15:00+00:00,2026-05-26 19:15:00+00:00,1,long,311.22,308.2054166666667,3.0,0.4306547619047614,-0.009686341923184,-0.0290590257695522,273,4.458327574291547,stop_loss,0.9552650794513544,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0_original,5496,5572,2026-06-02 19:45:00+00:00,2026-06-03 14:45:00+00:00,-1,short,315.02,312.8245386904762,3.0,0.4390922619047621,0.0069692759492216,0.020907827847665,77,8.631443386315024,take_profit,0.9702702270177506,AAPL/USDT:USDT,AAPLUSDT
AAPLUSDT_B0w_weekend_filtered,5496,5572,2026-06-02 19:45:00+00:00,2026-06-03 14:45:00+00:00,-1,short,315.02,312.8245386904762,3.0,0.4390922619047621,0.0069692759492216,0.020907827847665,77,8.631443386315024,take_profit,1.004425215502278,AAPL/USDT:USDT,AAPLUSDT
AMDUSDT_B0_original,1947,2007,2026-05-26 20:15:00+00:00,2026-05-27 11:15:00+00:00,1,long,504.91,514.0382738095238,3.0,1.825654761904762,0.0180790117239186,0.054237035171756,61,5.488441850608025,take_profit,1.0487820714907548,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0w_weekend_filtered,1947,2007,2026-05-26 20:15:00+00:00,2026-05-27 11:15:00+00:00,1,long,504.91,514.0382738095238,3.0,1.825654761904762,0.0180790117239186,0.054237035171756,61,5.488441850608025,take_profit,1.0487820714907548,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,2128,2223,2026-05-28 17:30:00+00:00,2026-05-29 17:15:00+00:00,1,long,518.99,505.179375,3.0,1.9729464285714284,-0.0266105801653211,-0.0798317404959634,96,3.401004661266254,stop_loss,0.9598378460640354,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0w_weekend_filtered,2128,2223,2026-05-28 17:30:00+00:00,2026-05-29 17:15:00+00:00,1,long,518.99,505.179375,3.0,1.9729464285714284,-0.0266105801653211,-0.0798317404959634,96,3.401004661266254,stop_loss,0.9598378460640354,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,2488,2501,2026-06-01 11:30:00+00:00,2026-06-01 14:45:00+00:00,-1,short,495.91,510.18864583333334,3.0,2.039806547619047,-0.0287928169089821,-0.0863784507269465,14,4.40237826007661,stop_loss,0.8724619066459088,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0w_weekend_filtered,2488,2501,2026-06-01 11:30:00+00:00,2026-06-01 14:45:00+00:00,-1,short,495.91,510.18864583333334,3.0,2.039806547619047,-0.0287928169089821,-0.0863784507269465,14,4.40237826007661,stop_loss,0.8724619066459088,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,2903,2928,2026-06-05 19:15:00+00:00,2026-06-06 01:30:00+00:00,-1,short,467.85,454.7400297619048,3.0,2.621994047619048,0.0280217382453675,0.0840652147361027,26,5.434794946594171,take_profit,0.9409881456968044,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0w_weekend_filtered,2903,2928,2026-06-05 19:15:00+00:00,2026-06-06 01:30:00+00:00,-1,short,467.85,454.7400297619048,3.0,2.621994047619048,0.0280217382453675,0.0840652147361027,26,5.434794946594171,take_profit,0.9409881456968044,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,2931,2933,2026-06-06 02:15:00+00:00,2026-06-06 02:45:00+00:00,-1,short,448.85,435.3214285714286,2.9860137275607177,2.705714285714286,0.0301405178312831,0.09,3,5.310982048574447,take_profit,1.0204771203088498,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,2934,2987,2026-06-06 03:00:00+00:00,2026-06-06 16:15:00+00:00,-1,short,439.37,453.98,2.899774396132629,2.72733630952381,-0.0332521564968022,-0.0964237520256224,53,0.8689797410477053,indicator_exit,0.9151171932162596,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0_original,3797,3840,2026-06-15 02:45:00+00:00,2026-06-15 13:30:00+00:00,1,long,534.67,549.3976785714285,3.0,2.9455357142857146,0.0275453617585212,0.0826360852755638,44,6.457229463473812,take_profit,0.9847493208964592,AMD/USDT:USDT,AMDUSDT
AMDUSDT_B0w_weekend_filtered,3797,3840,2026-06-15 02:45:00+00:00,2026-06-15 13:30:00+00:00,1,long,534.67,549.3976785714285,3.0,2.9455357142857146,0.0275453617585212,0.0826360852755638,44,6.457229463473812,take_profit,1.0125888184766785,AMD/USDT:USDT,AMDUSDT
