family,symbol,timeframe,params,annualized,max_drawdown,sharpe,calmar,trades,win_rate,first_half_return,first_half_dd,second_half_return,second_half_dd,robustness,return
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.0, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.25}",-0.014544015603948801,-0.20799161305233005,0.07269079596496991,-0.0699259714875598,6,0.3333333333333333,0.06943399910264958,-0.09360166151351001,-0.08698733891824728,-0.20799161305233005,fail,-0.01503174527168294
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.5, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.25}",-0.014544015603948801,-0.20799161305233005,0.06593872910155496,-0.0699259714875598,6,0.3333333333333333,0.06943399910264958,-0.09360166151351001,-0.08698733891824728,-0.20799161305233005,fail,-0.01503174527168294
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 36, 'volume_mult': 1.0, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.25}",-0.014544015603948801,-0.20799161305233005,0.051419278009301884,-0.0699259714875598,6,0.3333333333333333,0.06943399910264958,-0.09360166151351001,-0.08698733891824728,-0.20799161305233005,fail,-0.01503174527168294
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 36, 'volume_mult': 1.5, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.25}",-0.014544015603948801,-0.20799161305233005,0.051419278009301884,-0.0699259714875598,6,0.3333333333333333,0.06943399910264958,-0.09360166151351001,-0.08698733891824728,-0.20799161305233005,fail,-0.01503174527168294
macd_zero,BTC/USDT:USDT,4h,"{'fast': 8, 'slow': 26, 'signal_len': 9, 'mode': 'both', 'stop_pct': 0.08, 'take_pct': 0.2}",-0.023868816676565263,-0.3191255336578861,0.04013159656038807,-0.07479444343727595,33,0.36363636363636365,0.16204129142798518,-0.16406411243747543,-0.16837736460267294,-0.3191255336578861,fail,-0.024665314841197272
macd_zero,HYPE/USDT:USDT,4h,"{'fast': 12, 'slow': 35, 'signal_len': 9, 'mode': 'long', 'stop_pct': None, 'take_pct': None}",-0.019393798430849096,-0.07674468591171857,-0.12323350326305298,-0.25270542449230027,26,0.46153846153846156,-0.019730225061111772,-0.04106077499080507,0.0005847606196960342,-0.06399647085424087,fail,-0.01915700190004921
macd_zero,HYPE/USDT:USDT,4h,"{'fast': 12, 'slow': 35, 'signal_len': 9, 'mode': 'long', 'stop_pct': 0.08, 'take_pct': 0.2}",-0.019393798430849096,-0.07674468591171857,-0.12323350326305298,-0.25270542449230027,26,0.46153846153846156,-0.019730225061111772,-0.04106077499080507,0.0005847606196960342,-0.06399647085424087,fail,-0.01915700190004921
macd_zero,HYPE/USDT:USDT,4h,"{'fast': 8, 'slow': 35, 'signal_len': 9, 'mode': 'both', 'stop_pct': 0.08, 'take_pct': 0.2}",-0.1842912461553351,-0.45793483228453,-0.06060334530351705,-0.4024398957291566,37,0.24324324324324326,0.42508967482190885,-0.3291003419770243,-0.42616954704229437,-0.45793483228453,fail,-0.1822401463915947
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.0, 'mode': 'both', 'stop_pct': 0.1, 'take_pct': 0.25}",-0.1671535035018703,-0.30485764945526117,-0.5005353125797568,-0.5483001781341249,6,0.3333333333333333,0.02392616935360059,-0.13691301197015948,-0.1986527191366586,-0.30485764945526117,fail,-0.1722849404407164
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.5, 'mode': 'both', 'stop_pct': 0.1, 'take_pct': 0.25}",-0.1671535035018703,-0.30485764945526117,-0.5245118532628383,-0.5483001781341249,6,0.3333333333333333,0.02392616935360059,-0.13691301197015948,-0.1986527191366586,-0.30485764945526117,fail,-0.1722849404407164
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 36, 'volume_mult': 1.0, 'mode': 'both', 'stop_pct': 0.1, 'take_pct': 0.25}",-0.1671535035018703,-0.30485764945526117,-0.5356160225320443,-0.5483001781341249,6,0.3333333333333333,0.02392616935360059,-0.13691301197015948,-0.1986527191366586,-0.30485764945526117,fail,-0.1722849404407164
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 36, 'volume_mult': 1.5, 'mode': 'both', 'stop_pct': 0.1, 'take_pct': 0.25}",-0.1671535035018703,-0.30485764945526117,-0.5356160225320443,-0.5483001781341249,6,0.3333333333333333,0.02392616935360059,-0.13691301197015948,-0.1986527191366586,-0.30485764945526117,fail,-0.1722849404407164
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.0, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.12}",-0.1660652197973187,-0.2953753462653813,-0.5346254835747094,-0.5622176051487948,7,0.2857142857142857,0.06096983246750742,-0.09360166151351001,-0.22758248417717675,-0.2953753462653813,fail,-0.17116679084431663
qullamagi,BTC/USDT:USDT,4h,"{'preset': (5, 15, 67, 200, 350), 'box': 20, 'volume_mult': 1.5, 'mode': 'both', 'stop_pct': 0.06, 'take_pct': 0.12}",-0.1660652197973187,-0.2953753462653813,-0.5616575477335408,-0.5622176051487948,7,0.2857142857142857,0.06096983246750742,-0.09360166151351001,-0.22758248417717675,-0.2953753462653813,fail,-0.17116679084431663
macd_zero,HYPE/USDT:USDT,4h,"{'fast': 12, 'slow': 35, 'signal_len': 9, 'mode': 'both', 'stop_pct': None, 'take_pct': None}",-0.2894872765845996,-0.5073568042793314,-0.2514648002479689,-0.5705792730932192,26,0.34615384615384615,0.26632881151392795,-0.26564824887482563,-0.4347252957432677,-0.5073568042793314,fail,-0.28648715584213436
macd_zero,HYPE/USDT:USDT,1d,"{'fast': 12, 'slow': 26, 'signal_len': 9, 'mode': 'both', 'stop_pct': 0.08, 'take_pct': 0.2}",-0.21492541394896647,-0.3764980249173936,-0.8921228570894383,-0.5708540277100329,6,0.16666666666666666,-0.22341209375387994,-0.2373122557691011,0.012940747277548015,-0.18249377966424352,fail,-0.2133624659203487
macd_zero,HYPE/USDT:USDT,1d,"{'fast': 8, 'slow': 26, 'signal_len': 9, 'mode': 'both', 'stop_pct': 0.08, 'take_pct': 0.2}",-0.33763406955274844,-0.46479080762814384,-1.3449592239451047,-0.7264215729130185,8,0.125,-0.3438783449754037,-0.34531483790784956,0.012940747277548237,-0.1824937796642433,fail,-0.3353876404544037
macd_zero,HYPE/USDT:USDT,4h,"{'fast': 8, 'slow': 35, 'signal_len': 9, 'mode': 'both', 'stop_pct': None, 'take_pct': None}",-0.4806218762228097,-0.6074833905460939,-0.7568027468404307,-0.7911687524341321,31,0.2903225806451613,0.1274875772982318,-0.3023214744883589,-0.5340748528946946,-0.6074833905460939,fail,-0.47640994507386025
