entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,exit_reason,entry_atr_pct,equity_after
2025-06-09 17:30:00+00:00,2025-06-10 16:45:00+00:00,1,long,38.143062,40.17690150000001,1.9997658353822731,0.05332134845388148,0.10663021093458558,trend_break,0.008000936768149886,1.1016027881698782
2025-06-16 11:15:00+00:00,2025-06-16 19:30:00+00:00,1,long,43.951964999999994,45.0244765,1.6859373619196163,0.02440190102990858,0.04114007664818764,trend_break,0.009490269544642112,1.1435537621534404
2025-06-29 11:30:00+00:00,2025-06-29 20:00:00+00:00,1,long,38.751366,38.242869000000006,1.7449774466961916,-0.01312204065270861,-0.022897664993607098,trend_break,0.00916917294850612,1.1138093920082002
2025-06-30 00:30:00+00:00,2025-06-30 12:30:00+00:00,1,long,39.807894,39.866057000000005,1.9264742416600633,0.0014610921140416622,0.00281475632239391,trend_break,0.008305327760942513,1.111655227043851
2025-07-10 03:30:00+00:00,2025-07-10 13:45:00+00:00,1,long,41.43370649999999,41.413283,3.0,-0.0004929199370563575,-0.0014787598111690725,trend_break,0.005296926258490256,1.1029041848428787
2025-07-10 22:15:00+00:00,2025-07-11 22:30:00+00:00,1,long,43.89493649999999,45.367305,3.0,0.033543014693733664,0.10062904408120099,trend_break,0.004922878755313555,1.2024999322738856
2025-07-13 19:45:00+00:00,2025-07-14 00:30:00+00:00,1,long,49.143559499999995,49.17240150000001,2.967281357455893,0.0005868927748307051,0.0017414759895807105,trend_break,0.005392141179937916,1.1964749866664621
2025-08-01 08:30:00+00:00,2025-08-02 08:30:00+00:00,-1,short,39.581199500000004,38.4562185,1.8153650100624212,0.02842210479245344,0.05159649455254743,trend_break,0.007711947692281791,1.2435247631208155
2025-08-09 13:45:00+00:00,2025-08-10 00:30:00+00:00,1,long,43.691835,43.844067,2.46878054166601,0.0034842207931986557,0.008601776497116952,trend_break,0.006480932480617618,1.247309246633562
2025-08-18 04:00:00+00:00,2025-08-18 20:15:00+00:00,-1,short,44.127925,43.7228505,1.6605162497301702,0.009179550137469628,0.015242792168481135,trend_break,0.00843111291580252,1.258601618005157
2025-08-23 02:30:00+00:00,2025-08-23 05:45:00+00:00,1,long,43.9569675,44.365806,2.2770569180934754,0.00930088045768862,0.021178634190540283,trend_break,0.007026613991448405,1.2799115463687365
2025-08-26 21:00:00+00:00,2025-08-27 13:45:00+00:00,1,long,48.968472,49.649163,2.271843483291098,0.013900597102560308,0.031579980941306755,trend_break,0.007042738691145069,1.3109822505752589
2025-09-08 06:30:00+00:00,2025-09-09 00:15:00+00:00,1,long,49.72985249999999,50.820577,3.0,0.021932992863793688,0.06579897859138106,trend_break,0.004772227363564425,1.387734245571109
2025-09-09 07:00:00+00:00,2025-09-09 15:15:00+00:00,1,long,54.703338,52.40210884484222,3.0,-0.042067435723168956,-0.12620230716950687,stop_loss,0.004620914426454232,1.2078078558023215
2025-09-21 12:00:00+00:00,2025-09-23 10:30:00+00:00,-1,short,52.4747495,48.05201399999999,2.442160523310144,0.08428311792131582,0.20583290336893123,trend_break,0.0057326289023066235,1.455681352503632
2025-10-11 03:15:00+00:00,2025-10-12 04:45:00+00:00,-1,short,38.536722,38.1580695,1.2823059537149293,0.009825757883610176,0.012599627833914731,trend_break,0.010917831239448767,1.4532709756931514
2025-10-23 12:30:00+00:00,2025-10-23 19:30:00+00:00,1,long,39.1805805,39.355312500000004,1.6823561470873802,0.004459658273822775,0.007502733510874841,trend_break,0.009510471387227007,1.458613000885541
2025-10-25 19:15:00+00:00,2025-10-27 08:45:00+00:00,1,long,42.9684735,47.050463,2.0478433271689527,0.09499963967768132,0.19454437819739456,trend_break,0.00781309770514488,1.7405080998463343
2025-11-21 09:45:00+00:00,2025-11-21 23:00:00+00:00,-1,short,33.48824750000001,33.1115475,1.4327826110671718,0.011248722406271283,0.016116973860427167,trend_break,0.009771196196729701,1.7416819309504126
2025-11-26 06:00:00+00:00,2025-11-26 12:15:00+00:00,1,long,34.6563195,33.131426000000005,1.5223946339010896,-0.04400044557530114,-0.0669860422330954,trend_break,0.010509758536786543,1.6216683138279981
