spec,entry_i,exit_i,entry_ts,exit_ts,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,entry_regular_session,version,estimated_stop_loss_pct
skhynix_v2_fixed3_regular_overnight,715,719,2026-06-09 13:45:00+00:00,2026-06-09 14:45:00+00:00,long,1460.73,1331.9192942829202,3.0,0.009747364744077098,-0.08818241955534545,-0.26454725866603634,5,1.793055153618715,stop_loss,0.7490717760135658,True,V2,
skhynix_v4_dynamic125bps_max3_regular_overnight,715,719,2026-06-09 13:45:00+00:00,2026-06-09 14:45:00+00:00,long,1460.73,1331.9192942829202,1.282397891963109,0.009747364744077098,-0.08818241955534545,-0.11308494894598144,5,1.793055153618715,stop_loss,0.8860630137924007,True,V4,0.1125
