rank,strategy,logic_name,rule_quality,symbol,original_asset,timeframe,data_source,start,end,bars,cumulative_return,annualized_return,volatility,sharpe,max_drawdown,trades,long_trades,short_trades,win_rate,profit_factor,notes
8,CDC BACKTEST (MACD) FIX AMOUNT $200k per trade,cdc_macd,high,BTC/USDT:USDT,BTC,1d,resampled_15m_to_1d,2025-05-15T00:00:00+00:00,2026-05-27T00:00:00+00:00,378,0.052166113758430166,0.05032764734785933,0.13827338174516768,0.42401445976843516,-0.10161694477704053,8,0,8,0.25,1.5473590019052856,EMA12/26 交叉；原 200k/400k 仓位等效 0.5x。
8,CDC BACKTEST (MACD) FIX AMOUNT $200k per trade,cdc_macd,high,HYPE/USDT:USDT,BTC,1d,resampled_15m_to_1d,2025-05-30T00:00:00+00:00,2026-05-26T00:00:00+00:00,362,-0.2352229303216451,-0.23692069185885212,0.2750128510480011,-0.8443138192871019,-0.24553278287742297,4,0,4,0.25,0.18951111655755165,EMA12/26 交叉；原 200k/400k 仓位等效 0.5x。
9,Hash Momentum Strategy,hash_momentum,medium,BTC/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,0.10430035699837181,0.1007251382078922,0.3187570694916455,0.4600663086050689,-0.29559039146273247,103,46,57,0.33980582524271846,1.1128308005912382,Momentum acceleration + ATR threshold + EMA filter，RR 约 2.5。
9,Hash Momentum Strategy,hash_momentum,medium,HYPE/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,-0.53802989920331,-0.5424618030312097,0.5319406901000413,-1.204880144639784,-0.6473421555748722,220,101,119,0.2590909090909091,0.826100008067796,Momentum acceleration + ATR threshold + EMA filter，RR 约 2.5。
10,Moon Phases Long/Short Strategy,moon,low,BTC/USDT:USDT,BTC,1h,resampled_15m_to_1h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,9053,0.14088172504763508,0.13602537702497486,0.28112636979242506,0.594079607526148,-0.2493672235379235,15,4,11,0.6,1.4727571117034912,月相逻辑按公开描述近似，非严格天文/源码复现。
10,Moon Phases Long/Short Strategy,moon,low,HYPE/USDT:USDT,BTC,1h,resampled_15m_to_1h,2025-05-30T10:00:00+00:00,2026-05-26T03:00:00+00:00,8649,0.7065441303847704,0.7182900913843293,0.41736325384825507,1.5056312662637457,-0.21252493993620625,24,12,12,0.5416666666666666,1.7398364583907193,月相逻辑按公开描述近似，非严格天文/源码复现。
11,7/19 EMA Crypto strategy,ema_7_19,high,BTC/USDT:USDT,ETH,30m,resampled_15m_to_30m,2025-05-27T04:00:00+00:00,2026-05-27T04:00:00+00:00,17521,-0.18776178782818997,-0.18775214708996024,0.3022425844050185,-0.5370713112369891,-0.2719960158315594,470,0,470,0.24680851063829787,0.9188388889365589,EMA7/19 交叉。
11,7/19 EMA Crypto strategy,ema_7_19,high,HYPE/USDT:USDT,ETH,30m,resampled_15m_to_30m,2025-05-30T10:30:00+00:00,2026-05-26T03:00:00+00:00,17296,-0.876011424838201,-0.8793186718157221,0.7261251444290343,-2.548089692890776,-0.8876589986769661,495,0,495,0.2787878787878788,0.6519364740765875,EMA7/19 交叉。
12,RSI > 70 Buy / Exit on Cross Below 70,rsi_70_buy,high,BTC/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,-0.016591363475307097,-0.016053443006309953,0.04413291704196997,-0.3447306916497255,-0.06758596614000456,34,34,0,0.4117647058823529,0.8546164943892237,RSI 上穿 70 买，跌破 70 平。
12,RSI > 70 Buy / Exit on Cross Below 70,rsi_70_buy,high,HYPE/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,-0.15341983469400522,-0.15517804002295044,0.14498819934460988,-1.090402690913662,-0.15341983469400522,37,37,0,0.3783783783783784,0.6327037028523955,RSI 上穿 70 买，跌破 70 平。
