name,entry_i,exit_i,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after
B0_xau_hype_v35_original,1600,1628,2026-04-17 16:00:00+00:00,2026-04-17 23:00:00+00:00,1,long,4866.04,4833.75,3.0,6.6457589285714205,-0.006635785977920472,-0.019907357933761416,28,0.9690390622375388,indicator_exit,0.9751005426441056
B0_xau_hype_v35_original,1826,1858,2026-04-20 00:30:00+00:00,2026-04-20 08:30:00+00:00,-1,short,4767.77,4793.74,3.0,6.76321428571427,-0.005446990941257557,-0.01634097282377267,32,0.7703437714527188,indicator_exit,0.9542809392551618
B0_xau_hype_v35_original,2636,2638,2026-04-28 11:00:00+00:00,2026-04-28 11:30:00+00:00,-1,short,4606.9,4576.907961309524,3.0,5.9984077380952225,0.006510243046403463,0.01953072913921039,3,5.978253157459902,take_profit,0.9679631826233914
B0_xau_hype_v35_original,2639,2739,2026-04-28 11:45:00+00:00,2026-04-29 12:45:00+00:00,-1,short,4575.26,4545.075773809524,3.0,6.036845238095222,0.006597270142128742,0.019791810426386225,101,5.1500409193543994,take_profit,0.9840562535641286
B0_xau_hype_v35_original,3162,3179,2026-05-03 22:30:00+00:00,2026-05-04 02:45:00+00:00,1,long,4620.11,4606.99,3.0,6.041547619047544,-0.0028397592265119176,-0.008519277679535753,17,1.3589233285385163,indicator_exit,0.9694928579585903
B0_xau_hype_v35_original,3385,3395,2026-05-06 06:15:00+00:00,2026-05-06 08:45:00+00:00,1,long,4660.79,4692.867306547619,3.0,6.415461309523751,0.006882375422968767,0.020647126268906302,11,6.872459808080917,take_profit,0.9844700321960759
B0_xau_hype_v35_original,3397,3482,2026-05-06 09:15:00+00:00,2026-05-07 06:30:00+00:00,1,long,4696.04,4728.4373214285715,3.0,6.479464285714225,0.006898859768777799,0.020696579306333396,86,8.327848973405072,take_profit,0.9997270178071165
B0_xau_hype_v35_original,3868,3893,2026-05-11 07:00:00+00:00,2026-05-11 13:15:00+00:00,-1,short,4680.86,4729.033125,3.0,6.8818749999999875,-0.010291511602568804,-0.03087453480770641,26,3.7896648805739677,stop_loss,0.9641993684254682
B0_xau_hype_v35_original,4246,4257,2026-05-15 05:30:00+00:00,2026-05-15 08:15:00+00:00,-1,short,4592.94,4560.922589285714,3.0,6.403482142857125,0.006971005655263429,0.020913016965790288,12,5.478269356795274,take_profit,0.979884645350994
B0_xau_hype_v35_original,4258,4278,2026-05-15 08:30:00+00:00,2026-05-15 13:30:00+00:00,-1,short,4563.67,4531.365461309524,3.0,6.4609077380952185,0.0070786316036163255,0.021235894810848976,21,5.92331628175874,take_profit,0.9962683410787107
B0_xau_hype_v35_original,4279,4333,2026-05-15 13:45:00+00:00,2026-05-16 03:15:00+00:00,-1,short,4525.44,4544.9,3.0,6.599613095238077,-0.004300134351576945,-0.012900403054730836,54,1.3334115004936995,indicator_exit,0.9793841012278333
B0_xau_hype_v35_original,5184,5318,2026-05-25 00:00:00+00:00,2026-05-26 09:30:00+00:00,1,long,4569.83,4519.5311458333335,3.0,7.185550595238034,-0.011006723262499074,-0.03302016978749722,135,2.0986561572600513,stop_loss,0.9415810682948124
B0_xau_hype_v35_original,5620,5627,2026-05-29 13:00:00+00:00,2026-05-29 14:45:00+00:00,1,long,4525.03,4555.504330357143,3.0,6.0948660714285365,0.006734613993087946,0.020203841979263837,8,7.378340963193638,take_profit,0.9557117861614833
B0_xau_hype_v35_original,5628,5848,2026-05-29 15:00:00+00:00,2026-05-31 22:00:00+00:00,1,long,4565.21,4522.216145833334,3.0,6.141979166666632,-0.009417716636620499,-0.028253149909861497,221,4.822549734579322,stop_loss,0.9238440992315108
B0_xau_hype_v35_original,6732,6768,2026-06-10 03:00:00+00:00,2026-06-10 12:00:00+00:00,-1,short,4178.49,4140.854583333334,3.0,7.527083333333294,0.009006941901659737,0.027020825704979212,37,5.432383061167956,take_profit,0.9449885621431344
B0_xau_hype_v35_original,6769,6796,2026-06-10 12:15:00+00:00,2026-06-10 19:00:00+00:00,-1,short,4138.92,4100.650580357144,3.0,7.653883928571384,0.009246233230614909,0.027738699691844726,28,6.128914475027285,take_profit,0.9666934353764594
B0_xau_hype_v35_original,6818,6886,2026-06-11 00:30:00+00:00,2026-06-11 17:30:00+00:00,-1,short,4071.51,4128.6003125,3.0,8.155758928571382,-0.01402190157951222,-0.04206570473853666,69,1.851452468402641,stop_loss,0.9224551758803446
B0_xau_hype_v35_original,7210,7462,2026-06-15 02:30:00+00:00,2026-06-17 17:30:00+00:00,1,long,4329.23,4373.262217261904,3.0,8.806443452380943,0.010170911977858577,0.03051273593357573,253,6.326049818095189,take_profit,0.9457599191447222
