reason,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,worst_trade_1x,best_trade_1x,trade_sharpe
target_limit,231,231.0,1.0,49.39003178152196,488.6118361391444,1.0,inf,171.83508651221644,0.0,0.0044338140537371,0.0544430672000332,27.29117948977044
time_open,187,187.0,1.0,-0.06647089521251559,-0.1256336778842242,0.49732620320855614,0.9411537507275737,-2.922631722762743,-0.20441889153811565,-0.0376823064440144,0.0287469497030553,-0.4533641802976386
stop_market,131,131.0,1.0,-0.9176012549511583,-0.9990461646360651,0.0,0.0,-188.47744006782315,-0.9176012549511583,-0.0405712352247951,-0.0105639243845405,-49.64562065918221
