candidate_id,style_set,quantile,style,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
base_all__q80,base_all,0.8,bb_revert,69,69.0,1.0,0.2757165581265668,2.6259712100431027,0.6521739130434783,1.6212825177093795,36.95246333399757,-0.08147982177148627,3.9188853362647773
base_all__q80,base_all,0.8,trend_rsi_snapback,97,97.0,1.0,0.1809916237868061,0.8700644780731657,0.6082474226804123,1.36940824328586,18.10008992798006,-0.10998669929239879,2.512494929428755
base_all__q80,base_all,0.8,macd_flip,101,101.0,1.0,0.0823118771061504,0.33089839053527803,0.5445544554455446,1.1262114538851986,9.886844673121253,-0.15212411544880045,0.924086717838818
base_all__q80,base_all,0.8,vwap_revert,160,160.0,1.0,0.06822237541958831,0.16247717975798603,0.525,1.074184573491837,6.251269193254799,-0.2132846946727318,0.5761015915853626
base_all__q80,base_all,0.8,micro_breakout,16,16.0,1.0,0.009831723694557537,0.2500590755804559,0.4375,1.117663030163505,7.156580269722411,-0.0531600287638182,0.9171147386181455
base_all__q80,base_all,0.8,wick_reject,190,190.0,1.0,-0.08010879672570659,-0.14820351770193185,0.4631578947368421,0.9639705191406025,-2.784065207570904,-0.24552494760625732,-0.29494077584129574
base_all__q85,base_all,0.85,bb_revert,62,62.0,1.0,0.293045940442588,3.5402749667364413,0.6935483870967742,1.753414590851103,43.13973835386681,-0.07527736603186352,4.56206749822563
base_all__q85,base_all,0.85,macd_flip,48,48.0,1.0,0.10378018982053994,1.1187826183541425,0.5625,1.2922788369138363,23.044442444568,-0.1014526047960056,1.9575418213181426
base_all__q85,base_all,0.85,vwap_revert,154,154.0,1.0,0.04357615530726977,0.10638081134315613,0.525974025974026,1.0577189255574653,5.180028649547864,-0.20770446585498314,0.44830521677986945
base_all__q85,base_all,0.85,trend_rsi_snapback,85,85.0,1.0,0.039249760084756335,0.17977002871780257,0.5882352941176471,1.1014858795908333,5.4780069328728676,-0.17488444309928564,0.7550002882772783
base_all__q85,base_all,0.85,micro_breakout,18,18.0,1.0,0.037424034294212705,1.1064851940511455,0.5,1.3398470823239605,21.77407559391128,-0.048903438417776,2.4685583513432228
base_all__q85,base_all,0.85,wick_reject,195,195.0,1.0,-0.037208654496960425,-0.06851553817664169,0.4564102564102564,0.9954775134271198,-0.34219603625945816,-0.28041651225592057,-0.03632251283508149
base_all__q90,base_all,0.9,vwap_revert,161,161.0,1.0,0.3330254141444611,0.9187517962759781,0.5652173913043478,1.2408230535347384,20.29539336035846,-0.13709943070589192,1.7514974919342599
base_all__q90,base_all,0.9,bb_revert,33,33.0,1.0,0.17104177789317743,4.733927312542087,0.7575757575757576,1.9755601150282192,49.244639578071684,-0.054243664888971255,5.815122538926824
base_all__q90,base_all,0.9,macd_flip,51,51.0,1.0,0.15024092613465023,1.723060009166736,0.5882352941176471,1.4064955330124558,29.928540419894585,-0.12478205571956846,2.544486716969857
base_all__q90,base_all,0.9,trend_rsi_snapback,59,59.0,1.0,0.023121555672825478,0.15189859520819748,0.4745762711864407,1.0841691608577577,4.950548558580286,-0.1214882615286671,0.6374196867131331
base_all__q90,base_all,0.9,micro_breakout,6,6.0,1.0,0.0008737455482772383,0.0545663572728341,0.5,1.0358050431342372,3.3249939723944966,-0.02256852529166975,0.3001054715654771
base_all__q90,base_all,0.9,wick_reject,164,164.0,1.0,-0.12781924772157804,-0.26241301813332796,0.4329268292682927,0.9267729169587485,-6.337711576921816,-0.305267716828279,-0.6016619213700215
base_all__q95,base_all,0.95,vwap_revert,137,137.0,1.0,0.4086316942612589,1.4913295419973975,0.5401459854014599,1.3103015595839411,27.8480492146024,-0.09526199285363468,2.2302783247712914
base_all__q95,base_all,0.95,bb_revert,23,23.0,1.0,0.23430810990603335,27.239207512127425,0.9130434782608695,4.253244088031429,92.90209262281057,-0.04057123522479511,12.657123711764738
base_all__q95,base_all,0.95,macd_flip,10,10.0,1.0,0.07794910990080361,14.482333772893304,0.4,1.6080863000160763,82.32997246352596,-0.06618293180266954,3.9559703888342526
base_all__q95,base_all,0.95,trend_rsi_snapback,41,41.0,1.0,-0.08794014402824712,-0.5593333041594737,0.34146341463414637,0.7316237278078941,-21.20996070792893,-0.11448459680866052,-2.5563794293306508
