window,start,end,trades,days,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x
recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366
recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,56,30.0,0.2717894124625091,17.6373858531094,0.5714285714285714,1.5870560010875103,45.651504121592765,-0.10536880954648642
recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,139,90.0,0.1363125909048133,0.6790919819244337,0.49640287769784175,1.1478581312225191,11.013961537790081,-0.14554006442210032
recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,296,183.0,0.2111682136823967,0.46539349674704966,0.5236486486486487,1.1098130358732712,8.162389988995585,-0.18262700829252654
recent_12m,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936
full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936
