candidate_id,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
current_70_20_10__q80,current_70_20_10,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936,1.2660793138405462,13,6,0.2717894124625091,0.1363125909048133,0.2111682136823967,True
equal_weight__q90,equal_weight,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,466,365.0,1.2767123287671234,0.5908096029226915,0.5908096029226915,0.5278969957081545,1.1520641564099365,11.958798863842192,-0.25589204496769713,1.2892926424311983,13,4,0.14103898590949226,0.11013157152602737,0.23923235139251986,True
cfg_style_78_22__q95,cfg_style_78_22,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,333,365.0,0.9123287671232877,0.530516470659548,0.530516470659548,0.4894894894894895,1.181350075337195,15.098464616441758,-0.24266965923933792,1.2748730984039716,13,5,0.1699077219257652,0.055751978371317845,0.09491301891580006,True
current_70_20_10__q95,current_70_20_10,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,331,365.0,0.9068493150684932,0.476510839508113,0.476510839508113,0.486404833836858,1.1674051770522982,14.109596998831886,-0.2426696592393376,1.1825513868270847,13,5,0.15668363705929922,0.04381825616548474,0.08253663878582973,True
equal_weight__q95,equal_weight,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,336,365.0,0.9205479452054794,0.4605533000098183,0.4605533000098183,0.4791666666666667,1.1608492718424201,13.68207061832891,-0.2552155752824178,1.1376667963755347,13,6,0.2063152557436918,0.13856386961381073,0.19372699606785093,True
cfg_style_78_22__q80,cfg_style_78_22,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.4504277063903863,0.4504277063903863,0.5308056872037915,1.1040796027619522,7.551118772819383,-0.28751187201031103,1.0349605432559483,13,6,0.2717894124625091,0.13829932427158376,0.14378744658927678,True
cfg_only__q95,cfg_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,333,365.0,0.9123287671232877,0.4311318202009875,0.4311318202009875,0.4954954954954955,1.155816582608333,13.054690403787898,-0.2426696592393376,1.1086439450588395,13,5,0.1699077219257652,0.055751978371317845,0.09491301891580006,True
cfg_side_88_12__q95,cfg_side_88_12,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,331,365.0,0.9068493150684932,0.4052085727805965,0.4052085727805965,0.49244712990936557,1.149232721105219,12.578625854992472,-0.24266965923933792,1.0622576191718953,13,5,0.15668363705929922,0.04381825616548474,0.08253663878582973,True
cfg_only__q60,cfg_only,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,818,365.0,2.241095890410959,1.7993068106617685,1.7993068106617685,0.539119804400978,1.2056521833770826,14.323322668760857,-0.30503665433859106,2.1935270043423127,13,4,-0.018948825484295884,-0.0639417053706649,0.6370798963407256,False
cfg_style_78_22__q60,cfg_style_78_22,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,824,365.0,2.2575342465753425,1.69731503737676,1.69731503737676,0.537621359223301,1.1962983648575567,13.786915885074183,-0.3442777376202262,2.115319767388912,13,3,-0.06850927320934619,-0.20909525960703834,0.3408307065897036,False
