candidate_id,style_set,allowed_styles,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
no_wick_no_breakout__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,545,365.0,1.4931506849315068,2.3878165934212165,2.3878165934212165,0.5908256880733945,1.38307834386517,24.048742191127236,-0.1675416021121343,3.094521600782306,13,2,0.47964358443990696,0.2532841490123523,0.7986650070341648,True
bb_vwap_only__q85,bb_vwap_only,"bb_revert,vwap_revert",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,347,365.0,0.9506849315068493,1.9431145337034441,1.9431145337034441,0.6138328530259366,1.4886953330734725,33.06487629253409,-0.10785513647465927,3.147016563581729,13,1,0.4423140835046955,0.347726139297156,0.6422537979379326,True
core_bb_vwap_macd__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,289,365.0,0.7917808219178082,1.7944317602086373,1.7944317602086373,0.629757785467128,1.5343034856537108,37.81733595084006,-0.15043011964203334,3.0566107745533704,13,1,0.3039394465255749,0.36942297153942283,0.6017849117625595,True
bb_vwap_only__q90,bb_vwap_only,"bb_revert,vwap_revert",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,247,365.0,0.6767123287671233,1.3963759203606938,1.3963759203606938,0.6275303643724697,1.5254102235564626,37.64039782084423,-0.13028228121653018,2.8168255751657387,13,3,0.21575577373418442,0.24634250028517157,0.5513030476699634,True
no_wick_no_breakout__q90,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,355,365.0,0.9726027397260274,1.3912075780265667,1.3912075780265667,0.5887323943661972,1.390129303876295,26.47163145397509,-0.1459810303376522,2.55982254526913,13,2,0.2062847573457829,0.17363949794873035,0.4590111359890834,True
no_wick__q90,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,366,365.0,1.0027397260273974,1.3622926510526763,1.3622926510526763,0.5901639344262295,1.3787065283581588,25.34528788234856,-0.1810991931122864,2.5251590526091,13,1,0.28685058404324315,0.2520250000627451,0.5308850258180076,True
core_bb_vwap_macd__q80,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,475,365.0,1.3013698630136987,1.341841349807222,1.341841349807222,0.5726315789473684,1.280170105991635,19.779865404393455,-0.21517630141091726,2.2354426015012643,13,4,0.3688629458758672,0.3621037765966022,1.1573694133500947,True
mean_revert_bb_vwap_rsi__q80,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,520,365.0,1.4246575342465753,1.235604780898858,1.235604780898858,0.573076923076923,1.2551779684796687,17.102019733155185,-0.24576688196952678,2.16301471646042,13,5,0.3215555743231484,0.014193730951447492,0.27058083755551876,True
no_wick__q80,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,1.2234942640209887,1.2234942640209887,0.5587188612099644,1.239029973322771,15.83468831556034,-0.14767560834400473,2.0879324159937496,13,5,0.25808520114641387,0.12297524547683225,0.4619725893149893,True
core_bb_vwap_macd__q85,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,392,365.0,1.073972602739726,1.1863698838475467,1.1863698838475467,0.5790816326530612,1.294683613642871,22.052496840621917,-0.1729932989638986,2.135160288017724,13,5,0.527292794111996,0.5430671781986149,0.7492194181030323,True
bb_vwap_only__q80,bb_vwap_only,"bb_revert,vwap_revert",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,443,365.0,1.2136986301369863,1.1555825635107246,1.1555825635107246,0.5869074492099323,1.267094376336196,19.19607394014956,-0.17707144642680617,2.101903565944909,13,5,0.4642605691048174,0.3206674511232024,0.9122732160811968,True
mean_revert_bb_vwap_rsi__q95,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,207,365.0,0.5671232876712329,1.0742851020294353,1.0742851020294353,0.5797101449275363,1.503262285085474,37.64112998910864,-0.12028163022096405,2.4952769034632736,13,3,0.11972312295638732,0.15688969383146345,0.37987583265643043,True
no_wick_no_breakout__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,220,365.0,0.6027397260273972,1.0660567069666844,1.0660567069666844,0.5772727272727273,1.4579456930336328,35.49282110002006,-0.11849947251767823,2.363006869160301,13,2,0.2830848876776544,0.3256738674342756,0.5020963320095031,True
no_wick_no_breakout__q85,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,463,365.0,1.2684931506849315,0.9122849807519142,0.9122849807519142,0.5680345572354212,1.2252604683272565,15.782484953332283,-0.19804246991730734,1.7985732876459244,13,4,0.37647745775280184,0.1469521661412665,0.35326942562769803,True
no_wick__q95,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,235,365.0,0.6438356164383562,0.8924314308692944,0.8924314308692944,0.5659574468085107,1.3660406029327108,29.69451801811729,-0.11638644421481603,2.0182197241874,13,3,0.2830848876776544,0.3076931269564904,0.43853393927760775,True
mean_revert_bb_vwap_rsi__q90,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,329,365.0,0.9013698630136986,0.7336096385512383,0.7336096385512383,0.5653495440729484,1.250536494024049,18.677445795420496,-0.1313749397191014,1.715582202586172,13,4,0.11447768399314784,0.0674372346168608,0.2282286998678711,True
core_bb_vwap_macd__q95,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,184,365.0,0.5041095890410959,0.6923290909421067,0.6923290909421067,0.5760869565217391,1.367496875171821,31.390806179897872,-0.13227992980972303,1.8023169489676416,13,3,0.24542398395935838,0.282597272122745,0.3390539926328353,True
bb_vwap_only__q95,bb_vwap_only,"bb_revert,vwap_revert",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,165,365.0,0.4520547945205479,0.6833200652227835,0.6833200652227835,0.5878787878787879,1.4123258966448373,34.27125120568355,-0.15621649535308257,1.8991714233443038,13,3,0.08685718779512475,0.1022814558581,0.2069632449690424,True
no_wick__q85,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,480,365.0,1.3150684931506849,0.6342892297753937,0.6342892297753937,0.5604166666666667,1.1703667908194602,11.924242410793289,-0.20870896220329316,1.4184559501595264,13,6,0.47931388821267595,0.2219562019438126,0.4960157839825865,True
base_all__q95,base_all,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert,wick_reject",0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,331,365.0,0.9068493150684932,0.476510839508113,0.476510839508113,0.486404833836858,1.1674051770522982,14.109596998831886,-0.2426696592393376,1.1825513868270847,13,5,0.15668363705929922,0.04381825616548474,0.08253663878582973,True
base_all__q80,base_all,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert,wick_reject",0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936,1.2660793138405462,13,6,0.2717894124625091,0.1363125909048133,0.2111682136823967,False
base_all__q90,base_all,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert,wick_reject",0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,474,365.0,1.2986301369863014,0.6036613581075916,0.6036613581075916,0.5232067510548524,1.1529583645623913,12.00766799300449,-0.2610289519102019,1.2895931403898713,13,5,0.11347916309870154,-0.0004490507765322338,0.0646599826844465,False
base_all__q85,base_all,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert,wick_reject",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,0.5460698591717599,0.5460698591717599,0.5320284697508897,1.128911258263113,9.55401628153626,-0.3527963722898678,1.1903456609193692,13,5,0.27287115015431573,0.10261189177808872,0.18660162112896628,False
mean_revert_bb_vwap_rsi__q85,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,433,365.0,1.1863013698630136,0.5126275295006295,0.5126275295006295,0.5635103926096998,1.1577200913959451,11.274154924846203,-0.21382053759574915,1.2656548720990557,13,6,0.01911469618289119,-0.1766744645366788,0.07261666847912207,False
