candidate_id,style_set,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
base_all__q80,base_all,0.8,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,1.5714285714285714,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366,13.029310895345384
base_all__q80,base_all,0.8,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,56,30.0,1.8666666666666667,0.2717894124625091,17.6373858531094,0.5714285714285714,1.5870560010875103,45.651504121592765,-0.10536880954648642,5.132723798533743
base_all__q80,base_all,0.8,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,139,90.0,1.5444444444444445,0.1363125909048133,0.6790919819244337,0.49640287769784175,1.1478581312225191,11.013961537790081,-0.14554006442210032,1.3619230621983651
base_all__q80,base_all,0.8,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,296,183.0,1.6174863387978142,0.2111682136823967,0.46539349674704966,0.5236486486486487,1.1098130358732712,8.162389988995585,-0.18262700829252654,1.0754411400979789
base_all__q80,base_all,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936,1.2660793138405462
base_all__q85,base_all,0.85,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,10,7.0,1.4285714285714286,0.07010026582219964,33.219687320977286,0.7,2.053104387652931,71.31150210814376,-0.04057123522479511,5.963927711674279
base_all__q85,base_all,0.85,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,48,30.0,1.6,0.27287115015431573,17.83117384649546,0.6458333333333334,1.698573907697128,53.21359555900122,-0.08468007022629565,5.33580330871026
base_all__q85,base_all,0.85,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,117,90.0,1.3,0.10261189177808872,0.48609818382425574,0.5213675213675214,1.1383916915908576,10.175348749230382,-0.14640223885850723,1.151884707631767
base_all__q85,base_all,0.85,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,264,183.0,1.4426229508196722,0.18660162112896628,0.40670760950584506,0.5189393939393939,1.1090951165223615,8.261579060794356,-0.18587845503902745,1.001129005635872
base_all__q85,base_all,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,0.5460698591717599,0.5460698591717599,0.5320284697508897,1.128911258263113,9.55401628153626,-0.3527963722898678,1.1903456609193692
base_all__q90,base_all,0.9,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,8,7.0,1.1428571428571428,0.011725382423568353,0.8364572277708477,0.5,1.1745497150092081,18.306856395894762,-0.04138442440370926,1.2765158555188698
base_all__q90,base_all,0.9,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,39,30.0,1.3,0.11347916309870154,2.6979878614774724,0.5897435897435898,1.3590568291819205,30.170957700500754,-0.08266989303973615,2.852759119140071
base_all__q90,base_all,0.9,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,89,90.0,0.9888888888888889,-0.0004490507765322338,-0.0018199013560217248,0.4943820224719101,1.0223309742389295,1.7155130478807594,-0.14447401884259292,0.17210027937942288
base_all__q90,base_all,0.9,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,209,183.0,1.1420765027322404,0.0646599826844465,0.13311285748031,0.5023923444976076,1.0605819086975872,4.942682224190707,-0.25536532003322876,0.5095649681215333
base_all__q90,base_all,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,474,365.0,1.2986301369863014,0.6036613581075916,0.6036613581075916,0.5232067510548524,1.1529583645623913,12.00766799300449,-0.2610289519102019,1.2895931403898713
base_all__q95,base_all,0.95,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,8,7.0,1.1428571428571428,0.023510109988154948,2.3591767166661652,0.625,1.309035375041447,33.10613910469535,-0.04057123522479511,2.2260575252153436
base_all__q95,base_all,0.95,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,31,30.0,1.0333333333333334,0.15668363705929922,4.876393480477956,0.6451612903225806,1.6728357101505495,49.75368583774628,-0.07908712568689402,4.079661035799807
base_all__q95,base_all,0.95,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,69,90.0,0.7666666666666667,0.04381825616548474,0.18996522305131225,0.5072463768115942,1.1071609160518547,8.118925225920687,-0.12157331012513717,0.6887093071285144
base_all__q95,base_all,0.95,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,134,183.0,0.73224043715847,0.08253663878582973,0.17137782226447307,0.5,1.0984216310026562,8.02773490832091,-0.12157331012513661,0.634438759577609
base_all__q95,base_all,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,331,365.0,0.9068493150684932,0.476510839508113,0.476510839508113,0.486404833836858,1.1674051770522982,14.109596998831886,-0.2426696592393376,1.1825513868270847
no_wick__q80,no_wick,0.8,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,10,7.0,1.4285714285714286,0.12268653690070885,416.4673846002215,0.7,3.3955319997724085,119.07325084217116,-0.0230515067769147,11.069699697683983
no_wick__q80,no_wick,0.8,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,49,30.0,1.6333333333333333,0.25808520114641387,15.335746584430932,0.5714285714285714,1.6502759657457517,49.63676169869814,-0.0901527362155593,5.163935905939302
no_wick__q80,no_wick,0.8,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,112,90.0,1.2444444444444445,0.12297524547683225,0.6005862257525618,0.49107142857142855,1.1628793358568983,12.253056221779035,-0.13051674034329908,1.3300651689094751
no_wick__q80,no_wick,0.8,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,249,183.0,1.360655737704918,0.4619725893149893,1.1329327019629778,0.5381526104417671,1.2473189463145025,16.93095378072639,-0.13051674034329896,2.057318038069273
no_wick__q80,no_wick,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,1.2234942640209887,1.2234942640209887,0.5587188612099644,1.239029973322771,15.83468831556034,-0.14767560834400473,2.0879324159937496
no_wick__q85,no_wick,0.85,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,10,7.0,1.4285714285714286,0.1722777023383657,3975.0124101977126,0.9,16.29115719378117,161.7996542929833,-0.0105812563589881,19.4752168281437
no_wick__q85,no_wick,0.85,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,46,30.0,1.5333333333333334,0.47931388821267595,116.23773075299773,0.7391304347826086,2.4956533315406255,88.05269095353955,-0.07382103690631392,9.061025359280183
no_wick__q85,no_wick,0.85,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,98,90.0,1.0888888888888888,0.2219562019438126,1.2545453952951027,0.5510204081632653,1.3164081729210224,22.380858140158253,-0.1851062980729895,2.264886669621452
no_wick__q85,no_wick,0.85,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,213,183.0,1.1639344262295082,0.4960157839825865,1.233142392111589,0.5633802816901409,1.3019002832563187,20.65279149908849,-0.20870896220329405,2.282527196444859
no_wick__q85,no_wick,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,480,365.0,1.3150684931506849,0.6342892297753937,0.6342892297753937,0.5604166666666667,1.1703667908194602,11.924242410793289,-0.20870896220329316,1.4184559501595264
no_wick__q90,no_wick,0.9,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,9,7.0,1.2857142857142858,0.020173938843812467,1.8333411672645226,0.6666666666666666,1.299026282488272,24.49391290835763,-0.04057123522479511,2.3556886079145616
no_wick__q90,no_wick,0.9,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,37,30.0,1.2333333333333334,0.28685058404324315,20.50761111084518,0.7297297297297297,2.207588000243473,70.39705490767942,-0.05646668831693158,7.357048570346872
no_wick__q90,no_wick,0.9,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,69,90.0,0.7666666666666667,0.2520250000627451,1.4881407715030428,0.6086956521739131,1.5639252965675334,34.23907573099932,-0.09940957446488241,3.162790849946955
no_wick__q90,no_wick,0.9,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,152,183.0,0.8306010928961749,0.5308850258180076,1.3381616604438027,0.5855263157894737,1.4498150444431024,29.84457753285479,-0.18109919311228595,2.7332281916480667
no_wick__q90,no_wick,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,366,365.0,1.0027397260273974,1.3622926510526763,1.3622926510526763,0.5901639344262295,1.3787065283581588,25.34528788234856,-0.1810991931122864,2.5251590526091
no_wick__q95,no_wick,0.95,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,7,7.0,1.0,0.0119369979247268,0.8565937862588306,0.5714285714285714,1.1755891303245956,21.497596875508542,-0.04057123522479511,1.2592171407489168
no_wick__q95,no_wick,0.95,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,22,30.0,0.7333333333333333,0.2830848876776544,19.75425951859354,0.7272727272727273,2.6054736306793207,117.78970039874714,-0.04057123522479522,6.763571635885833
no_wick__q95,no_wick,0.95,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,38,90.0,0.4222222222222222,0.3076931269564904,1.9682187991514306,0.6578947368421053,2.0574275321276794,73.76639404331186,-0.056455739151407114,3.7220018310578187
