candidate_id,month,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,median_trade_bps,max_drawdown_1x,avg_bars_held
tp50_sl75_h12__core__expanding__q70,2025_09,715,30.0,23.833333333333332,-0.73196018026572,-0.9999998895688251,0.45174825174825173,0.5047559480336309,-18.23428308479789,-23.3995990437409,-0.7351208298451843,6.9020979020979025
tp50_sl75_h12__core__expanding__q70,2025_10,706,31.0,22.774193548387096,-0.5652380664091241,-0.9999449568497397,0.5354107648725213,0.6655968611546982,-11.610771788496148,44.33814053737181,-0.5656803312089824,5.004249291784703
tp50_sl75_h12__core__expanding__q70,2025_11,837,30.0,27.9,-0.7308418009334778,-0.9999998838303624,0.5041816009557945,0.583756124752245,-15.484753604451047,7.876843641268558,-0.733413931508283,4.673835125448028
tp50_sl75_h12__core__expanding__q70,2025_12,810,31.0,26.129032258064516,-0.7250242132046582,-0.9999997498823322,0.4876543209876543,0.560913438466821,-15.756586659581059,-8.753664939308717,-0.7301208814769633,5.809876543209876
tp50_sl75_h12__core__expanding__q70,2026_01,853,31.0,27.516129032258064,-0.8105332660426838,-0.99999999688446,0.45955451348182885,0.49727075356168715,-19.311493895593717,-24.804575761177727,-0.8122026008830642,5.328253223915592
tp50_sl75_h12__core__expanding__q70,2026_02,830,28.0,29.642857142857142,-0.727005943029803,-0.9999999553466425,0.4987951807228916,0.5811368600576181,-15.449971779565052,-0.9164482310662089,-0.7284158918333163,4.533734939759036
tp50_sl75_h12__core__expanding__q70,2026_03,854,31.0,27.548387096774192,-0.5985987190299316,-0.9999784989571845,0.5351288056206089,0.6793946966875122,-10.51218424359989,19.867063355268296,-0.6038929777966124,5.797423887587822
tp50_sl75_h12__core__expanding__q70,2026_04,531,30.0,17.7,-0.593511849360939,-0.9999824847638443,0.4425612052730697,0.4924662580683343,-16.797811212384097,-10.068265157721317,-0.5979140981606091,8.32015065913371
tp50_sl75_h12__core__expanding__q70,2026_05,699,31.0,22.548387096774192,-0.7017809266804846,-0.9999993497531016,0.46494992846924177,0.5225948220577478,-17.131918663272256,-14.220851942871555,-0.7030978479356719,6.115879828326181
tp50_sl75_h12__core__expanding__q70,2026_06,24,25.17013888888889,0.9535108290798731,-0.04349598977691871,-0.4752732317779136,0.4583333333333333,0.5257976165237513,-18.33272162972181,-20.323653196532124,-0.0477182300715453,4.708333333333333
tp50_sl75_h12__core__expanding__q80,2025_09,550,30.0,18.333333333333332,-0.6769637007414802,-0.9999989303924249,0.4290909090909091,0.46323132872064365,-20.364201921637303,-28.298038132803697,-0.6786321057195441,7.136363636363637
tp50_sl75_h12__core__expanding__q80,2025_10,533,31.0,17.193548387096776,-0.48186889814409395,-0.9995657325124421,0.525328330206379,0.6536043234334792,-12.148185594779237,44.33814053737181,-0.4845450960355111,5.039399624765478
tp50_sl75_h12__core__expanding__q80,2025_11,637,30.0,21.233333333333334,-0.6518591784076426,-0.9999973412027329,0.4976452119309262,0.5676095922513711,-16.366595657941367,-4.428145269852321,-0.6567087648816378,4.844583987441131
