candidate_id,event_id,signal_ts,entry_ts,exit_ts,side,cfg_name,style,score,reason,bars_held,net_ret_1x
seeded_source_mean_q80_full_year_segments,18261,2025-06-26 07:55:00+00:00,2025-06-26 08:00:00+00:00,2025-06-26 12:00:00+00:00,-1,R1_relax_frequency_R03668,trend_rsi_snapback,0.0030816318680880416,time_open,49,0.00689363904009603
seeded_source_mean_q80_full_year_segments,19937,2025-06-26 17:35:00+00:00,2025-06-26 17:40:00+00:00,2025-06-26 18:40:00+00:00,1,R2_relax_winrate_payoff_R01203,macd_flip,0.0030111286018691054,time_open,13,-0.00946573190171563
seeded_source_mean_q80_full_year_segments,18262,2025-06-26 19:10:00+00:00,2025-06-26 19:15:00+00:00,2025-06-26 20:30:00+00:00,1,R1_relax_frequency_R03668,trend_rsi_snapback,0.0031999515129017904,target_limit,16,0.021431250950452164
seeded_source_mean_q80_full_year_segments,15842,2025-06-27 02:00:00+00:00,2025-06-27 02:05:00+00:00,2025-06-27 06:05:00+00:00,1,R3_live_candidate_gate_R05171,wick_reject,0.0046491664909480085,time_open,49,0.011326852106407485
seeded_source_mean_q80_full_year_segments,12436,2025-06-27 12:30:00+00:00,2025-06-27 12:35:00+00:00,2025-06-27 14:35:00+00:00,1,R2_relax_winrate_payoff_R03904,wick_reject,0.0033402195300356306,time_open,25,-0.011791525265858423
seeded_source_mean_q80_full_year_segments,4285,2025-06-27 17:40:00+00:00,2025-06-27 17:45:00+00:00,2025-06-27 18:40:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.002978700692939169,target_limit,12,0.006935915987618829
seeded_source_mean_q80_full_year_segments,19872,2025-06-28 12:25:00+00:00,2025-06-28 12:30:00+00:00,2025-06-28 16:30:00+00:00,-1,R1_relax_frequency_R03760,wick_reject,0.005163221693839293,time_open,49,-0.01025761028539822
seeded_source_mean_q80_full_year_segments,4287,2025-06-29 07:20:00+00:00,2025-06-29 07:25:00+00:00,2025-06-29 13:25:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.002978700692939169,time_open,73,-0.02227738395124613
seeded_source_mean_q80_full_year_segments,3481,2025-06-30 06:50:00+00:00,2025-06-30 06:55:00+00:00,2025-06-30 12:55:00+00:00,1,R2_relax_winrate_payoff_R04600,bb_revert,0.00326319501424001,time_open,73,-0.0020129209033104656
seeded_source_mean_q80_full_year_segments,20044,2025-07-01 05:30:00+00:00,2025-07-01 05:35:00+00:00,2025-07-01 08:35:00+00:00,-1,R1_relax_frequency_R04917,wick_reject,0.006021037185809723,time_open,37,-0.004435521783804757
seeded_source_mean_q80_full_year_segments,3482,2025-07-01 18:20:00+00:00,2025-07-01 18:25:00+00:00,2025-07-01 19:15:00+00:00,1,R2_relax_winrate_payoff_R04600,bb_revert,0.0029884785320634525,stop_market,11,-0.022562115135163045
seeded_source_mean_q80_full_year_segments,2079,2025-07-02 03:30:00+00:00,2025-07-02 03:35:00+00:00,2025-07-02 09:35:00+00:00,-1,R1_relax_frequency_R04051,vwap_revert,0.0026281571295386965,time_open,73,-0.02617895947363888
seeded_source_mean_q80_full_year_segments,12437,2025-07-02 16:25:00+00:00,2025-07-02 16:30:00+00:00,2025-07-02 18:30:00+00:00,1,R2_relax_winrate_payoff_R03904,wick_reject,0.0024025523961194806,time_open,25,-0.0025071356733039197
seeded_source_mean_q80_full_year_segments,22544,2025-07-03 12:50:00+00:00,2025-07-03 12:55:00+00:00,2025-07-03 13:30:00+00:00,1,R1_relax_frequency_R02394,trend_rsi_snapback,0.0032280418394048556,target_limit,8,0.004433814053737181
seeded_source_mean_q80_full_year_segments,19939,2025-07-04 03:20:00+00:00,2025-07-04 03:25:00+00:00,2025-07-04 04:25:00+00:00,1,R2_relax_winrate_payoff_R01203,macd_flip,0.0030147915076989724,time_open,13,-0.008876106118602291
seeded_source_mean_q80_full_year_segments,20405,2025-07-04 05:00:00+00:00,2025-07-04 05:05:00+00:00,2025-07-04 11:05:00+00:00,1,R1_relax_frequency_R02387,wick_reject,0.0027316104418309587,time_open,73,-0.007843880551365515
