segment,rank,cfg_name,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x
2025_08,1,R1_relax_frequency_R01536,77,61.625,1.2494929006085194,0.20133367403014013,1.9637495525303437,0.6753246753246753,1.354583054641203,25.695477041159368,-0.1453871218225532
2025_08,2,R2_relax_winrate_payoff_R03235,105,61.06944444444444,1.7193541050716399,0.18353821356673694,1.7377642800737454,0.44761904761904764,1.2321738977717476,18.383352248185382,-0.1987125119502915
2025_08,3,R1_relax_frequency_R01331,70,61.364583333333336,1.1407231369886266,0.17120023498813164,1.559893827190169,0.6285714285714286,1.275227031768874,25.058490940718702,-0.1686351726630606
2025_08,4,R3_live_candidate_gate_R00775,42,59.24652777777778,0.7089023032292094,0.16907919972509244,1.6179782006365007,0.6904761904761905,1.6340033865874362,38.755929734734664,-0.10433773909531519
2025_08,5,R1_relax_frequency_R01241,81,60.49305555555556,1.338996670875904,0.160224252051274,1.451489027093035,0.6049382716049383,1.3411740620693793,19.669488533343305,-0.12041467309642628
2025_08,6,R3_live_candidate_gate_R02009,78,60.22569444444444,1.295128279042952,0.1558162834078305,1.4051374448881528,0.5897435897435898,1.2299455945458775,21.491138241054685,-0.15249212475273954
2025_08,7,R3_live_candidate_gate_R01517,44,59.88194444444444,0.7347790792067727,0.14968975547392072,1.3402319736780672,0.36363636363636365,1.5023402657914915,33.77300116968246,-0.07164739427559974
2025_08,8,R1_relax_frequency_R02551,46,60.09027777777778,0.7655148503409223,0.13537762148584176,1.1623851835767836,0.6304347826086957,1.5732569397431657,28.77868746939081,-0.07473599115008889
2025_08,9,R2_relax_winrate_payoff_R04044,76,60.142361111111114,1.2636683794238208,0.1306214900252547,1.1065839363491774,0.5921052631578947,1.2971290859106916,17.19295518835376,-0.10053892417899102
2025_08,10,R2_relax_winrate_payoff_R01817,63,60.982638888888886,1.0330809087285773,0.12296877991621269,1.0020097801465448,0.5396825396825397,1.2352684644086225,20.999106335678924,-0.12917126658395195
2025_08,11,R3_live_candidate_gate_R00532,122,61.72569444444444,1.9764864712831187,0.11887602640750328,0.942944521979098,0.5819672131147541,1.172598539591532,10.299464098298968,-0.234313583577192
2025_08,12,R1_relax_frequency_R02248,65,60.197916666666664,1.0797715867797197,0.11556121842080191,0.9407443755515892,0.7230769230769231,1.400655529196828,17.442842801912413,-0.08011682544771626
2025_08,13,R3_live_candidate_gate_R01084,73,60.94444444444444,1.1978122151321786,0.11187865454681623,0.8872982575285795,0.7671232876712328,1.5934440265579628,14.847990267354335,-0.0460230613488648
2025_08,14,R2_relax_winrate_payoff_R00566,88,61.236111111111114,1.4370605579496483,0.10748570464824381,0.837718478216366,0.3977272727272727,1.1775169556220102,13.594439481649674,-0.1355982445360161
2025_08,15,R2_relax_winrate_payoff_R00457,60,61.489583333333336,0.9757750296459426,0.09237692294143374,0.6895766851015701,0.5666666666666667,1.1759843962694476,17.604094876741595,-0.13221391282299266
2025_08,16,R1_relax_frequency_R01787,65,60.5625,1.0732714138286894,0.08424195918274413,0.6281700413209119,0.8461538461538461,1.3913311605091483,12.936534332022973,-0.07653123771253567
2025_08,17,R1_relax_frequency_R00546,74,60.986111111111114,1.213391027100888,0.07886785458942347,0.5751212194860569,0.6891891891891891,1.170415076564123,11.474147627130852,-0.1381144736090565
2025_08,18,R1_relax_frequency_R00142,50,59.8125,0.8359456635318704,0.07857547310701696,0.5865992556315636,0.48,1.3223819126636913,16.160173990211906,-0.0794210804523251
2025_08,19,R2_relax_winrate_payoff_R01127,63,61.3125,1.0275229357798166,0.0785296849397703,0.5683864795098301,0.3968253968253968,1.1510818816690502,14.330984319437087,-0.1253502642256269
2025_08,20,R1_relax_frequency_R01250,42,59.114583333333336,0.7104845814977974,0.06229705298525645,0.4522936995242268,0.7142857142857143,1.6656609827630557,14.600115480438687,-0.020068051341858295
2025_08,21,R2_relax_winrate_payoff_R03546,57,59.25694444444444,0.9619125747099496,0.06208291610155858,0.4491916784254997,0.49122807017543857,1.1900642200260405,12.141644808264008,-0.1281939700231316
2025_08,22,R2_relax_winrate_payoff_R00385,45,61.65277777777778,0.7298941202973642,0.061268157275971236,0.42197285940205886,0.5111111111111111,1.233646842289041,14.178695763771124,-0.050787837049604545
2025_08,23,R2_relax_winrate_payoff_R02164,53,59.99305555555556,0.8834355828220859,0.05945164955611926,0.42100172632251787,0.4339622641509434,1.241588969278804,11.67972757019442,-0.059458479806210995
2025_08,24,R1_relax_frequency_R02333,47,60.90277777777778,0.7717217787913341,0.05270217989349946,0.3604435632700813,0.5319148936170213,1.29647265996703,11.55305036524264,-0.058498220811025625
2025_08,25,R1_relax_frequency_R00828,45,60.986111111111114,0.7378729218856752,0.05255888496241301,0.35876399313838014,0.8444444444444444,1.4533480763876807,11.681766945535028,-0.040422133033671925
2025_08,26,R1_relax_frequency_R02677,72,59.138888888888886,1.2174729920150307,0.05079857229566187,0.35773900184071183,0.5833333333333334,1.2609730399584134,7.17404496212048,-0.04557083659506045
2025_08,27,R3_live_candidate_gate_R02385,67,60.10069444444444,1.1147957709861922,0.05015329957764614,0.346079326810665,0.8507462686567164,1.2084645232835902,7.974271659887828,-0.05368540737749039
2025_08,28,R3_live_candidate_gate_R02815,43,61.72569444444444,0.6966304775833942,0.04008352197845522,0.261620613636971,0.7441860465116279,1.3156317472023151,9.44326307549619,-0.05070655814023206
2025_08,29,R1_relax_frequency_R01781,59,60.94444444444444,0.968094804010939,0.03228832482154487,0.2096371735346203,0.6440677966101694,1.1513671576466373,5.779722825485149,-0.08714333892134363
2025_08,30,R1_relax_frequency_R00545,55,61.37152777777778,0.8961810466760962,0.0316155978173589,0.20336155518504961,0.5272727272727272,1.15100211855863,6.301925242736345,-0.07395335914828027
2025_08,31,R1_relax_frequency_R00695,47,60.90277777777778,0.7717217787913341,0.029501405643146628,0.19035164442034258,0.5319148936170213,1.20605797466921,6.504047602006097,-0.055730316863303986
2025_08,32,R1_relax_frequency_R00638,40,61.295138888888886,0.6525802979663513,0.026599183663048365,0.16920351316336069,0.8,1.2556949739433194,6.907605282732696,-0.0361337329985727
2025_08,33,R3_live_candidate_gate_R00689,50,60.10069444444444,0.8319371425270091,0.022133703191598464,0.14219868731269547,0.82,1.1552736500753784,4.887081329940635,-0.0710203444293187
2025_09,1,R2_relax_winrate_payoff_R00457,88,92.48958333333333,0.9514584975785562,0.4392528553789361,3.2079515025935192,0.6363636363636364,1.5166226800000089,44.21403228838623,-0.13221391282299266
2025_09,2,R3_live_candidate_gate_R01517,66,90.88194444444444,0.726216856422404,0.35044558616067123,2.342119651887534,0.3939393939393939,1.7454618159711077,47.73170495128891,-0.07165525958759267
2025_09,3,R3_live_candidate_gate_R02009,121,91.22569444444444,1.3263806950100865,0.28566695271727327,1.7329408040489325,0.5950413223140496,1.2439857734884823,23.90248504524724,-0.15249212475273954
2025_09,4,R2_relax_winrate_payoff_R00566,128,92.23611111111111,1.3877428098177984,0.2769727120538019,1.6313925951635584,0.421875,1.293223035270249,21.063831749084557,-0.1355982445360161
2025_09,5,R2_relax_winrate_payoff_R01637,167,92.53819444444444,1.8046602378897603,0.2514125170603527,1.422024069034853,0.5209580838323353,1.1619647505042445,16.91185766996525,-0.17850239740125806
2025_09,6,R1_relax_frequency_R01241,116,91.49305555555556,1.2678557874762808,0.2504496320667955,1.4391211321356123,0.5948275862068966,1.3922454593852986,20.417329560447694,-0.12041467309642628
2025_09,7,R1_relax_frequency_R00394,186,91.70138888888889,2.0283226050738357,0.23280794419264028,1.300339890824723,0.7150537634408602,1.1931031753736183,12.807356115950624,-0.13478477930360588
2025_09,8,R1_relax_frequency_R02551,72,91.09027777777777,0.7904246397804376,0.21839774624961983,1.2067750002294022,0.625,1.5518877032351277,28.644703057673556,-0.07473599115008889
2025_09,9,R2_relax_winrate_payoff_R03018,48,91.26041666666667,0.5259673553247346,0.19545545035857836,1.0421995976719227,0.6041666666666666,1.5200098780902171,40.262811222710035,-0.06857142442033892
2025_09,10,R2_relax_winrate_payoff_R03652,40,91.91319444444444,0.43519323032752827,0.19008247634249886,0.9958456577121981,0.6,1.4624375829275145,47.033023246059024,-0.090759125199248
2025_09,11,R1_relax_frequency_R00266,109,92.72569444444444,1.1755102040816328,0.1895750827308349,0.9804692466302614,0.5963302752293578,1.271295409025506,17.15424773504245,-0.11192931188223854
2025_09,12,R3_live_candidate_gate_R02705,69,91.26041666666667,0.756078073279306,0.15782323057222203,0.7969664921753519,0.5507246376811594,1.2790595513148832,23.186506820090003,-0.09368940629047418
2025_09,13,R3_live_candidate_gate_R00896,44,91.98263888888889,0.4783511381223812,0.144734740719062,0.709814999734975,0.5454545454545454,1.511288489435782,32.65099314397274,-0.07806154072786586
2025_09,14,R3_live_candidate_gate_R00775,64,90.24652777777777,0.7091685583471202,0.12475193178792954,0.6087843713084791,0.65625,1.2684359935236105,20.10738277102879,-0.10433773909531519
2025_09,15,R2_relax_winrate_payoff_R01817,97,91.98263888888889,1.0545468272243403,0.12293390168542517,0.5842090707112162,0.5051546391752577,1.153976353967469,14.650550043587375,-0.12917126658395195
2025_09,16,R3_live_candidate_gate_R00249,55,90.48263888888889,0.6078514140987759,0.12158805086898106,0.5886345142701987,0.5818181818181818,1.4615986139296946,21.812077455793013,-0.05226385785646792
2025_09,17,R2_relax_winrate_payoff_R02509,56,91.80555555555556,0.6099848714069591,0.12080216111150999,0.5736819124041344,0.48214285714285715,1.2788212276776312,23.073544590650048,-0.08938559348110042
2025_09,18,R1_relax_frequency_R01507,40,88.63888888888889,0.4512691946098402,0.10931322716183023,0.5329414384723759,0.675,1.5751393227292574,26.934071842537897,-0.04055940126109636
2025_09,19,R3_live_candidate_gate_R02537,50,89.71180555555556,0.5573402484808607,0.10134638753293967,0.48105446456463175,0.58,1.3164589791975356,20.471575238542187,-0.07298957120590055
2025_09,20,R2_relax_winrate_payoff_R02164,84,90.99305555555556,0.9231473708311073,0.09395881630916758,0.43365420015803546,0.4523809523809524,1.228846041733833,11.507288826341545,-0.059458479806210995
2025_09,21,R3_live_candidate_gate_R00698,63,91.95486111111111,0.6851187554280104,0.08725178281812607,0.39381967063043444,0.4444444444444444,1.1928622342235349,14.84759215836069,-0.12343446556273185
2025_09,22,R3_live_candidate_gate_R01693,41,87.57986111111111,0.46814415414502636,0.06970496997474962,0.32422391986123467,0.6341463414634146,1.4101374713520498,17.195560296373845,-0.08680946050141958
2025_09,23,R1_relax_frequency_R00828,59,91.98611111111111,0.6414011777140268,0.06886457428915738,0.3024616001154039,0.847457627118644,1.458286881328587,11.58069114019823,-0.040422133033671925
