candidate_id,bracket,tp_bps,sl_bps,max_hold_bars,feature_set,train_mode,quantile,selected_events,selected_unique_signal_bars,selected_positive_score_events,active_months,negative_active_months,paper_gate,oos_full_trades,oos_full_days,oos_full_trades_per_day,oos_full_total_return_1x,oos_full_annualized_1x,oos_full_win_rate,oos_full_profit_factor,oos_full_avg_trade_bps,oos_full_median_trade_bps,oos_full_max_drawdown_1x,oos_full_avg_bars_held,fwd_last_20pct_trades,fwd_last_20pct_days,fwd_last_20pct_trades_per_day,fwd_last_20pct_total_return_1x,fwd_last_20pct_annualized_1x,fwd_last_20pct_win_rate,fwd_last_20pct_profit_factor,fwd_last_20pct_avg_trade_bps,fwd_last_20pct_median_trade_bps,fwd_last_20pct_max_drawdown_1x,fwd_last_20pct_avg_bars_held,recent_90d_trades,recent_90d_days,recent_90d_trades_per_day,recent_90d_total_return_1x,recent_90d_annualized_1x,recent_90d_win_rate,recent_90d_profit_factor,recent_90d_avg_trade_bps,recent_90d_median_trade_bps,recent_90d_max_drawdown_1x,recent_90d_avg_bars_held,recent_30d_trades,recent_30d_days,recent_30d_trades_per_day,recent_30d_total_return_1x,recent_30d_annualized_1x,recent_30d_win_rate,recent_30d_profit_factor,recent_30d_avg_trade_bps,recent_30d_median_trade_bps,recent_30d_max_drawdown_1x,recent_30d_avg_bars_held,has_trades
tp160_sl220_h48__all__expanding__q95,tp160_sl220_h48,160.0,220.0,48,all,expanding,0.95,8563,1555,0,10,4,False,669,298.1701388888889,2.2436854424557193,-0.12036038627705292,-0.14528441150804394,0.5396113602391629,0.9895766100119663,-0.724460128699046,30.755171049057733,-0.24177814754547566,31.85949177877429,73,59.634027777777774,1.2241333131484868,-0.16782824033886445,-0.6751744255027172,0.4383561643835616,0.6551345114485296,-24.20699469998108,-22.223125699716366,-0.21558589405129414,35.863013698630134,136,90.0,1.511111111111111,-0.16632367527606895,-0.5218096104090366,0.45588235294117646,0.7987315067759782,-12.487996597162978,-13.045655703928485,-0.24177814754547589,38.13970588235294,3,30.0,0.1,0.0033984821450361302,0.04214188246317252,0.6666666666666666,1.1696537016782476,12.762779523836528,109.65203573679749,-0.022568525291669972,20.333333333333332,True
tp160_sl220_h48__all__trailing_180d__q95,tp160_sl220_h48,160.0,220.0,48,all,trailing_180d,0.95,9129,1666,0,10,5,False,711,298.1701388888889,2.384544618215271,-0.38119840232623403,-0.44431182275274217,0.5203938115330521,0.9221389474923851,-5.563027057838593,15.103621195760992,-0.40523741361304944,31.838255977496484,86,59.634027777777774,1.4421296565858885,-0.21087493750740927,-0.7653265480283421,0.4186046511627907,0.5983319396357466,-26.699101919690726,-26.660040604623127,-0.21842510323534348,38.86046511627907,150,90.0,1.6666666666666667,-0.23409501318934423,-0.6609491316665835,0.4533333333333333,0.7146894792396974,-16.98628224288064,-15.218395741883821,-0.27043646984231995,39.64,5,30.0,0.16666666666666666,-0.021829821965331453,-0.235503642331791,0.4,0.5917418750953249,-42.58818355438796,-70.27762500643404,-0.0366956840355005,18.8,True
tp160_sl220_h48__all__expanding__q90,tp160_sl220_h48,160.0,220.0,48,all,expanding,0.9,17911,3116,0,10,6,False,1012,298.1701388888889,3.394035377825393,-0.38422659366984624,-0.44763882596672255,0.532608695652174,0.9487678494051365,-3.609228307659553,23.34210159501839,-0.4250763563116494,32.25197628458498,114,59.634027777777774,1.9116602424510616,-0.23928583155026073,-0.8125020870901216,0.4473684210526316,0.6840149001081883,-22.987736933514558,-25.710626789124976,-0.25919482810877936,35.08771929824562,209,90.0,2.3222222222222224,-0.33602151112771106,-0.8100078288692633,0.44976076555023925,0.723043764748245,-18.6557048420808,-11.578274579949332,-0.425076356311649,38.066985645933016,3,30.0,0.1,0.0033984821450361302,0.04214188246317252,0.6666666666666666,1.1696537016782476,12.762779523836528,109.65203573679749,-0.022568525291669972,20.333333333333332,True
tp220_sl300_h72__all__expanding__q95,tp220_sl300_h72,220.0,300.0,72,all,expanding,0.95,8710,1458,0,10,7,False,543,298.1701388888889,1.8211079151770637,-0.4172026753141125,-0.48362855153133943,0.5267034990791897,0.9162589045300368,-7.874245463306344,26.075260652882147,-0.46325753420404514,52.629834254143645,55,59.634027777777774,0.9222922222351613,-0.19588480433716993,-0.7366794848775396,0.45454545454545453,0.6567803842486464,-37.493360991005616,-35.976098819575824,-0.21959983474203038,50.58181818181818,100,90.0,1.1111111111111112,-0.2577405808363945,-0.7014400696749767,0.46,0.6972322049437821,-28.068078889508715,-26.823146533193118,-0.2949526838959854,58.38,3,30.0,0.1,-0.04004879734013511,-0.3918210132437997,0.3333333333333333,0.3506931949978863,-132.30846561999942,-305.6090896891117,-0.04004879734013511,34.666666666666664,True
tp220_sl300_h72__all__trailing_120d__q85,tp220_sl300_h72,220.0,300.0,72,all,trailing_120d,0.85,29678,5144,0,10,5,False,1019,298.1701388888889,3.4175119071186515,-0.4333411194662593,-0.5010777473909789,0.5368007850834151,0.9625013731676636,-3.4675010711602496,26.06651886205357,-0.5933484503820851,49.800785083415114,105,59.634027777777774,1.760739696994399,-0.43073561809834815,-0.9682050130728929,0.4,0.5268658662285969,-51.758640748974344,-40.17012414034609,-0.44641432378756607,56.99047619047619,213,90.0,2.3666666666666667,-0.4207944066896343,-0.890816998270544,0.4788732394366197,0.7206168286631252,-24.06587200663177,-18.912857551012785,-0.47851743331935226,61.075117370892016,7,30.0,0.23333333333333334,-0.1066758657431992,-0.7465200280898895,0.2857142857142857,0.28045684397616444,-157.09786450870558,-305.6090896891117,-0.12541922579169829,28.714285714285715,True
tp220_sl300_h72__core__trailing_120d__q90,tp220_sl300_h72,220.0,300.0,72,core,trailing_120d,0.9,19358,3808,0,10,4,False,856,298.1701388888889,2.870844153575629,-0.4448938722115078,-0.5135007531258431,0.5233644859813084,0.9447747421725353,-4.90838612040178,15.104815497454801,-0.5136820149687256,52.217289719626166,93,59.634027777777774,1.5595123030521818,-0.20502835065977776,-0.7544807096064561,0.41935483870967744,0.7308960359651814,-23.127739499049014,-32.12943598006611,-0.2905707298073359,58.81720430107527,192,90.0,2.1333333333333333,-0.36823353072341247,-0.8447090673187514,0.46875,0.7176253255015728,-22.536351879010258,-18.791989534122244,-0.44706129272774364,63.005208333333336,6,30.0,0.2,0.07787685115620424,1.4903359067874828,0.8333333333333334,3.5065417360500284,127.6703230370025,214.31250950452386,-0.03056090896891117,21.5,True
tp220_sl300_h72__all__trailing_120d__q95,tp220_sl300_h72,220.0,300.0,72,all,trailing_120d,0.95,9974,1871,0,10,8,False,632,298.1701388888889,2.1195952161913523,-0.4450172124041012,-0.5136330740955808,0.5237341772151899,0.9224063269640088,-7.245642578601998,19.268025235032667,-0.5735832857380391,50.3623417721519,60,59.634027777777774,1.0061369697110851,-0.3027117336435762,-0.8899527359270993,0.35,0.47644297085556736,-58.2402451317193,-80.54400560615773,-0.3366408815003702,55.766666666666666,132,90.0,1.4666666666666666,-0.3184303552906498,-0.7887525241432559,0.4393939393939394,0.6841604448736907,-27.5277294637042,-29.670812623626965,-0.38930275176698503,61.97727272727273,5,30.0,0.16666666666666666,-0.04944792458322378,-0.46043932163965406,0.4,0.4674640466013437,-97.6580914866205,-305.6090896891117,-0.0693920177865347,26.6,True
tp160_sl220_h48__core__expanding__q95,tp160_sl220_h48,160.0,220.0,48,core,expanding,0.95,8546,1623,0,10,7,False,645,298.1701388888889,2.1631944848788325,-0.4561116388806956,-0.5255082205746977,0.5317829457364341,0.8847179839441474,-8.268428759586856,15.102287870045984,-0.46405020643303396,32.4015503875969,83,59.634027777777774,1.3918228081003343,-0.15395777912466202,-0.6405894127933649,0.4457831325301205,0.7165900167611491,-19.214431978319325,-26.902058200283843,-0.17865440880746963,37.59036144578313,146,90.0,1.6222222222222222,-0.2640634041389667,-0.7116208597116512,0.4657534246575342,0.6840766198373358,-20.148384791278005,-12.352552613547905,-0.28105825798298556,40.37671232876713,3,30.0,0.1,0.00341004300403025,0.04228798005668355,0.6666666666666666,1.1702094016351048,12.800947055928088,109.65203573679749,-0.02256211513516304,23.333333333333332,True
tp220_sl300_h72__core__expanding__q95,tp220_sl300_h72,220.0,300.0,72,core,expanding,0.95,8681,1618,0,10,6,False,568,298.1701388888889,1.9049526626529873,-0.4662343183074388,-0.5362959972317068,0.5035211267605634,0.8975777655584883,-9.154237141523854,5.5715098727775185,-0.488000042894715,54.28521126760563,67,59.634027777777774,1.1235196161773784,-0.324299387944189,-0.9092215189974174,0.3880597014925373,0.4724866731927156,-56.71880790192778,-60.114762924098365,-0.3599005034710838,55.32835820895522,127,90.0,1.4111111111111112,-0.3622834063329635,-0.8386916477326576,0.4251968503937008,0.6154455933220981,-33.93718521180155,-35.976098819575824,-0.38661784351701267,61.85826771653543,4,30.0,0.13333333333333333,0.021806462173705743,0.3001252119939368,0.75,1.7380020253420785,56.38503178837835,158.38411347479524,-0.03056090896891117,33.25,True
tp220_sl300_h72__all__expanding__q90,tp220_sl300_h72,220.0,300.0,72,all,expanding,0.9,17868,2924,0,10,7,False,798,298.1701388888889,2.6763243394314857,-0.4952058742314662,-0.5669158246296225,0.5213032581453634,0.928590408342519,-6.550302249352124,19.31706904972154,-0.4952058742314662,52.241854636591476,80,59.634027777777774,1.34151595961478,-0.31550676930740684,-0.9017461658533849,0.4125,0.5428455230527115,-45.70092265555633,-48.95598469249509,-0.31550676930740684,58.075,153,90.0,1.7,-0.3069395174135249,-0.7739323089732029,0.45098039215686275,0.7304457855386793,-22.493069323228244,-27.99570976763704,-0.3789223986504314,62.58169934640523,2,30.0,0.06666666666666667,-0.009777977771286306,-0.11268110117936947,0.5,0.7014876099108142,-45.61404989803855,-45.61404989803855,-0.03056090896891117,40.0,True
