month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x
2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,78,31.0,2.5161290322580645,0.041838945107763204,0.620270653938827,0.5256410256410257,1.0850285097871286,7.543097433877926,-0.09687914911442641
2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,49,30.0,1.6333333333333333,-0.11143685361818845,-0.7624759390877593,0.42857142857142855,0.7443449148205687,-22.513815297351154,-0.13981552390132845
2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,75,31.0,2.4193548387096775,-0.0760226809756901,-0.6058245013548378,0.49333333333333335,0.9335648849765448,-7.217956922030201,-0.3238778242464361
2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,50,30.0,1.6666666666666667,0.011731596470706096,0.15246561869932362,0.46,1.0516282870484024,6.3683925173707525,-0.21771602134709755
2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,44,31.0,1.4193548387096775,-0.09962578817517909,-0.7093514630248668,0.38636363636363635,0.8405250386686705,-20.2595457659565,-0.15201774868522444
2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,50,31.0,1.6129032258064515,-0.3234557122307893,-0.9899567335621693,0.34,0.4028121886417723,-76.02169126903078,-0.33424829233729203
2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,43,28.0,1.5357142857142858,-0.10412589511732451,-0.7614906980888207,0.4418604651162791,0.7709032538236398,-23.32557438151611,-0.16630791010925794
2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,26,31.0,0.8387096774193549,0.20074966503616176,7.619633664532348,0.6923076923076923,2.2093175628380752,72.69314327203718,-0.03875593652114806
2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,20,30.0,0.6666666666666666,-0.0702658191264448,-0.5878720784495501,0.45,0.5497601633134277,-35.413119467736074,-0.07177263229420927
2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,19,31.0,0.6129032258064516,-0.1128406096833825,-0.7557911449576684,0.3684210526315789,0.4988467766643855,-60.86524334045726,-0.13733538063001638
2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,39,25.180555555555557,1.5488141202426915,-0.16955241647982,-0.9323285369226991,0.46153846153846156,0.6278228908589458,-45.26727404066448,-0.19372633736083056
