entry_ts,exit_ts,side,entry_price,exit_price,bars_held,exit_reason,net_return,net_pnl
2025-07-03T00:00:00+00:00,2025-07-22T00:00:00+00:00,long,108800.0,117330.2,19,ma7_slope_exit,0.07093765769813887,0.07093765769813887
2025-07-26T00:00:00+00:00,2025-08-05T00:00:00+00:00,short,117583.4,115002.1,10,max_hold,0.0213789181492281,0.022895488526854635
2025-08-19T00:00:00+00:00,2025-08-29T00:00:00+00:00,short,116183.6,112507.3,10,max_hold,0.030861402033023788,0.03375722448269691
2025-10-12T00:00:00+00:00,2025-10-22T00:00:00+00:00,short,110579.1,108253.8,10,max_hold,0.017693646496413473,0.019951185412061756
2025-11-12T00:00:00+00:00,2025-11-22T00:00:00+00:00,short,103005.8,85093.6,10,max_hold,0.17297786912949853,0.1984992931151437
2025-12-03T00:00:00+00:00,2025-12-15T00:00:00+00:00,long,91249.1,88118.8,12,ma7_slope_exit,-0.03818794306645301,-0.05140253131570227
2026-01-02T00:00:00+00:00,2026-01-13T00:00:00+00:00,long,88800.0,91252.5,11,ma7_slope_exit,0.023056845679517712,0.029850275907053136
2026-01-22T00:00:00+00:00,2026-02-01T00:00:00+00:00,short,89411.4,78706.7,10,max_hold,0.11844787532563217,0.1568828598317531
2026-03-11T00:00:00+00:00,2026-03-12T00:00:00+00:00,long,69901.8,70150.0,1,ma7_slope_exit,0.00096568002368147,0.001430530820449638
2026-03-23T00:00:00+00:00,2026-03-25T12:00:00+00:00,short,67830.7,71934.84999999999,2,protective_stop,-0.06320048774190135,-0.09371380864369727
2026-03-28T00:00:00+00:00,2026-04-07T00:00:00+00:00,short,66364.1,68817.9,10,max_hold,-0.03973138761498829,-0.05519040074548753
2026-04-14T00:00:00+00:00,2026-05-02T00:00:00+00:00,long,74384.9,78191.9,18,ma7_slope_exit,0.05026243286631371,0.06704494737094935
2026-05-16T00:00:00+00:00,2026-05-26T00:00:00+00:00,short,79074.0,77281.5,10,max_hold,0.02104399136402124,0.02948142655294128
2026-06-22T00:00:00+00:00,2026-07-02T00:00:00+00:00,short,63287.2,59999.6,10,max_hold,0.050228219474725666,0.07184765809858051
2026-07-11T00:00:00+00:00,2026-07-29T00:00:00+00:00,long,64129.5,63903.6,18,ma7_slope_exit,-0.009079497465522723,-0.013639873065197206
