variant,stress,start_ts,end_ts,days,equity_multiple,net_return_pct,max_drawdown_pct,sharpe,closed_trades,long_trades,short_trades,win_rate,profit_factor,turnover_multiple,cost_pct_initial,funding_pct_initial,max_intraday_leverage,bankrupt_intraday
combined,base,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.4886319340465386,48.863193404653856,-14.779038341472484,1.7423993414617296,15,6,9,0.7333333333333333,3.283896554547212,38.529072629129196,5.394070168078102,-0.2167646034843618,1.0937436704581642,False
combined,stress_8bps,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.4712250766507822,47.12250766507822,-14.980377996896843,1.6926331178069742,15,6,9,0.7333333333333333,3.171441307905261,38.28981650907336,6.892166971633262,-0.21490626972365717,1.093743670458158,False
combined,one_day_extra_delay,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.897847261187326,89.7847261187326,-12.241787556041938,2.73255032358147,14,6,8,0.8571428571428571,8.554406354747698,39.75876652173983,5.5662273130436475,-0.22565786448302555,1.0743485897128118,False
long_only,base,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.0785731282644382,7.857312826443819,-11.019036461282816,0.5710561461165856,7,7,0,0.5714285714285714,2.142236140880058,14.678510671528464,2.0549914940139913,0.9047486584717928,1.00384790976123,False
long_only,stress_8bps,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.0725462914768125,7.254629147681246,-11.232559027943633,0.5333023192707467,7,7,0,0.5714285714285714,2.0193176347418627,14.637236479854279,2.634702566373792,0.9031678268915189,1.0038479097612247,False
long_only,one_day_extra_delay,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.094717850015838,9.471785001583811,-13.976948729713733,0.6379373972683601,7,7,0,0.5714285714285714,1.844355130011922,14.694448297965556,2.0572227617151717,0.9253148959370844,1.004022928119836,False
short_only,base,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.356055066755147,35.6055066755147,-14.861255126638017,1.6608309513259498,9,0,9,0.7777777777777778,3.5222234264965686,20.95773179689317,2.9340824515650232,-1.0703455131154749,1.093743670458164,False
short_only,stress_8bps,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.3466510360034643,34.66510360034643,-14.994430618824051,1.6227757027169238,9,0,9,0.7777777777777778,3.428228952197224,20.880846018174015,3.7585522832713547,-1.0670631350108297,1.0937436704581578,False
short_only,one_day_extra_delay,2025-05-31T00:00:00+00:00,2026-08-12T00:00:00+00:00,438.0,1.6929764554770552,69.29764554770553,-8.43139698237987,2.887007252414894,8,0,8,1.0,inf,19.86331325840333,2.780863856176452,-1.1387567608753437,1.0743485897128122,False
