entry_ts,exit_ts,side,entry_price,exit_price,bars_held,exit_reason,net_return,net_pnl
2025-07-03T00:00:00+00:00,2025-08-03T00:00:00+00:00,long,2569.37,3392.42,31,ma7_hysteresis_exit,0.3075660485410461,0.3075660485410461
2025-10-12T00:00:00+00:00,2025-10-13T20:00:00+00:00,short,3744.99,4253.890714285714,1,protective_stop,-0.13870736346510237,-0.18136903914961056
2025-11-02T00:00:00+00:00,2025-11-12T00:00:00+00:00,short,3872.14,3416.33,10,max_hold,0.11627478876948794,0.1309483193798182
2026-01-22T00:00:00+00:00,2026-02-01T00:00:00+00:00,short,2980.67,2450.38,10,max_hold,0.17586831126174385,0.22109202598159006
2026-02-28T00:00:00+00:00,2026-03-04T16:00:00+00:00,short,1928.51,2116.7428571428572,4,protective_stop,-0.10092314259347701,-0.1491883593407255
2026-04-06T00:00:00+00:00,2026-04-25T00:00:00+00:00,long,2109.36,2313.87,19,ma7_slope_exit,0.09435576917227761,0.12540344022975325
2026-05-11T00:00:00+00:00,2026-05-13T00:00:00+00:00,long,2370.21,2273.61,2,ma7_slope_exit,-0.04364849086201794,-0.06348465384635404
2026-05-13T00:00:00+00:00,2026-05-23T00:00:00+00:00,short,2273.61,2064.99,10,max_hold,0.09016208797125991,0.1254125595074358
2026-07-11T00:00:00+00:00,2026-08-01T00:00:00+00:00,long,1796.03,1861.68,21,ma7_slope_exit,0.03170142294988154,0.0480714145525305
2026-08-01T00:00:00+00:00,2026-08-11T00:00:00+00:00,short,1861.68,1872.3,10,max_hold,-0.007404973970221551,-0.011584724529777324
