entry_ts,exit_ts,side,entry_price,exit_price,bars_held,exit_reason,net_return,net_pnl
2025-06-29T00:00:00+00:00,2025-07-22T00:00:00+00:00,long,37.799,44.324,23,ma7_slope_exit,0.15922163302020875,0.15922163302020875
2025-08-21T00:00:00+00:00,2025-08-26T19:00:00+00:00,short,42.999,47.88364285714286,5,protective_stop,-0.11219959505105226,-0.1300641977992869
2025-09-18T00:00:00+00:00,2025-09-23T00:00:00+00:00,long,57.767,47.278,5,ma7_hysteresis_exit,-0.18944731625503675,-0.19497111410652046
2025-09-23T00:00:00+00:00,2025-10-03T00:00:00+00:00,short,47.278,50.812,10,max_hold,-0.07185195082652307,-0.059937914524870184
2025-11-04T00:00:00+00:00,2025-11-14T00:00:00+00:00,short,40.186,38.529,10,max_hold,0.04145175826629277,0.03209395778801161
2025-12-02T00:00:00+00:00,2025-12-03T06:00:00+00:00,short,31.01,35.14142857142858,1,protective_stop,-0.1356068988559066,-0.10934558744937806
2026-01-12T00:00:00+00:00,2026-01-14T17:00:00+00:00,short,24.432,26.739214285714283,2,protective_stop,-0.09646877612151328,-0.06723842603089947
2026-01-19T00:00:00+00:00,2026-01-27T05:00:00+00:00,short,24.455,26.82971428571428,8,protective_stop,-0.09859539707767573,-0.062091274669698104
2026-02-03T00:00:00+00:00,2026-02-11T00:00:00+00:00,long,33.281,28.843,8,ma7_slope_exit,-0.13558847587866973,-0.07696911367219644
2026-03-10T00:00:00+00:00,2026-03-26T00:00:00+00:00,long,34.66,40.307,16,ma7_slope_exit,0.1591536953712005,0.07809639405180618
2026-04-29T00:00:00+00:00,2026-05-05T06:00:00+00:00,short,40.163,42.69971428571428,6,protective_stop,-0.06488279154904997,-0.03690496567401946
2026-05-29T00:00:00+00:00,2026-06-07T00:00:00+00:00,long,61.552,56.506,9,ma7_hysteresis_exit,-0.08701445010891062,-0.0462820628708121
2026-06-08T00:00:00+00:00,2026-06-16T06:00:00+00:00,short,59.714,70.98885714285714,8,protective_stop,-0.19119737414471705,-0.09284684599095261
2026-07-02T00:00:00+00:00,2026-07-03T12:00:00+00:00,short,62.371,69.22300000000001,1,protective_stop,-0.11256487409650096,-0.04421103421444733
