ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action
2025-05-31T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-01T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-02T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-03T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-04T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-05T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-06T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-07T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-08T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-09T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-10T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-11T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-12T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-13T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-14T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-15T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-16T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-17T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-18T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-19T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-20T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-21T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-22T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-23T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-24T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-25T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-26T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-27T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-28T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-29T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-30T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-01T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-02T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-03T00:00:00+00:00,1.0,0.9986019572598362,1.0064430317584807,1.0238664957764922,0.9928711521352603,1,enter_long
2025-07-04T00:00:00+00:00,1.0064469183219467,1.0064469183219467,0.9739591245265188,1.010920343088038,0.9608264265749548,1,hold
2025-07-05T00:00:00+00:00,0.9739630110899846,0.9739630110899846,0.9771134851915351,0.982403098068741,0.9658657705209739,1,hold
2025-07-06T00:00:00+00:00,0.9771134851915351,0.9771134851915351,0.997874560667549,1.012620182457497,0.971877337643574,1,hold
2025-07-07T00:00:00+00:00,0.997874560667549,0.997874560667549,0.9869111921810031,1.0057649115544973,0.9729195637034563,1,hold
2025-07-08T00:00:00+00:00,0.9869073056175373,0.9869073056175373,1.014960610200266,1.0203473871641215,0.9792430919478621,1,hold
2025-07-09T00:00:00+00:00,1.014960610200266,1.014960610200266,1.074525204231584,1.0854192416267407,1.0048741003576631,1,hold
2025-07-10T00:00:00+00:00,1.0745213176681183,1.0745213176681183,1.145445919597602,1.1686953422511255,1.0690594012371286,1,hold
2025-07-11T00:00:00+00:00,1.1454420330341362,1.1454420330341362,1.1475536472720291,1.180208553513237,1.1307598065355071,1,hold
2025-07-12T00:00:00+00:00,1.1475575338354953,1.1475575338354953,1.1414505567977884,1.1558813669469916,1.1262657533361844,1,hold
2025-07-13T00:00:00+00:00,1.1414544433612546,1.1414544433612546,1.1523453211627095,1.171447780598027,1.1366552644505272,1,hold
2025-07-14T00:00:00+00:00,1.1523453211627095,1.1523453211627095,1.1683792962643689,1.1958728462227481,1.148627780730232,1,hold
2025-07-15T00:00:00+00:00,1.1683792962643689,1.1683792962643689,1.2167956526569967,1.2194618351946627,1.1364875917593442,1,hold
2025-07-16T00:00:00+00:00,1.2167956526569967,1.2167956526569967,1.3069545359078327,1.3275222297698264,1.2016480987969633,1,hold
2025-07-17T00:00:00+00:00,1.3069506493443666,1.3069506493443666,1.3477930302146224,1.3661959082260624,1.2834121064005775,1,hold
2025-07-18T00:00:00+00:00,1.3477969167780883,1.3477969167780883,1.3744724045912988,1.4242476229001713,1.3401307298058536,1,hold
2025-07-19T00:00:00+00:00,1.3744724045912988,1.3744724045912988,1.3915278786752858,1.3980145531000152,1.3579829494003677,1,hold
2025-07-20T00:00:00+00:00,1.391531765238752,1.391531765238752,1.4549782006237848,1.4823124014800588,1.3859450603409555,1,hold
2025-07-21T00:00:00+00:00,1.4549820871872507,1.4549820871872507,1.4565930082794805,1.4942382620110133,1.4329743620966884,1,hold
2025-07-22T00:00:00+00:00,1.4565891217160145,1.4565891217160145,1.4503490446906697,1.4707807088313538,1.4000258209330931,1,hold
2025-07-23T00:00:00+00:00,1.4503529312541354,1.4503529312541354,1.4038555690597068,1.456942139441599,1.3646051646167223,1,hold
2025-07-24T00:00:00+00:00,1.403859455623173,1.403859455623173,1.4340212126301275,1.4598396537346674,1.355823555694505,1,hold
2025-07-25T00:00:00+00:00,1.4340289857570594,1.4340289857570594,1.44057905741639,1.449226661128207,1.3807104337863536,1,hold
2025-07-26T00:00:00+00:00,1.4405829439798556,1.4405829439798556,1.446296202379919,1.4677500327121573,1.4286356579904822,1,hold
2025-07-27T00:00:00+00:00,1.446296202379919,1.446296202379919,1.4969789964788838,1.4997229102858693,1.4413583867171695,1,hold
2025-07-28T00:00:00+00:00,1.4969828830423497,1.4969828830423497,1.4671974433203017,1.5234787688712335,1.4497195674137664,1,hold
2025-07-29T00:00:00+00:00,1.4671935567568357,1.4671935567568357,1.4651048399003306,1.5015918977189997,1.4342805050516019,1,hold
2025-07-30T00:00:00+00:00,1.4651048399003306,1.4651048399003306,1.4716240035892307,1.4809284365267994,1.4177290280064139,1,hold
