ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action
2025-05-31T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-01T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-02T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-03T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-04T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-05T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-06T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-07T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-08T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-09T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-10T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-11T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-12T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-13T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-14T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-15T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-16T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-17T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-18T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-19T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-20T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-21T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-22T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-23T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-24T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-25T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-26T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-27T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-28T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-29T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-06-30T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-01T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-02T00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0,hold
2025-07-03T00:00:00+00:00,1.0,0.9986019572598362,1.0053069486238568,1.0139235618359481,0.9955357018986838,1,enter_long
2025-07-04T00:00:00+00:00,1.0053060307911756,1.0053060307911756,0.9904114012872696,1.0069039367376391,0.9836616597489526,1,hold
2025-07-05T00:00:00+00:00,0.9904104834545884,0.9904104834545884,0.99233172827647,0.994302315043232,0.9880628884757204,1,hold
2025-07-06T00:00:00+00:00,0.99233172827647,0.99233172827647,1.0013942579939834,1.0063404583135358,0.9885225724713619,1,hold
2025-07-07T00:00:00+00:00,1.0013942579939834,1.0013942579939834,0.9926487156155098,1.0060802790737273,0.9857842449920298,1,hold
2025-07-08T00:00:00+00:00,0.9926487156155098,0.9926487156155098,0.9986990129276003,1.0015158414265253,0.9851784196992963,1,hold
2025-07-09T00:00:00+00:00,0.9986999307602815,0.9986999307602815,1.0199478063701355,1.0276291480799773,0.993088350784426,1,hold
2025-07-10T00:00:00+00:00,1.0199468885374543,1.0199468885374543,1.0636052435148795,1.077563642932166,1.012693064682891,1,hold
2025-07-11T00:00:00+00:00,1.0636052435148795,1.0636052435148795,1.0772420231630782,1.0899338134801637,1.0560097997464495,1,hold
2025-07-12T00:00:00+00:00,1.0772420231630782,1.0772420231630782,1.0759026618718268,1.083131512069785,1.0710666014740309,1,hold
2025-07-13T00:00:00+00:00,1.0759035797045082,1.0759035797045082,1.0907128559089985,1.0963731300546065,1.0735126714613428,1,hold
2025-07-14T00:00:00+00:00,1.0907128559089985,1.0907128559089985,1.0975448060360542,1.129517507489314,1.088789600089086,1,hold
2025-07-15T00:00:00+00:00,1.0975448060360542,1.0975448060360542,1.07814826018921,1.0981652731357907,1.059237235623602,1,hold
2025-07-16T00:00:00+00:00,1.0781491780218915,1.0781491780218915,1.085644222000762,1.0994970706596985,1.0712012069277466,1,hold
2025-07-17T00:00:00+00:00,1.085644222000762,1.085644222000762,1.0906952759847435,1.106985888245226,1.0745065431518859,1,hold
2025-07-18T00:00:00+00:00,1.090694358152062,1.090694358152062,1.0786181002990853,1.105691410899539,1.0684531033536324,1,hold
2025-07-19T00:00:00+00:00,1.0786190181317667,1.0786190181317667,1.0775405124147706,1.0834293268980235,1.0723226336215517,1,hold
2025-07-20T00:00:00+00:00,1.0775395945820894,1.0775395945820894,1.071722859334965,1.0867808223044548,1.063958912683806,1,hold
2025-07-21T00:00:00+00:00,1.0717237771676462,1.0717237771676462,1.0724453105870355,1.0943851830009503,1.0644041784661225,1,hold
2025-07-22T00:00:00+00:00,1.0724453105870355,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,0,ma7_slope_exit
2025-07-23T00:00:00+00:00,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,0,hold
2025-07-24T00:00:00+00:00,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,0,hold
2025-07-25T00:00:00+00:00,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,1.0709376576981389,0,hold
2025-07-26T00:00:00+00:00,1.0709376576981389,1.069440441080626,1.0669801829928935,1.074028935978753,1.063243889152131,-1,enter_short
2025-07-27T00:00:00+00:00,1.0669792734763792,1.0669792734763792,1.053348853075793,1.0681066680368965,1.050232849497786,-1,hold
2025-07-28T00:00:00+00:00,1.0533479435592785,1.0533479435592785,1.0662425680102456,1.0721853489147106,1.0501386686079714,-1,hold
2025-07-29T00:00:00+00:00,1.0662416584937313,1.0662416584937313,1.0678781000792845,1.0767367909286096,1.0554932137040012,-1,hold
2025-07-30T00:00:00+00:00,1.0678771905627702,1.0678771905627702,1.0693459962491192,1.088182083260364,1.0603190448446478,-1,hold
