name,slice,slice_start,slice_end,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
HYPE_1M_MA_PBS_C00001,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,6081,65.25845108209623,9.692078353685434e-08,3.227839649989364e-28,-0.9999999030792165,-0.9999999037442806,0.14833086663377734,0.1183968286523393,-0.0026476446820751487,0.002397149353512184,0.0035262707141469336,0.6797973121845513,-0.007506251500000147,0.006507752000000288,0.024502548922874526,0.10853478046373952,0.8669626706133859,3117,2964,5.638052951817135
HYPE_1M_MA_PBS_C00001,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,3160,56.519406188517266,0.00024444354946214164,2.5387422812664177e-24,-0.9997555564505378,-0.9997555564505378,0.09556962025316455,0.06181142084413308,-0.002625694107692061,0.0018101011909029082,0.003094417053869696,0.5849570886507693,-0.007506251500000147,0.006507752000000177,0.008544303797468355,0.046202531645569624,0.9452531645569621,1614,1546,5.861708860759494
HYPE_1M_MA_PBS_C00001,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,1530,82.09622607762475,0.014544026623953116,9.804952336159412e-37,-0.9854559733760468,-0.985469234381914,0.21176470588235294,0.1753919876968367,-0.0027541128462036323,0.0027662431478920418,0.004237193561035306,0.6528479542048923,-0.007506251500000147,0.006507752000000177,0.048366013071895426,0.2065359477124183,0.7450980392156863,787,743,5.26797385620915
HYPE_1M_MA_PBS_C00001,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,1391,74.6378107673046,0.027261746447967115,2.1840291244555963e-31,-0.9727382535520329,-0.9729253218994663,0.19841840402588065,0.16694655319789845,-0.002580403505895406,0.0026062151351387308,0.0038642660573980263,0.6744398797668724,-0.007506251500000147,0.006507752000000288,0.03450754852624011,0.14234363767074049,0.8231488138030194,716,675,5.537023723939612
HYPE_1M_MA_PBS_C00001,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,2348,78.26666666666667,0.0015684031728232515,7.15645007562915e-35,-0.9984315968271767,-0.9984423591086838,0.19804088586030663,0.16337811973698882,-0.0027399826501482713,0.002701827561166981,0.0040838178855500725,0.6615935472360214,-0.007506251500000147,0.006507752000000288,0.04003407155025554,0.18228279386712096,0.7776831345826235,1192,1156,5.397359454855196
HYPE_1M_MA_PBS_C00001,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,1012,72.28571428571429,0.07559297127497852,5.5002348344634415e-30,-0.9244070287250215,-0.9249257428228503,0.191699604743083,0.164717880861081,-0.0025428172448721765,0.0026157816714991646,0.003766250239708412,0.6945320955895065,-0.007506251500000147,0.006507752000000288,0.03458498023715415,0.13339920948616601,0.8320158102766798,522,490,5.545454545454546
HYPE_1M_MA_PBS_C00002,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,4765,51.135753890180645,3.018407601813433e-06,2.3037085759154175e-22,-0.9999969815923981,-0.9999970023045166,0.15823714585519413,0.13337354053422287,-0.0026588744799045487,0.0025859917216379067,0.0036448204075941555,0.7094977070063235,-0.007506251500000147,0.006507752000000288,0.030640083945435468,0.1267576075550892,0.8426023084994754,2444,2321,5.570409233997902
HYPE_1M_MA_PBS_C00002,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,2236,39.992845644786264,0.0027297983358623547,1.7811517648934774e-17,-0.9972702016641376,-0.9972732582378067,0.1050983899821109,0.07363273601189145,-0.0026336566438667905,0.0019918233983308065,0.0031768789376781024,0.6269749138714672,-0.007506251500000147,0.006507752000000177,0.011180679785330949,0.05992844364937388,0.9288908765652951,1146,1090,5.812611806797853
HYPE_1M_MA_PBS_C00002,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,1343,72.0622428903595,0.02543190910542172,5.596035923431056e-32,-0.9745680908945783,-0.9746173809504409,0.21742367833209233,0.18879052069684565,-0.0027227725997232524,0.002914417057418621,0.00428895659580834,0.6795165659328246,-0.007506251500000147,0.006507752000000177,0.05361131794489948,0.2137006701414743,0.7326880119136262,687,656,5.2345495160089355
HYPE_1M_MA_PBS_C00002,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,1186,63.63798962618494,0.043477879901060744,2.0518916529766456e-27,-0.9565221200989392,-0.9568204625091926,0.19139966273187184,0.16798723313405908,-0.002634061584848822,0.0027786320649383473,0.003915272699032021,0.7096905576015977,-0.007506251500000147,0.006507752000000288,0.04131534569983136,0.1543001686340641,0.8043844856661045,611,575,5.494097807757167
HYPE_1M_MA_PBS_C00002,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,2027,67.56666666666666,0.0036838951527401994,2.3431004410439047e-30,-0.9963161048472599,-0.9963413834984151,0.1973359644795264,0.16830548138633128,-0.0027539762169825027,0.002824153928315458,0.00412536654157942,0.6845825455389025,-0.007506251500000147,0.006507752000000288,0.046373951652688705,0.19042920572274297,0.7631968426245683,1023,1004,5.358164775530341
HYPE_1M_MA_PBS_C00002,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,873,62.357142857142854,0.09867762001843818,5.752854883464749e-27,-0.9013223799815618,-0.9019994994515397,0.18556701030927836,0.16029708388346592,-0.0026433459966825512,0.0027192754552817044,0.003865209112319977,0.7035260903774336,-0.007506251500000147,0.006507752000000288,0.04009163802978236,0.14891179839633448,0.8109965635738832,455,418,5.491408934707904
HYPE_1M_MA_PBS_C00003,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,3000,32.19459846181363,0.00026252591653286707,9.209934783177085e-15,-0.9997374740834671,-0.9997374740834671,0.17866666666666667,0.14849688853658585,-0.002738601517289775,0.0026731074984384,0.003915823933048826,0.6826424129741558,-0.007506251500000147,0.006507752000000288,0.03866666666666667,0.16666666666666666,0.7946666666666666,1563,1437,5.4286666666666665
HYPE_1M_MA_PBS_C00003,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,1083,19.3704167411912,0.05644789564145246,6.994211163674291e-09,-0.9435521043585475,-0.9436153094492763,0.13388734995383195,0.10176293930041402,-0.0026465041959334804,0.00223940020702313,0.003401787925601613,0.6583009452675059,-0.007506251500000147,0.006507752000000177,0.017543859649122806,0.09418282548476455,0.8882733148661126,575,508,5.713758079409049
HYPE_1M_MA_PBS_C00003,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,1029,55.21373636201037,0.05218368337443848,7.339278822615998e-26,-0.9478163166255615,-0.947917454792499,0.21477162293488825,0.18075523783355893,-0.0028578567571720575,0.0029358967330197563,0.004442534382583433,0.660860779047582,-0.007506251500000147,0.006507752000000177,0.05539358600583091,0.24975704567541301,0.6948493683187561,520,509,5.1030126336248784
HYPE_1M_MA_PBS_C00003,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,888,47.64800572348417,0.08912297941975598,2.638840660918715e-21,-0.910877020580244,-0.9112025179531129,0.19144144144144143,0.16011720488321504,-0.0027127318744857207,0.0027014083008662496,0.003994631358900533,0.6762597241538141,-0.007506251500000147,0.006507752000000288,0.04504504504504504,0.15878378378378377,0.7961711711711712,468,420,5.458333333333333
HYPE_1M_MA_PBS_C00003,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,1527,50.9,0.01237818096579904,5.9992488503536626e-24,-0.987621819034201,-0.987621819034201,0.19384413883431564,0.157125539995626,-0.0028651749375680543,0.0027553854350974172,0.004216666302563163,0.6534511477520798,-0.007506251500000147,0.006507752000000288,0.04649639816633923,0.20497707924034053,0.7485265225933202,767,760,5.3018991486574985
