name,month,month_start,month_end,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
HYPE_1M_MA_PBS_R03037,2026_03,2026-03-25 00:00:00+00:00,2026-04-01 00:00:00+00:00,1,0.14285714285714285,1.0035089705296052,1.2005413557084472,0.003508970529605193,-0.005791187392253372,1.0,inf,0.0035089705296051784,0.0035089705296051784,0.0,inf,0.0035089705296051784,0.0035089705296051784,0.0,0.0,1.0,1,0,31.0
HYPE_1M_MA_PBS_R03037,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,5,0.16666666666666666,0.989958018915921,0.8843705477698015,-0.010041981084079055,-0.022503309038606645,0.4,0.5513583024649855,-0.0019855333643721313,0.006100304047097462,0.007376091638685193,0.8270374536974783,-0.014486753250000046,0.008605620998880495,0.0,0.2,0.8,5,0,25.2
HYPE_1M_MA_PBS_R03037,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,33,1.064516129032258,0.9604342637134855,0.6214830257397,-0.0395657362865145,-0.06904502017700231,0.48484848484848486,0.7451518191612535,-0.0011787952806480602,0.007108788181700313,0.008978873833446529,0.7917238078588319,-0.014486753250000046,0.01818171563112094,0.0,0.15151515151515152,0.8484848484848485,33,0,29.303030303030305
HYPE_1M_MA_PBS_R03037,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:24:00+00:00,33,1.3103904698874917,0.9661776357085526,0.6071162063919441,-0.03382236429144736,-0.05653225703232523,0.42424242424242425,0.7990602552351362,-0.0009859705601145447,0.009241948310448467,0.008522331833160974,1.0844389178191134,-0.014486753250000046,0.024474256500000038,0.030303030303030304,0.18181818181818182,0.7878787878787878,33,0,28.818181818181817
HYPE_1M_MA_PBS_C01859,2026_03,2026-03-25 00:00:00+00:00,2026-04-01 00:00:00+00:00,11,1.5714285714285714,0.9927239196530484,0.6831482290133976,-0.007276080346951597,-0.01776154295693766,0.5454545454545454,0.6784802964565836,-0.0006552017374165052,0.002534814147501173,0.004483220799317719,0.565400247047153,-0.008707453773349276,0.004134597834814741,0.0,0.0,1.0,11,0,31.0
HYPE_1M_MA_PBS_C01859,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,51,1.7,0.8688297147412456,0.1805217585475877,-0.1311702852587544,-0.14698562615715327,0.19607843137254902,0.1838735360233275,-0.002745541758845693,0.003154714028139609,0.004184628536159181,0.7538814976956428,-0.01166683536517382,0.008168081242160726,0.0,0.0,1.0,51,0,31.0
HYPE_1M_MA_PBS_C01859,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,34,1.096774193548387,0.9861437580247604,0.8484030623598667,-0.013856241975239603,-0.07042291773366616,0.4411764705882353,0.89052704251965,-0.00037471696278458576,0.006909255810902662,0.006125221784116625,1.12800092052489,-0.010529768007882856,0.028470257500000207,0.029411764705882353,0.0,0.9705882352941176,34,0,30.41176470588235
HYPE_1M_MA_PBS_C01859,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:24:00+00:00,40,1.588352084712111,0.9730767044338419,0.673115284426546,-0.026923295566158134,-0.06470474546251981,0.275,0.8408320683845978,-0.0006385225253636179,0.01226583795692388,0.005533279949679566,2.216739089377576,-0.019481754499999924,0.020294419933993058,0.0,0.025,0.975,40,0,30.975
HYPE_1M_MA_PBS_R02736,2026_03,2026-03-25 00:00:00+00:00,2026-04-01 00:00:00+00:00,1,0.14285714285714285,0.9885102474999999,0.5471733346468703,-0.011489752500000061,-0.01258716798522519,0.0,0.0,-0.011489752500000032,0.0,0.011489752500000032,0.0,-0.011489752500000032,-0.011489752500000032,0.0,1.0,0.0,1,0,23.0
HYPE_1M_MA_PBS_R02736,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,7,0.23333333333333334,1.0081728852591136,1.104177218607388,0.008172885259113638,-0.018116063024044338,0.7142857142857143,1.5812560163808496,0.001180034233384155,0.004494251500000041,0.00710550893315556,0.6325024065523399,-0.01148975249999992,0.004494251500000085,0.7142857142857143,0.14285714285714285,0.14285714285714285,7,0,12.571428571428571
