label,side,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
V6.1_long_only,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
V6.1_long_only,short,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
combo_top1,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top1,short,55.0,1.109374228829719,-0.23598313116698888,0.015624596918970153,0.6909090909090909,1.783206467081588,0.7977502615891314,-0.1508923353155926,0.18601580928759737
combo_top2,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top2,short,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928
combo_top3,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top3,short,51.0,0.9723102174432061,-0.3498146892321894,0.016060850952178185,0.7254901960784313,1.7422757385382004,0.6592394686360759,-0.20308216194978346,0.13123825224952268
combo_top4,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top4,short,51.0,0.9723102174432061,-0.3498146892321894,0.016060850952178185,0.7254901960784313,1.7422757385382004,0.6592394686360759,-0.20308216194978346,0.13123825224952268
combo_top5,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top5,short,57.0,1.0287779105413635,-0.24956037659876162,0.014780619878350975,0.6842105263157895,1.7167750329477898,0.7923577075143645,-0.1841250380859963,0.18180493209611434
combo_top6,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top6,short,57.0,1.0287779105413635,-0.24956037659876162,0.014780619878350975,0.6842105263157895,1.7167750329477898,0.7923577075143645,-0.1841250380859963,0.18180493209611434
combo_top7,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top7,short,56.0,0.9538685121470576,-0.28629040450141763,0.01383494797187755,0.6964285714285714,1.7148313952288448,0.7474906081766759,-0.1508923353155926,0.10977440343228903
combo_top8,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top8,short,55.0,0.9402610856143605,-0.24076051166326784,0.01400613911803266,0.6909090909090909,1.6788188605806507,0.7510505428913437,-0.1508923353155926,0.13271610280268534
combo_top9,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top9,short,54.0,0.721241630920874,-0.13378895576779437,0.011171148030082064,0.6666666666666666,1.676515611877137,0.8382578059385686,-0.07845728412805354,0.08337030782289119
combo_top10,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top10,short,55.0,0.6469746729459074,-0.12900778972892457,0.010085873015266597,0.6,1.6760765612840534,1.117384374189369,-0.07845728412805354,0.1015764870102532
combo_top11,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top11,short,53.0,0.6899521361093437,-0.13378895576779415,0.011067325377504275,0.6792452830188679,1.6566083601600805,0.7822872811867048,-0.07845728412805354,0.11895218031020598
combo_top12,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_top12,short,55.0,0.7024574716562244,-0.13378895576779415,0.010860208326428965,0.6545454545454545,1.641416199451568,0.8663029941549941,-0.07845728412805354,0.10005170266910618
combo_strict_sample13,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_strict_sample13,short,103.0,0.7503593571982188,-0.4882522910736371,0.009653262419260858,0.5339805825242718,1.3086572476332607,1.1421008706617548,-0.2851043889551149,0.3616930708769449
combo_strict_sample14,long,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061
combo_strict_sample14,short,145.0,0.5903652107066117,-0.3263826856720654,0.005063094188816293,0.6413793103448275,1.2092149175918447,0.6761201689760852,-0.13642510692638316,0.1436598446786483
