label,trade_no,signal_ts,entry_ts,exit_ts,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1.5_trail2_max72,95,2026-05-21 00:05:00+00:00,2026-05-21 00:10:00+00:00,2026-05-21 00:45:00+00:00,trail_gap_open,8,55.11006972300001,55.95876921600001,0.014564371750597455,0.04369311525179237,-0.0023574954161248588,0.028596049413856628,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,96,2026-05-21 01:30:00+00:00,2026-05-21 01:35:00+00:00,2026-05-21 07:35:00+00:00,time_open_untriggered,73,56.52558694500001,57.48317155200001,0.016104380952913406,0.04831314285874022,-0.020645976133192093,0.021006647063308792,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,97,2026-05-21 08:15:00+00:00,2026-05-21 08:20:00+00:00,2026-05-21 09:35:00+00:00,trail_gap_open,16,58.34153336700001,58.809521616,0.007188879255725055,0.021566637767175167,-0.005137426570871143,0.015571524788099644,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,98,2026-05-21 10:20:00+00:00,2026-05-21 10:25:00+00:00,2026-05-21 14:05:00+00:00,trail_stop,45,58.273460403,59.36381076685715,0.01787384396913793,0.05362153190741379,-0.027947956775133523,0.033866868096585456,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,99,2026-05-21 14:55:00+00:00,2026-05-21 15:00:00+00:00,2026-05-21 21:00:00+00:00,time_open_untriggered,73,60.98036179500001,57.90528296,-0.05123577526159672,-0.15370732578479016,-0.07737979659128626,0.027396331471699842,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,100,2026-05-24 01:40:00+00:00,2026-05-24 01:45:00+00:00,2026-05-24 07:15:00+00:00,trail_stop,67,60.877251276,61.51234339147973,0.009598690372320367,0.0287960711169611,-0.023235193560304693,0.021399598317829893,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,101,2026-05-24 08:40:00+00:00,2026-05-24 08:45:00+00:00,2026-05-24 10:00:00+00:00,trail_stop,16,62.636136537000006,63.65451464228571,0.01542257092668212,0.04626771278004636,-0.0018856418357703502,0.029421729450241463,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,102,2026-05-24 10:05:00+00:00,2026-05-24 10:10:00+00:00,2026-05-24 16:10:00+00:00,time_open_untriggered,73,63.379933776,63.799838712,0.005793133298620698,0.017379399895862097,-0.028829550199297463,0.01609446654843727,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,103,2026-05-28 21:45:00+00:00,2026-05-28 21:50:00+00:00,2026-05-29 03:50:00+00:00,time_open_untriggered,73,61.90435217400001,61.51523573600001,-0.007112484835864725,-0.021337454507594174,-0.025248976185529362,0.011237462336164628,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,104,2026-05-29 04:00:00+00:00,2026-05-29 04:05:00+00:00,2026-05-29 07:30:00+00:00,trail_stop,42,61.61604315,62.21414191996304,0.008873519868255802,0.026620559604767405,-0.013626206687439761,0.0172188409992049,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,105,2026-05-29 17:15:00+00:00,2026-05-29 17:20:00+00:00,2026-05-29 23:20:00+00:00,time_open_untriggered,73,67.22805838800001,64.152931904,-0.04655206728710819,-0.13965620186132455,-0.05049878494520667,0.003940938030232877,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,106,2026-06-01 07:00:00+00:00,2026-06-01 07:05:00+00:00,2026-06-01 13:05:00+00:00,time_open_untriggered,73,73.70199747900001,73.750464984,-0.00017198077137181589,-0.0005159423141154477,-0.031282175853461616,0.01398880025325977,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,107,2026-06-08 11:50:00+00:00,2026-06-08 11:55:00+00:00,2026-06-08 13:05:00+00:00,trail_stop,15,62.16062686200001,62.67624045092015,0.007462096077364154,0.02238628823209246,-0.01488727697477145,0.013615904161954129,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,108,2026-06-08 14:25:00+00:00,2026-06-08 14:30:00+00:00,2026-06-08 20:30:00+00:00,time_open_untriggered,73,64.71536515800001,63.485755816,-0.019821712876812798,-0.0594651386304384,-0.023490559196247998,0.016744629955410817,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,109,2026-06-11 18:50:00+00:00,2026-06-11 18:55:00+00:00,2026-06-12 00:55:00+00:00,time_open_triggered,73,58.48969217100001,59.342662328,0.013747886312479286,0.04124365893743786,-0.008786942867237373,0.02154752029324003,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,110,2026-06-15 06:40:00+00:00,2026-06-15 06:45:00+00:00,2026-06-15 07:25:00+00:00,trail_stop,9,64.843502502,65.38011293714285,0.007442715483202534,0.0223281464496076,-0.0017024156544663976,0.015213513458338657,2.5,1.5,2.0,72.0
