label,family,parameter,value,config_json,long_raw_signal_count,long_filtered_signal_count,short_raw_signal_count,short_filtered_signal_count,reason_counts,long_signal_count,short_signal_count,same_bar_signal_count,accepted_long,accepted_short,blocked_long,blocked_short,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,is_trades,is_total_return,is_max_dd,is_avg_trade,is_win_rate,is_profit_factor,is_payoff_ratio,is_worst_trade,is_best_trade,val_trades,val_total_return,val_max_dd,val_avg_trade,val_win_rate,val_profit_factor,val_payoff_ratio,val_worst_trade,val_best_trade,oos_trades,oos_total_return,oos_max_dd,oos_avg_trade,oos_win_rate,oos_profit_factor,oos_payoff_ratio,oos_worst_trade,oos_best_trade,long_trades,long_total_return,long_max_dd,long_avg_trade,long_win_rate,long_profit_factor,long_payoff_ratio,long_worst_trade,long_best_trade,short_trades,short_total_return,short_max_dd,short_avg_trade,short_win_rate,short_profit_factor,short_payoff_ratio,short_worst_trade,short_best_trade,short_oos_trades,short_oos_profit_factor,robust_pass,delta_total_return
leverage_4p0,sizing,leverage,4.0,"{""leverage"": 4.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 19, ""target"": 122, ""time_open"": 69}",331,73,0,157,53,174,20,210.0,16.544653278873785,-0.2973195974863647,0.015808690575457966,0.6476190476190476,1.770656091503137,0.9634452262590599,-0.19747749129827671,0.2863015671728657,144.0,6.928438807178865,-0.2973195974863647,0.01680294206108858,0.6458333333333334,1.7875904138444294,0.9802915172695258,-0.19747749129827671,0.2863015671728657,51.0,0.9734285530845295,-0.27492007436798405,0.014961058789540195,0.6666666666666666,1.8264934079436583,0.9132467039718292,-0.14939260759440934,0.08478664109610544,15.0,0.12133584145268328,-0.14625513838560322,0.009145824385524503,0.6,1.4391246461118756,0.9594164307412505,-0.07676665458873036,0.10573165763842118,157.0,7.068625279846648,-0.338329348637044,0.015350543741464629,0.6369426751592356,1.7732692611737466,1.0107634788690358,-0.19747749129827671,0.12306991883582748,53.0,1.1744290595196971,-0.17723424002778554,0.017165842517664648,0.6792452830188679,1.7638184015896141,0.8329142451950955,-0.10460971217073806,0.2863015671728657,5.0,1.7906713535002217,True,8.207531415068624
long_htf_threshold_0p0,long_filter,long_htf_threshold,0.0,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.0, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",3233,345,4366,73,"{""stop_market"": 19, ""target"": 128, ""time_open"": 72}",345,73,0,166,53,179,20,219.0,10.22254316541104,-0.22346032962369344,0.012230331996211484,0.6438356164383562,1.8041964942462387,0.9980661457532384,-0.12411333068229081,0.21472617537964928,153.0,5.06319085379287,-0.22346032962369344,0.013093409700217332,0.6405228758169934,1.833358141538001,1.0289254875978575,-0.12411333068229081,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,166.0,5.117162492941282,-0.21999051986986617,0.012024701608994852,0.6325301204819277,1.8189963509577058,1.056750261032572,-0.12411333068229081,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,1.885421301605879
long_tp_atr_4p0,long_exit,long_tp_atr,4.0,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 4.0, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 19, ""target"": 88, ""time_open"": 76}",331,73,0,130,53,201,20,183.0,9.829169280916119,-0.24467642365971065,0.01470311747056656,0.5956284153005464,1.8564083358889854,1.2603139161081185,-0.14810811847370753,0.21472617537964928,127.0,3.8681051837371587,-0.24467642365971065,0.014267226133256549,0.5905511811023622,1.800574611575959,1.2483983973593318,-0.14810811847370753,0.21472617537964928,42.0,0.9260105513101149,-0.16476316313230732,0.017111862996405516,0.6190476190476191,2.11563908579996,1.3019317451076675,-0.11204445569580701,0.10276174708156571,14.0,0.1549854874584904,-0.10010866235826898,0.01143103802436193,0.5714285714285714,1.6830085455651265,1.2622564091738449,-0.05757499094154777,0.07929874322881589,130.0,4.902743003840853,-0.2431855989682593,0.015448678900280845,0.5615384615384615,1.893194743223499,1.4782479501882115,-0.14810811847370753,0.14870168036923256,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,1.4920474171109586
long_htf_threshold_0p25,long_filter,long_htf_threshold,0.25,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.25, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",2408,341,4366,73,"{""stop_market"": 20, ""target"": 126, ""time_open"": 71}",341,73,0,164,53,177,20,217.0,9.334999268544415,-0.22485921749826532,0.011963300920268066,0.6451612903225806,1.7774506928463942,0.977597881065517,-0.12411333068229081,0.21472617537964928,151.0,4.583678504541478,-0.22485921749826532,0.012721094547424552,0.6423841059602649,1.7962346694903364,0.9999656922935892,-0.12411333068229081,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,164.0,4.633381752985222,-0.22435218363861265,0.011668866217201226,0.6341463414634146,1.7824298276645345,1.0283249005756931,-0.12411333068229081,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.9978774047392545
long_htf_threshold_None,long_filter,long_htf_threshold,,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",5165,346,4366,73,"{""stop_market"": 19, ""target"": 128, ""time_open"": 73}",346,73,0,167,53,179,20,220.0,8.959079868391152,-0.2410389448874488,0.011668765222016451,0.6454545454545455,1.745361949592171,0.9587199441421783,-0.12411333068229081,0.21472617537964928,154.0,4.380580950343823,-0.2410389448874488,0.012285567050691927,0.6428571428571429,1.751550337693898,0.9730835209410544,-0.12411333068229081,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,167.0,4.42847632102626,-0.21999051986986629,0.011286144363870956,0.6347305389221557,1.7388982240446045,1.0006867138369893,-0.12411333068229081,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.6219580045859914
long_ema_pair_21_96,long_entry,long_ema_pair,21/96,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 96, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1811,343,4366,73,"{""stop_market"": 19, ""target"": 124, ""time_open"": 69}",343,73,0,159,53,184,20,212.0,8.399950847969968,-0.22379719205419224,0.011808864267106922,0.6509433962264151,1.7581988547630814,0.942802284438174,-0.14810811847370753,0.21472617537964928,146.0,4.325164411338023,-0.22379719205419224,0.012818896557336453,0.6506849315068494,1.8068939662223775,0.9700167608141185,-0.14810811847370753,0.21472617537964928,51.0,0.7511531343200166,-0.15458004255065028,0.011978651342533005,0.6862745098039216,1.866949319513964,0.8534625460635265,-0.11204445569580701,0.06358998082207908,15.0,0.008018345117068781,-0.14925618813407404,0.0014006072524241344,0.5333333333333333,1.0756408147973338,0.941185712947667,-0.05757499094154777,0.07929874322881589,159.0,4.12370733755939,-0.26478042384037337,0.0114536917267264,0.6415094339622641,1.756114563427969,0.981358138386218,-0.14810811847370753,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.06282898416480798
long_sl_atr_10p0,long_exit,long_sl_atr,10.0,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 10.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 17, ""target"": 122, ""time_open"": 71}",331,73,0,157,53,174,20,210.0,8.375881914624216,-0.22379719205419213,0.011876820537344766,0.6476190476190476,1.7729958064139117,0.9647183064310991,-0.14810811847370753,0.21472617537964928,144.0,4.065497243637411,-0.22379719205419213,0.012631814512537068,0.6458333333333334,1.7909042786459963,0.9821087979671593,-0.14810811847370753,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,157.0,4.110587889129766,-0.24412992724155846,0.011540064157740325,0.6369426751592356,1.7765095572246907,1.0126104476180737,-0.14810811847370753,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.038760050819055536
baseline_v6_2,baseline,baseline,V6.2,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 19, ""target"": 122, ""time_open"": 69}",331,73,0,157,53,174,20,210.0,8.33712186380516,-0.22379719205419224,0.011856517931593476,0.6476190476190476,1.770656091503137,0.9634452262590599,-0.14810811847370753,0.21472617537964928,144.0,4.044556394299187,-0.22379719205419224,0.012602206545816437,0.6458333333333334,1.7875904138444287,0.9802915172695255,-0.14810811847370753,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.0
priority_short_first,combo,priority,short_first,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 7.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""short_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 19, ""target"": 122, ""time_open"": 69}",331,73,0,157,53,174,20,210.0,8.33712186380516,-0.22379719205419224,0.011856517931593476,0.6476190476190476,1.770656091503137,0.9634452262590599,-0.14810811847370753,0.21472617537964928,144.0,4.044556394299187,-0.22379719205419224,0.012602206545816437,0.6458333333333334,1.7875904138444287,0.9802915172695255,-0.14810811847370753,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,0.0
long_sl_atr_8p0,long_exit,long_sl_atr,8.0,"{""leverage"": 3.0, ""long"": {""ema_fast"": 21, ""ema_slow"": 55, ""enabled"": true, ""htf_threshold"": 0.5, ""pullback_buffer"": 0.01, ""quality_threshold"": 788.123, ""quality_window"": 192, ""require_candle"": false, ""side"": ""long"", ""sl_atr"": 8.0, ""time_exit_bars"": 36, ""tp_atr"": 2.5, ""trail_atr"": 0.0}, ""name"": ""HYPE-5M-PBTR-V6.2"", ""priority"": ""long_first"", ""short"": {""ema_fast"": 34, ""ema_slow"": 144, ""enabled"": true, ""htf_threshold"": null, ""pullback_buffer"": 0.0, ""quality_threshold"": 400.0, ""quality_window"": 48, ""require_candle"": false, ""side"": ""short"", ""sl_atr"": 2.0, ""time_exit_bars"": 48, ""tp_atr"": 1.5, ""trail_atr"": 0.0}}",1705,331,4366,73,"{""stop_market"": 18, ""target"": 122, ""time_open"": 70}",331,73,0,157,53,174,20,210.0,8.300417466132947,-0.22379719205419213,0.011843653275025097,0.6476190476190476,1.7691767349166765,0.9626402822340739,-0.14810811847370753,0.21472617537964928,144.0,4.024726150389226,-0.22379719205419213,0.012583445588320884,0.6458333333333334,1.7854969380802639,0.9791434821730479,-0.14810811847370753,0.21472617537964928,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589,157.0,4.069453871014862,-0.24412992724155846,0.011495700303682169,0.6369426751592356,1.7712221727655464,1.0095966384763615,-0.14810811847370753,0.09230243912687061,53.0,0.8345994860134842,-0.13378895576779393,0.01287438188824849,0.6792452830188679,1.763818401589614,0.8329142451950955,-0.07845728412805354,0.21472617537964928,5.0,1.7906713535002219,True,-0.03670439767221367
