label,slice,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
V6.1_long_only,IS,99.0,1.975158005991564,-0.2562982919069061,0.012314991367268598,0.6262626262626263,1.7941931058882856,1.0707281438365577,-0.14810811847370753,0.09230243912687061
V6.1_long_only,VAL,48.0,0.668615238658661,-0.21228621539536707,0.011615861501219737,0.6666666666666666,1.8457106059869417,0.9228553029934708,-0.11204445569580701,0.06358998082207908
V6.1_long_only,OOS,10.0,0.025192732174394994,-0.05757499094154772,0.003078102813932115,0.6,1.2150896453044202,0.8100597635362802,-0.05757499094154777,0.03844134457153187
combo_top1,IS,147.0,4.442880281235202,-0.28688967274983657,0.01306745928529102,0.6462585034013606,1.7700547351739884,0.9688720655689199,-0.1508923353155926,0.18601580928759737
combo_top1,VAL,49.0,0.7208181573699257,-0.21228621539536707,0.012017276049725948,0.673469387755102,1.8931640452971825,0.9178977189319674,-0.11204445569580701,0.06358998082207908
combo_top1,OOS,16.0,0.14620324456882527,-0.0828063081694892,0.009819769670404162,0.625,1.559261412414972,0.9355568474489832,-0.08280630816948924,0.10977440343228903
combo_top2,IS,144.0,4.044556394299187,-0.22379719205419224,0.012602206545816437,0.6458333333333334,1.7875904138444287,0.9802915172695255,-0.14810811847370753,0.21472617537964928
combo_top2,VAL,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
combo_top2,OOS,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
combo_top3,IS,139.0,3.526843618247959,-0.374020918367159,0.012607413351801308,0.6546762589928058,1.7172269351436553,0.905790031724126,-0.20308216194978346,0.13123825224952268
combo_top3,VAL,50.0,0.8132012305911303,-0.21228621539536718,0.012849234896751964,0.68,1.9744877573454542,0.9291707093390373,-0.11204445569580701,0.06358998082207908
combo_top3,OOS,19.0,0.22294094885059645,-0.11203280178761643,0.01219672228318775,0.631578947368421,1.684820041409971,0.982811690822483,-0.09139535123392745,0.10779067905643817
combo_top4,IS,139.0,3.526843618247959,-0.374020918367159,0.012607413351801308,0.6546762589928058,1.7172269351436553,0.905790031724126,-0.20308216194978346,0.13123825224952268
combo_top4,VAL,50.0,0.8132012305911303,-0.21228621539536718,0.012849234896751964,0.68,1.9744877573454542,0.9291707093390373,-0.11204445569580701,0.06358998082207908
combo_top4,OOS,19.0,0.22294094885059645,-0.11203280178761643,0.01219672228318775,0.631578947368421,1.684820041409971,0.982811690822483,-0.09139535123392745,0.10779067905643817
combo_top5,IS,145.0,3.1063505514750727,-0.29179777698759346,0.011345219615316694,0.6344827586206897,1.6489564655089932,0.94994231165192,-0.1841250380859963,0.18180493209611434
combo_top5,VAL,50.0,0.8132012305911303,-0.21228621539536718,0.012849234896751964,0.68,1.9744877573454542,0.9291707093390373,-0.11204445569580701,0.06358998082207908
combo_top5,OOS,19.0,0.38676936936961903,-0.10581018784971419,0.019079119450786674,0.6842105263157895,2.1374373023895545,0.9865095241797943,-0.09139535123392745,0.11107515974188659
combo_top6,IS,145.0,3.1063505514750727,-0.29179777698759346,0.011345219615316694,0.6344827586206897,1.6489564655089932,0.94994231165192,-0.1841250380859963,0.18180493209611434
combo_top6,VAL,50.0,0.8132012305911303,-0.21228621539536718,0.012849234896751964,0.68,1.9744877573454542,0.9291707093390373,-0.11204445569580701,0.06358998082207908
combo_top6,OOS,19.0,0.38676936936961903,-0.10581018784971419,0.019079119450786674,0.6842105263157895,2.1374373023895545,0.9865095241797943,-0.09139535123392745,0.11107515974188659
combo_top7,IS,148.0,4.30459278873317,-0.333844966034623,0.012756345148515001,0.6554054054054054,1.7641150662540024,0.9275244162778775,-0.1508923353155926,0.09470913910669265
combo_top7,VAL,49.0,0.7208181573699257,-0.21228621539536707,0.012017276049725948,0.673469387755102,1.8931640452971825,0.9178977189319674,-0.11204445569580701,0.06358998082207908
combo_top7,OOS,16.0,0.08938166894140775,-0.08320428659158619,0.006593625222863194,0.5625,1.3621496175976955,1.0594497025759855,-0.08280630816948924,0.10977440343228903
combo_top8,IS,147.0,4.006512670441335,-0.29134873577328047,0.012461913849566108,0.6462585034013606,1.723466530950404,0.9433711537833791,-0.1508923353155926,0.13271610280268534
combo_top8,VAL,49.0,0.7208181573699257,-0.21228621539536707,0.012017276049725948,0.673469387755102,1.8931640452971825,0.9178977189319674,-0.11204445569580701,0.06358998082207908
combo_top8,OOS,16.0,0.14620324456882527,-0.0828063081694892,0.009819769670404162,0.625,1.559261412414972,0.9355568474489832,-0.08280630816948924,0.10977440343228903
combo_top9,IS,145.0,3.7328588836920904,-0.22379719205419213,0.011969775835481576,0.6413793103448275,1.7537975562871355,0.9806179884616243,-0.14810811847370753,0.09230243912687061
combo_top9,VAL,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
combo_top9,OOS,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
combo_top10,IS,146.0,3.4315640412623836,-0.26044343780334533,0.011423731839270361,0.6164383561643836,1.7335266033567946,1.0786387754220055,-0.14810811847370753,0.1015764870102532
combo_top10,VAL,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
combo_top10,OOS,15.0,0.11827812012733929,-0.07115734612054736,0.008141612944249177,0.6,1.636534039345181,1.0910226928967872,-0.05757499094154777,0.056082242906943205
combo_top11,IS,144.0,3.6468228729283005,-0.22379719205419224,0.01193710935783419,0.6458333333333334,1.7460243462176768,0.9574972221193713,-0.14810811847370753,0.11895218031020598
combo_top11,VAL,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
combo_top11,OOS,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
combo_top12,IS,146.0,3.6812085090722135,-0.22379719205419213,0.011847170962150615,0.636986301369863,1.7385364050864698,0.9907788115008914,-0.14810811847370753,0.10005170266910618
combo_top12,VAL,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
combo_top12,OOS,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
combo_strict_sample13,IS,182.0,3.0824208412858587,-0.5019666344317644,0.010475814113762224,0.5824175824175825,1.4505148371636314,1.0399917700418488,-0.2851043889551149,0.3616930708769449
combo_strict_sample13,VAL,53.0,0.806544145315891,-0.17007383076329063,0.012139765535778484,0.660377358490566,1.8933880165429833,0.97374240850782,-0.11204445569580701,0.07820470795119851
combo_strict_sample13,OOS,25.0,0.2079045830746129,-0.28710223958534475,0.010072272505613744,0.56,1.4151059747566754,1.1118689801659591,-0.13538244838372515,0.1581898290167894
combo_strict_sample14,IS,214.0,2.795432579894273,-0.3382288841013702,0.007834136163348588,0.6308411214953271,1.3851505017045918,0.8105695528493537,-0.14810811847370753,0.1436598446786483
combo_strict_sample14,VAL,53.0,0.9506175608752818,-0.18844645194847998,0.01351409330408724,0.6981132075471698,2.086405353876231,0.9022293422167486,-0.11204445569580701,0.06358998082207908
combo_strict_sample14,OOS,35.0,0.09328959663412495,-0.28515346923167206,0.0042549456817885965,0.6,1.1784710674502965,0.7856473783001976,-0.12374711257268184,0.097809207334587
