label,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,armed_rate,deadline_exit_rate,avg_retry_count,avg_reject_count
old_stop_fill_baseline,8088,6624234100.517805,1435309257.2423744,6624234099.517805,-0.08692041548159624,0.5568743818001978,4.164163094136426,0.0028308555759858256,0.00669004969768296,0.002018979893914813,3.313579158389199,-0.008609606600563868,0.4263973907448065,4051,4037,1.0034679217240525,0.5008654797230465,0.4991345202769535,0.5576400888669464,0.5561060193212781,3.3118624281514424,3.315367436442647,,,,
5m_conservative,8344,1.295525233936726e-07,3.7865342644296076e-07,-0.9999998704474766,-0.9999998739758374,0.40328379674017256,0.5825734457582284,-0.001852254861222866,0.006410037679852544,0.007436230438792408,0.8620009469332004,-0.06765699824183452,0.07755944026126306,4199,4145,1.0130277442702051,0.50323585810163,0.4967641418983701,0.416289592760181,0.39010856453558507,0.8632963223896807,0.8610478051689175,0.41694630872483224,0.5830536912751678,1.9689597315436242,1.9689597315436242
5m_optimistic,8752,5.2210079661487857e-08,1.6227171524275444e-07,-0.9999999477899203,-0.9999999499036885,0.39408135283363804,0.566450119723109,-0.0018700109425395255,0.006199845467842966,0.007118537203035323,0.870943747431617,-0.06765699824183452,0.07755944026126306,4404,4348,1.012879484820607,0.503199268738574,0.496800731261426,0.4030426884650318,0.3850045998160074,0.8751492388146237,0.8676230803728155,0.5506170018281535,0.44938299817184646,1.7742230347349177,1.4916590493601463
1m_conservative,8389,9.402284458632151e-08,2.808304230814014e-07,-0.9999999059771554,-0.9999999085968976,0.40040529264513053,0.5740697409164937,-0.0018809292255648554,0.006331386217459063,0.007365057967735302,0.8596519192646511,-0.06765699824183452,0.07755944026126306,4222,4167,1.0131989440844733,0.503278102276791,0.49672189772320896,0.40999526290857413,0.39068874490040795,0.8614146952489825,0.8584351095210432,0.4396233162474669,0.5603766837525331,3.7774466563356777,1.8948623197043748
1m_optimistic,8426,1.1993656108273195e-07,3.5238124061152463e-07,-0.9999998800634389,-0.9999998849191696,0.4017327320199383,0.579613742599464,-0.0018437684274392751,0.006327895803091314,0.007330989895470629,0.8631707168224219,-0.06765699824183452,0.07755944026126306,4240,4186,1.0129001433349258,0.5032043674341324,0.49679563256586756,0.4115566037735849,0.3917821309125657,0.8654419281171571,0.8615584705253584,0.4509850462853074,0.5490149537146927,3.689651079990506,1.8527177783052458
