label,mode,selected_events,model_selected_rows,start,end,independent_positive_rate,independent_bad_unlock_rate,independent_trailing_positive_rate,exact_arm_success_rate,exact_deadline_rate,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
baseline_scored_events,5m_conservative,19737,19737,2025-07-01 00:05:00+00:00,2026-06-26 04:20:00+00:00,0.40021279829761364,0.6203577038050362,0.2734964786948371,0.4138335287221571,0.5861664712778429,7677,6.530231634978125e-07,5.343365777315668e-07,-0.9999993469768365,-0.9999993587125683,0.403803569102514,0.5855943851823345,-0.0018083423830871966,0.0063282230876986105,0.00731923444326548,0.8646017745095307,-0.06765699824183452,0.07755944026126306,3832,3845,0.9966189856957087,0.49915331509704314,0.5008466849029569,0.41831941544885176,0.3893368010403121,0.8639804487804511,0.8647599124260326
baseline_scored_events,5m_optimistic,19737,19737,2025-07-01 00:05:00+00:00,2026-06-26 04:20:00+00:00,0.40021279829761364,0.6203577038050362,0.2734964786948371,0.5464711729622267,0.45352882703777336,8048,3.062543890578374e-07,2.4793452235298575e-07,-0.9999996937456109,-0.9999997033462008,0.3942594433399602,0.5701170403593369,-0.001819572373601774,0.006120698987441564,0.006987671046133161,0.8759283239053788,-0.06765699824183452,0.07755944026126306,4022,4026,0.9990064580228515,0.49975149105367794,0.5002485089463221,0.40303331675783194,0.3854942871336314,0.8735146720127771,0.8785873548612312
baseline_scored_events,1m_conservative,5117,19737,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.40021279829761364,0.6203577038050362,0.2734964786948371,0.5004878048780488,0.4995121951219512,2050,0.029694687329334935,1.0308420399177342e-06,-0.9703053126706651,-0.970717366250995,0.3780487804878049,0.5630793667551458,-0.0016796417361315884,0.005725796057894593,0.006180986277598483,0.9263563775649173,-0.03892276407195153,0.06278539554259432,1045,1005,1.0398009950248757,0.5097560975609756,0.4902439024390244,0.39425837320574164,0.3611940298507463,0.91958494186924,0.9320009533599682
baseline_scored_events,1m_optimistic,5117,19737,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.40021279829761364,0.6203577038050362,0.2734964786948371,0.5452803066602779,0.45471969333972206,2087,0.03787886546484622,2.6766237008652805e-06,-0.9621211345351538,-0.9631317786892347,0.38380450407283184,0.5892518263322812,-0.0015331782728363757,0.00573070278887318,0.006057570753730119,0.9460397611277325,-0.03892276407195153,0.06278539554259432,1063,1024,1.0380859375,0.509343555342597,0.490656444657403,0.4007525870178739,0.3662109375,0.9414985688139917,0.9499973765717635
ml_top_5pct,5m_conservative,993,993,2025-07-01 13:55:00+00:00,2026-06-26 04:20:00+00:00,0.4108761329305136,0.6032225579053374,0.29607250755287007,0.4345146379044684,0.5654853620955316,649,0.26561814217683577,0.26014342750776664,-0.7343818578231642,-0.7457934351714534,0.39599383667180277,0.6096360157347906,-0.0019775834447655826,0.0077991498594024555,0.008387329514079831,0.9298728333386691,-0.06765699824183452,0.04062901539128707,472,177,2.6666666666666665,0.7272727272727273,0.2727272727272727,0.3919491525423729,0.4067796610169492,0.9808102049532553,0.808432486501153
ml_top_5pct,5m_optimistic,993,993,2025-07-01 13:55:00+00:00,2026-06-26 04:20:00+00:00,0.4108761329305136,0.6032225579053374,0.29607250755287007,0.5705614567526556,0.4294385432473445,659,0.22364406724723182,0.21844341980431495,-0.7763559327527682,-0.786701539765668,0.3945371775417299,0.5510874744216138,-0.0022115324509575595,0.006881200304018173,0.008136621464224955,0.8457073165162458,-0.06765699824183452,0.037286794299336276,481,178,2.702247191011236,0.7298937784522003,0.2701062215477997,0.3908523908523909,0.4044943820224719,0.8757729704035686,0.770736873934471
ml_top_5pct,1m_conservative,246,993,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4108761329305136,0.6032225579053374,0.29607250755287007,0.5,0.5,164,0.6628656001330194,0.19953631973888786,-0.33713439986698057,-0.36171835664337715,0.3719512195121951,0.5219024971237216,-0.0024467909425808306,0.007180980983839326,0.008148675287353932,0.8812452000613662,-0.038936032438778266,0.037286794299336276,151,13,11.615384615384615,0.9207317073170732,0.07926829268292683,0.3443708609271523,0.6923076923076923,0.9461944412633334,0.43391008698865624
ml_top_5pct,1m_optimistic,246,993,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4108761329305136,0.6032225579053374,0.29607250755287007,0.5304878048780488,0.4695121951219512,164,0.6495495220412568,0.18427899716443416,-0.3504504779587432,-0.37662376078119975,0.3780487804878049,0.4910313789135644,-0.0025748448557022722,0.006570848634737229,0.008133991879302754,0.8078258169223156,-0.038936032438778266,0.037286794299336276,151,13,11.615384615384615,0.9207317073170732,0.07926829268292683,0.3509933774834437,0.6923076923076923,0.8519138476751892,0.46091527513384856
ml_top_10pct,5m_conservative,1978,1978,2025-07-01 13:55:00+00:00,2026-06-26 04:20:00+00:00,0.4084934277047523,0.6107178968655207,0.28412537917087965,0.4323873121869783,0.5676126878130217,1198,0.14101942675112628,0.1367458539504546,-0.8589805732488738,-0.8622041791921122,0.41402337228714525,0.6589037204839061,-0.0015781567524170688,0.007363262050477838,0.007895740408023726,0.9325613140719801,-0.06765699824183452,0.05688815970408957,829,369,2.2466124661246614,0.6919866444073456,0.3080133555926544,0.4101326899879373,0.42276422764227645,0.9551985741844302,0.8834479819762463
ml_top_10pct,5m_optimistic,1978,1978,2025-07-01 13:55:00+00:00,2026-06-26 04:20:00+00:00,0.4084934277047523,0.6107178968655207,0.28412537917087965,0.5784716516023007,0.42152834839769926,1217,0.10614493210271046,0.10246987321349887,-0.8938550678972895,-0.8981084275303907,0.40509449465899755,0.6032064636456973,-0.0017898164348966194,0.006716662837215068,0.007582211850851124,0.8858447863681235,-0.06765699824183452,0.055020532895004914,844,373,2.2627345844504023,0.6935086277732129,0.3064913722267872,0.40639810426540285,0.40214477211796246,0.8951567292520836,0.8642893547350771
