filter,mode,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
base,5m_conservative,5098,1997,0.04269344302687331,4.278358146584736e-06,-0.9573065569731267,-0.9582842236180115,0.3905858788182273,0.6059638207188481,-0.0015408340038719505,0.006066663578380961,0.006416633604658534,0.945458935660049,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.42167487684729066,0.35845213849287166,0.9364244090860926,0.9478340119248095
base,5m_optimistic,5098,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573
base,1m_conservative,5098,2042,0.03076235403166083,1.1839276600703848e-06,-0.9692376459683392,-0.96993056099888,0.37904015670910873,0.5647386042148472,-0.0016690618999983464,0.005713267338545186,0.00617531018914085,0.9251790053545559,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3959537572254335,0.3615537848605578,0.9172540811294848,0.9321579273253204
base,1m_optimistic,5098,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573
body_atr_ge_0p10,5m_conservative,4657,1915,0.04816568658799599,6.8640955390502435e-06,-0.951834313412004,-0.9532070972665668,0.3817232375979112,0.6080234087507613,-0.0015452941962450137,0.006279466427033711,0.006376290831056455,0.9848149329150501,-0.03892276407195153,0.06278539554259432,974,941,1.0350690754516472,0.5086161879895561,0.49138381201044384,0.41170431211498976,0.35069075451647186,0.9716337459090316,0.9912436810379847
body_atr_ge_0p10,5m_optimistic,4657,1996,0.04753724626692458,6.519672288593503e-06,-0.9524627537330754,-0.9539720680584123,0.38276553106212424,0.6009310414566493,-0.001490471651492442,0.0058636439223852714,0.006050978387241284,0.9690406322965863,-0.03892276407195153,0.06278539554259432,1018,978,1.0408997955010224,0.5100200400801603,0.48997995991983967,0.40078585461689586,0.36400817995910023,0.9467305993213021,0.9924074892103195
body_atr_ge_0p10,1m_conservative,4657,1964,0.03760725228988577,2.6021750463090435e-06,-0.9623927477101142,-0.9633792737678974,0.37627291242362526,0.5744342344331427,-0.001634088309950717,0.005862005190582395,0.006156221450272324,0.9522083047098779,-0.03892276407195153,0.06278539554259432,1004,960,1.0458333333333334,0.5112016293279023,0.48879837067209775,0.3944223107569721,0.3572916666666667,0.9441883505403709,0.9578736150185231
body_atr_ge_0p10,1m_optimistic,4657,1996,0.04753724626692458,6.519672288593503e-06,-0.9524627537330754,-0.9539720680584123,0.38276553106212424,0.6009310414566493,-0.001490471651492442,0.0058636439223852714,0.006050978387241284,0.9690406322965863,-0.03892276407195153,0.06278539554259432,1018,978,1.0408997955010224,0.5100200400801603,0.48997995991983967,0.40078585461689586,0.36400817995910023,0.9467305993213021,0.9924074892103195
body_atr_ge_0p20,5m_conservative,4124,1825,0.0520497368975188,9.302626057779411e-06,-0.9479502631024812,-0.9491112379365977,0.38904109589041097,0.5977479933247127,-0.0015815002278406654,0.00604078927820391,0.006435155428999095,0.9387169190944432,-0.03892276407195153,0.06278539554259432,938,887,1.0574971815107101,0.513972602739726,0.486027397260274,0.417910447761194,0.35851183765501693,0.9248335963617828,0.9492375663504167
body_atr_ge_0p20,5m_optimistic,4124,1895,0.05235201283178106,9.51619381025277e-06,-0.947647987168219,-0.949392084828186,0.38522427440633245,0.5944594927217507,-0.00152084621260692,0.005787082600942379,0.006100063409079873,0.9486922041381365,-0.03892276407195153,0.06278539554259432,973,922,1.0553145336225596,0.5134564643799472,0.48654353562005276,0.4090441932168551,0.3600867678958785,0.9257391938980171,0.9718846188621305
