label,short_rank,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,short_label,short_pf,short_trades
combo_short_rank1,1,212.0,9.735577100673154,-0.28688967274983657,0.01257961960424914,0.6509433962264151,1.7764436939404844,0.9525857489246076,-0.1508923353155926,0.18601580928759737,pullback_reclaim_ema34_144_pb0.005_short_candle_htf0.5__tp2_sl3_tr0_tx48__dir_ret48_bps>=400,1.783206467081588,55.0
combo_short_rank5,5,214.0,9.325385311473639,-0.29179777698759346,0.012383279713193763,0.6495327102803738,1.7543666526488775,0.9466007118609051,-0.1841250380859963,0.18180493209611434,pullback_reclaim_ema21_55_pb0_short_nocandle_htf0.5__tp3_sl5_tr0_tx36__dir_ret48_bps>=400,1.7167750329477895,57.0
combo_short_rank6,6,214.0,9.325385311473639,-0.29179777698759346,0.012383279713193763,0.6495327102803738,1.7543666526488775,0.9466007118609051,-0.1841250380859963,0.18180493209611434,pullback_reclaim_ema21_96_pb0_short_nocandle_htf0.5__tp3_sl5_tr0_tx36__dir_ret48_bps>=400,1.7167750329477895,57.0
combo_short_rank3,3,208.0,9.037995210339822,-0.374020918367159,0.012628028481339168,0.6586538461538461,1.7633299154480793,0.913842510925647,-0.20308216194978346,0.13123825224952268,pullback_reclaim_ema21_55_pb0_short_candle_htf0.5__tp3_sl5_tr0_tx36__dir_ret48_bps>=400,1.7422757385382008,51.0
combo_short_rank4,4,208.0,9.037995210339822,-0.374020918367159,0.012628028481339168,0.6586538461538461,1.7633299154480793,0.913842510925647,-0.20308216194978346,0.13123825224952268,pullback_reclaim_ema21_96_pb0_short_candle_htf0.5__tp3_sl5_tr0_tx36__dir_ret48_bps>=400,1.7422757385382008,51.0
combo_short_rank7,7,213.0,8.944136877205388,-0.333844966034623,0.012123397239354945,0.6525821596244131,1.7547569988145097,0.9341871792249907,-0.1508923353155926,0.10977440343228903,pullback_reclaim_ema34_144_pb0.005_short_candle_htf0.5__tp2_sl3_tr0_tx36__dir_ret48_bps>=400,1.7148313952288448,56.0
combo_short_rank8,8,212.0,8.874882415532856,-0.29134873577328047,0.012159736684194605,0.6509433962264151,1.742401178809588,0.934331066897895,-0.1508923353155926,0.13271610280268534,pullback_reclaim_ema34_144_pb0.005_short_candle_htf0.5__tp2_sl3_tr0_tx72__dir_ret48_bps>=400,1.6788188605806498,55.0
combo_short_rank2,2,210.0,8.33712186380516,-0.22379719205419224,0.011856517931593476,0.6476190476190476,1.770656091503137,0.9634452262590599,-0.14810811847370753,0.21472617537964928,pullback_reclaim_ema34_144_pb0_short_nocandle_htfnone__tp1.5_sl2_tr0_tx48__dir_ret48_bps>=400,1.7638184015896141,53.0
combo_short_rank9,9,211.0,7.760191522720639,-0.22379719205419213,0.011425443218871522,0.6445497630331753,1.746552373371572,0.9631722647269699,-0.14810811847370753,0.09230243912687061,pullback_reclaim_ema34_144_pb0_short_nocandle_htfnone__tp1.5_sl2_tr0_tx36__dir_ret48_bps>=400,1.6765156118771378,54.0
combo_short_rank12,12,212.0,7.6645902835944355,-0.22379719205419213,0.01134357539392006,0.6415094339622641,1.7357054794544347,0.9699530620480664,-0.14810811847370753,0.10005170266910618,pullback_reclaim_ema34_144_pb0_short_nocandle_htfnone__tp1.5_sl2_tr0_tx24__dir_ret48_bps>=400,1.6414161994515684,55.0
combo_short_rank11,11,210.0,7.6009448706096645,-0.22379719205419224,0.01140045128840565,0.6476190476190476,1.741012435690199,0.9473155900079024,-0.14810811847370753,0.11895218031020598,pullback_reclaim_ema34_144_pb0_short_nocandle_htfnone__tp1.5_sl2_tr0_tx72__dir_ret48_bps>=400,1.6566083601600812,53.0
combo_short_rank10,10,212.0,7.382212763676504,-0.26044343780334533,0.011142686516024165,0.6273584905660378,1.7480170351857454,1.0382958329298786,-0.14810811847370753,0.1015764870102532,pullback_reclaim_ema34_144_pb0_short_nocandle_htfnone__tp1.5_sl2_tr0_tx12__dir_ret48_bps>=400,1.6760765612840538,55.0
V6.1_long_only,-1,157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061,,,
