label,window,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
HYPE-5M-PBTR-V1-live-realistic,2025-05,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYPE-5M-PBTR-V1-live-realistic,2025-06,114,0.7926880338105255,0.05909769332226401,-0.20731196618947445,-0.25773903268695997,0.38596491228070173,0.6008741007116983,-0.0019882574471745264,0.0077552958099441705,0.00811277663736342,0.9559360693140657,-0.028627785145009556,0.019634972100264464,71,43,1.6511627906976745,0.6228070175438597,0.37719298245614036,0.38028169014084506,0.3953488372093023,1.0070727891683053,0.8851519002699453
HYPE-5M-PBTR-V1-live-realistic,2025-07,106,0.8268308542820426,0.10640987853781916,-0.17316914571795738,-0.18051083241245158,0.37735849056603776,0.4416283381163552,-0.0017768021097623635,0.0037240756894064584,0.005110667442591954,0.728686757891986,-0.019163643688176087,0.011467990530890535,80,26,3.076923076923077,0.7547169811320755,0.24528301886792453,0.3625,0.4230769230769231,0.7140083641454876,0.7258167003697406
HYPE-5M-PBTR-V1-live-realistic,2025-08,131,0.9161576907352424,0.35638831420572203,-0.08384230926475755,-0.14265533117990925,0.4351145038167939,0.817766566467994,-0.0006326057012924455,0.006524253610251517,0.006145321657481714,1.0616618582216062,-0.023139165443410294,0.03462630451981237,72,59,1.2203389830508475,0.549618320610687,0.45038167938931295,0.4444444444444444,0.423728813559322,1.006966312389689,1.1288555739399149
HYPE-5M-PBTR-V1-live-realistic,2025-09,126,0.876443331611773,0.20075333327184347,-0.12355666838822699,-0.13161795213273386,0.46825396825396826,0.6897073731326493,-0.0010146890764166812,0.004816648242600567,0.006149747312566201,0.7832270169472457,-0.022752254488227097,0.03764239977457976,70,56,1.25,0.5555555555555556,0.4444444444444444,0.4714285714285714,0.4642857142857143,0.5945783597111622,1.0056915601803091
HYPE-5M-PBTR-V1-live-realistic,2025-10,125,0.9038685041529239,0.3039630319993395,-0.09613149584707614,-0.21782947952992449,0.44,0.8388124501982974,-0.0006833625157551471,0.008082242012197921,0.007570623216289703,1.0675794820705604,-0.033656855015975116,0.152435454944923,66,59,1.11864406779661,0.528,0.472,0.45454545454545453,0.423728813559322,0.7456290685516421,1.376372059300992
HYPE-5M-PBTR-V1-live-realistic,2025-11,99,0.7933650887228093,0.059715190228829214,-0.2066349112771907,-0.2104872724832203,0.29292929292929293,0.5346633279619026,-0.00228352686334314,0.008956873475395552,0.006940264146534883,1.2905666537011442,-0.03899980222003726,0.033247270365262066,39,60,0.65,0.3939393939393939,0.6060606060606061,0.3333333333333333,0.26666666666666666,0.9271682802108752,1.5873958770020045
HYPE-5M-PBTR-V1-live-realistic,2025-12,73,0.8930425696054549,0.2637321813985053,-0.10695743039454508,-0.17386951073382784,0.3561643835616438,0.6569265895772367,-0.0015037187494373347,0.008084364900097153,0.006807765023647902,1.1875211426973125,-0.019007889624425282,0.030345223148012298,17,56,0.30357142857142855,0.2328767123287671,0.7671232876712328,0.35294117647058826,0.35714285714285715,1.5935522656947931,1.02517109228277
HYPE-5M-PBTR-V1-live-realistic,2026-01,58,0.9498108267832722,0.5451483810221854,-0.05018917321672778,-0.1331992808043968,0.3793103448275862,0.8384830875562167,-0.0008108712448010505,0.01109771367269578,0.008088339805493557,1.3720632341829002,-0.04323861289230572,0.03102036803298732,30,28,1.0714285714285714,0.5172413793103449,0.4827586206896552,0.5,0.25,1.9383071099621665,0.9697215061756906
HYPE-5M-PBTR-V1-live-realistic,2026-02,41,0.94561014445452,0.4821401672598004,-0.05438985554548004,-0.07895882185351155,0.4146341463414634,0.6916455931527525,-0.001314217332655768,0.007109443065219269,0.007280976781150586,0.9764408373921212,-0.03381286119540276,0.030904138347475185,14,27,0.5185185185185185,0.34146341463414637,0.6585365853658537,0.42857142857142855,0.4074074074074074,0.7432932641344364,1.2490844961487813
HYPE-5M-PBTR-V1-live-realistic,2026-03,92,0.804087500243734,0.07660536244206781,-0.195912499756266,-0.204398407943166,0.33695652173913043,0.4490771049147543,-0.0023398687522620896,0.005660407847120496,0.006405583089653239,0.8836678516064519,-0.01975008173602171,0.02646793026784729,76,16,4.75,0.8260869565217391,0.17391304347826086,0.35526315789473684,0.25,0.9428684207519599,0.49570777559378854
HYPE-5M-PBTR-V1-live-realistic,2026-04,73,0.8718910868763385,0.18842032462031316,-0.12810891312366146,-0.13005440187808615,0.273972602739726,0.2915777787520927,-0.0018688659868943483,0.002807587319659398,0.003633565347858026,0.7726811136930456,-0.012242076966567131,0.007428569683917378,37,36,1.0277777777777777,0.5068493150684932,0.4931506849315068,0.32432432432432434,0.2222222222222222,0.8950763608020694,0.5961707893205535
HYPE-5M-PBTR-V1-live-realistic,2026-05,163,0.7736480237575749,0.0486171859238266,-0.2263519762424251,-0.2662738229662328,0.4294478527607362,0.6257609935633862,-0.0015377549400069964,0.005987370482429883,0.007201827838615402,0.8313681771627845,-0.027179362666669284,0.021118116587123283,114,49,2.326530612244898,0.6993865030674846,0.3006134969325153,0.4824561403508772,0.30612244897959184,0.8482556459121698,0.6080221143253886
HYPE-5M-PBTR-V1-live-realistic,2026-06,156,0.7740156419808981,0.024338188358567808,-0.22598435801910188,-0.2480724804912362,0.4230769230769231,0.6382330146219085,-0.0015964498754221085,0.006657118457838763,0.0076490666531467445,0.8703177472116934,-0.03102974969237959,0.03564673287701717,71,85,0.8352941176470589,0.4551282051282051,0.5448717948717948,0.4647887323943662,0.38823529411764707,0.8952961708200522,0.8569216074310945
